,open,high,low,close,adjclose,volume,ticker
2019-01-02,41.31999969482422,41.86000061035156,41.29999923706055,41.810001373291016,39.96150207519531,5325600,ACWX
2019-01-03,41.63999938964844,41.650001525878906,41.27000045776367,41.41999816894531,39.58873748779297,2161000,ACWX
2019-01-04,42.04999923706055,42.779998779296875,41.9900016784668,42.70000076293945,40.8121452331543,2971200,ACWX
2019-01-07,42.66999816894531,42.959999084472656,42.54999923706055,42.7599983215332,40.8694953918457,5497500,ACWX
2019-01-08,43.029998779296875,43.119998931884766,42.849998474121094,43.040000915527344,41.13711929321289,2304900,ACWX
2019-01-09,43.400001525878906,43.720001220703125,43.36000061035156,43.58000183105469,41.65324401855469,1273400,ACWX
2019-01-10,43.40999984741211,43.810001373291016,43.400001525878906,43.779998779296875,41.84439468383789,2222200,ACWX
2019-01-11,43.470001220703125,43.619998931884766,43.400001525878906,43.540000915527344,41.61500930786133,8168700,ACWX
2019-01-14,43.209999084472656,43.45000076293945,43.16999816894531,43.31999969482422,41.40473556518555,8538400,ACWX
2019-01-15,43.47999954223633,43.689998626708984,43.38999938964844,43.619998931884766,41.691471099853516,4055100,ACWX
2019-01-16,43.650001525878906,43.88999938964844,43.650001525878906,43.810001373291016,41.873077392578125,3444000,ACWX
2019-01-17,43.56999969482422,44.099998474121094,43.529998779296875,43.959999084472656,42.01643753051758,3922000,ACWX
2019-01-18,44.33000183105469,44.45000076293945,44.22999954223633,44.38999938964844,42.42742919921875,4288600,ACWX
2019-01-22,43.900001525878906,43.959999084472656,43.56999969482422,43.709999084472656,41.77749252319336,7500800,ACWX
2019-01-23,44.02000045776367,44.099998474121094,43.709999084472656,43.93000030517578,41.987770080566406,2990500,ACWX
2019-01-24,43.970001220703125,44.16999816894531,43.93000030517578,44.09000015258789,42.140689849853516,2716700,ACWX
2019-01-25,44.5099983215332,44.70000076293945,44.5099983215332,44.650001525878906,42.675933837890625,2306700,ACWX
2019-01-28,44.16999816894531,44.369998931884766,44.130001068115234,44.34000015258789,42.379642486572266,7964300,ACWX
2019-01-29,44.58000183105469,44.65999984741211,44.45000076293945,44.459999084472656,42.49433135986328,2559500,ACWX
2019-01-30,44.650001525878906,45.18000030517578,44.529998779296875,45.029998779296875,43.03913116455078,2092000,ACWX
2019-01-31,45.0,45.2400016784668,44.95000076293945,45.119998931884766,43.125152587890625,3503100,ACWX
2019-02-01,45.06999969482422,45.16999816894531,44.95000076293945,45.029998779296875,43.03913116455078,3679600,ACWX
2019-02-04,44.91999816894531,45.20000076293945,44.88999938964844,45.20000076293945,43.201622009277344,2221200,ACWX
2019-02-05,45.439998626708984,45.63999938964844,45.41999816894531,45.599998474121094,43.58393096923828,2542000,ACWX
