,open,high,low,close,adjclose,volume,ticker
2019-01-02,49.36000061035156,49.483001708984375,49.33000183105469,49.439998626708984,46.870975494384766,325200,FIXD
2019-01-03,49.459999084472656,49.689998626708984,49.45899963378906,49.624000549316406,47.04541778564453,140700,FIXD
2019-01-04,49.59000015258789,49.630001068115234,49.5,49.56999969482422,46.99422073364258,88500,FIXD
2019-01-07,49.65999984741211,49.65999984741211,49.4900016784668,49.52000045776367,46.94682693481445,69400,FIXD
2019-01-08,49.529998779296875,49.54600143432617,49.41999816894531,49.47999954223633,46.90888595581055,164500,FIXD
2019-01-09,49.540000915527344,49.560001373291016,49.45000076293945,49.54999923706055,46.97526168823242,82800,FIXD
2019-01-10,49.54999923706055,49.619998931884766,49.39400100708008,49.43000030517578,46.86149597167969,46200,FIXD
2019-01-11,49.54999923706055,49.599998474121094,49.470001220703125,49.540000915527344,46.965789794921875,75700,FIXD
2019-01-14,49.59000015258789,49.66999816894531,49.45000076293945,49.56999969482422,46.99422073364258,57600,FIXD
2019-01-15,49.599998474121094,49.606998443603516,49.43000030517578,49.459999084472656,46.88993453979492,59400,FIXD
2019-01-16,49.529998779296875,49.54999923706055,49.43000030517578,49.4900016784668,46.91838073730469,60900,FIXD
2019-01-17,49.54999923706055,49.56999969482422,49.41999816894531,49.52000045776367,46.94682693481445,60900,FIXD
2019-01-18,49.439998626708984,49.59000015258789,49.36000061035156,49.459999084472656,46.88993453979492,186400,FIXD
2019-01-22,49.56999969482422,49.630001068115234,49.459999084472656,49.5099983215332,46.93733596801758,931400,FIXD
2019-01-23,49.439998626708984,49.4900016784668,49.380001068115234,49.459999084472656,47.011478424072266,66300,FIXD
2019-01-24,49.459999084472656,49.59000015258789,49.439998626708984,49.470001220703125,47.02098083496094,35900,FIXD
2019-01-25,49.494998931884766,49.54999923706055,49.41999816894531,49.52000045776367,47.06851577758789,61000,FIXD
2019-01-28,49.4900016784668,49.56999969482422,49.38999938964844,49.47999954223633,47.030479431152344,141800,FIXD
2019-01-29,49.54999923706055,49.599998474121094,49.4900016784668,49.58000183105469,47.12554168701172,30500,FIXD
2019-01-30,49.540000915527344,49.7400016784668,49.52000045776367,49.619998931884766,47.163551330566406,109400,FIXD
2019-01-31,49.709999084472656,49.84000015258789,49.709999084472656,49.790000915527344,47.32514572143555,55000,FIXD
2019-02-01,49.84000015258789,49.84000015258789,49.65999984741211,49.70000076293945,47.23959732055664,193700,FIXD
2019-02-04,49.709999084472656,49.7599983215332,49.63999938964844,49.7400016784668,47.27762222290039,80700,FIXD
2019-02-05,49.77000045776367,49.810001373291016,49.72999954223633,49.79999923706055,47.33464813232422,92200,FIXD
2019-02-06,49.849998474121094,49.90999984741211,49.720001220703125,49.72999954223633,47.26811218261719,152000,FIXD
2019-02-07,49.849998474121094,49.93000030517578,49.7599983215332,49.869998931884766,47.40118408203125,88100,FIXD
2019-02-08,49.959999084472656,50.0,49.869998931884766,49.979000091552734,47.504791259765625,75000,FIXD
2019-02-11,49.959999084472656,49.959999084472656,49.79999923706055,49.84600067138672,47.37836837768555,56400,FIXD
2019-02-12,49.880001068115234,49.939998626708984,49.75,49.88999938964844,47.420196533203125,319100,FIXD
2019-02-13,49.810001373291016,49.90999984741211,49.70000076293945,49.7400016784668,47.27762222290039,82800,FIXD
2019-02-14,49.880001068115234,49.9900016784668,49.810001373291016,49.91899871826172,47.44775390625,61600,FIXD
2019-02-15,49.88999938964844,49.95000076293945,49.88999938964844,49.90999984741211,47.439205169677734,27100,FIXD
2019-02-19,50.0,50.029998779296875,49.939998626708984,50.0,47.524749755859375,108000,FIXD
2019-02-20,49.88999938964844,50.00400161743164,49.88999938964844,49.97999954223633,47.5057373046875,62100,FIXD
2019-02-21,49.70000076293945,49.84000015258789,49.66999816894531,49.66999816894531,47.32944869995117,79900,FIXD
2019-02-22,49.7400016784668,49.87799835205078,49.7400016784668,49.849998474121094,47.5009765625,71400,FIXD
2019-02-25,49.810001373291016,49.86000061035156,49.790000915527344,49.790000915527344,47.44380187988281,33100,FIXD
2019-02-26,49.849998474121094,49.91999816894531,49.84000015258789,49.900001525878906,47.54861831665039,72600,FIXD
2019-02-27,49.86000061035156,49.900001525878906,49.75,49.75,47.40568923950195,100100,FIXD
2019-02-28,49.790000915527344,49.810001373291016,49.69499969482422,49.70000076293945,47.35804748535156,355200,FIXD
2019-03-01,49.65999984741211,49.7400016784668,49.61000061035156,49.65999984741211,47.31992721557617,223600,FIXD
2019-03-04,49.7400016784668,49.779998779296875,49.630001068115234,49.7400016784668,47.396156311035156,214900,FIXD
2019-03-05,49.70000076293945,49.77000045776367,49.630001068115234,49.70000076293945,47.35804748535156,93400,FIXD
2019-03-06,49.709999084472656,49.83000183105469,49.709999084472656,49.77000045776367,47.42475128173828,241700,FIXD
2019-03-07,49.86000061035156,49.97999954223633,49.86000061035156,49.90999984741211,47.55813980102539,428500,FIXD
2019-03-08,49.93000030517578,49.9900016784668,49.900001525878906,49.95000076293945,47.596256256103516,119500,FIXD
2019-03-11,49.93000030517578,49.9900016784668,49.900001525878906,49.939998626708984,47.58673095703125,50800,FIXD
2019-03-12,49.9900016784668,50.060001373291016,49.959999084472656,50.029998779296875,47.672489166259766,41600,FIXD
2019-03-13,50.0099983215332,50.08000183105469,50.0,50.0099983215332,47.6534309387207,33100,FIXD
2019-03-14,50.04999923706055,50.05099868774414,49.970001220703125,50.0099983215332,47.6534309387207,22000,FIXD
2019-03-15,50.060001373291016,50.08000183105469,50.0099983215332,50.06999969482422,47.710609436035156,32500,FIXD
2019-03-18,50.040000915527344,50.119998931884766,50.0,50.0099983215332,47.6534309387207,626500,FIXD
2019-03-19,50.029998779296875,50.060001373291016,50.0,50.0099983215332,47.6534309387207,82700,FIXD
2019-03-20,50.04999923706055,50.25,49.97999954223633,50.130001068115234,47.767784118652344,42700,FIXD
2019-03-21,50.111000061035156,50.15999984741211,50.06999969482422,50.06999969482422,47.82509231567383,72400,FIXD
2019-03-22,50.25,50.34000015258789,50.22999954223633,50.31999969482422,48.06388473510742,202700,FIXD
2019-03-25,50.349998474121094,50.540000915527344,50.290000915527344,50.380001068115234,48.12119674682617,63100,FIXD
2019-03-26,50.380001068115234,50.5,50.34000015258789,50.486000061035156,48.222434997558594,99200,FIXD
2019-03-27,50.540000915527344,50.619998931884766,50.45500183105469,50.4900016784668,48.226253509521484,177700,FIXD
2019-03-28,50.540000915527344,50.65999984741211,50.51599884033203,50.63999938964844,48.36954116821289,123900,FIXD
2019-03-29,50.529998779296875,50.60499954223633,50.48899841308594,50.560001373291016,48.293121337890625,82700,FIXD
2019-04-01,50.5,50.527000427246094,50.279998779296875,50.380001068115234,48.12119674682617,507700,FIXD
2019-04-02,50.36000061035156,50.459999084472656,50.33000183105469,50.38999938964844,48.13074493408203,86200,FIXD
2019-04-03,50.34000015258789,50.380001068115234,50.310001373291016,50.34000015258789,48.082984924316406,68300,FIXD
2019-04-04,50.367000579833984,50.380001068115234,50.29999923706055,50.369998931884766,48.111629486083984,73300,FIXD
2019-04-05,50.34000015258789,50.43000030517578,50.34000015258789,50.40999984741211,48.14985275268555,37600,FIXD
2019-04-08,50.400001525878906,50.47999954223633,50.369998931884766,50.400001525878906,48.14030075073242,81700,FIXD
2019-04-09,50.439998626708984,50.505001068115234,50.4370002746582,50.45500183105469,48.192832946777344,44100,FIXD
2019-04-10,50.5,50.560001373291016,50.5,50.54999923706055,48.2835578918457,52400,FIXD
2019-04-11,50.4900016784668,50.5,50.41999816894531,50.459999084472656,48.19759750366211,81100,FIXD
2019-04-12,50.349998474121094,50.439998626708984,50.310001373291016,50.310001373291016,48.05432891845703,65200,FIXD
2019-04-15,50.29999923706055,50.38999938964844,50.29999923706055,50.310001373291016,48.05432891845703,39600,FIXD
2019-04-16,50.29999923706055,50.349998474121094,50.209999084472656,50.268001556396484,48.01420974731445,33900,FIXD
2019-04-17,50.310001373291016,50.34000015258789,50.2400016784668,50.28499984741211,48.03045654296875,53500,FIXD
2019-04-18,50.310001373291016,50.41999816894531,50.279998779296875,50.349998474121094,48.092533111572266,46200,FIXD
2019-04-22,50.33000183105469,50.380001068115234,50.25,50.310001373291016,48.05432891845703,104600,FIXD
2019-04-23,50.279998779296875,50.279998779296875,50.16999816894531,50.2400016784668,48.102203369140625,45300,FIXD
2019-04-24,50.34000015258789,50.380001068115234,50.31999969482422,50.35499954223633,48.212303161621094,87100,FIXD
2019-04-25,50.36000061035156,50.402000427246094,50.33000183105469,50.36000061035156,48.217098236083984,128200,FIXD
2019-04-26,50.459999084472656,50.5,50.404998779296875,50.4900016784668,48.34156036376953,34700,FIXD
2019-04-29,50.40999984741211,50.439998626708984,50.349998474121094,50.40999984741211,48.26497268676758,43400,FIXD
2019-04-30,50.400001525878906,50.470001220703125,50.369998931884766,50.41999816894531,48.274539947509766,93400,FIXD
2019-05-01,50.52000045776367,50.619998931884766,50.459999084472656,50.4900016784668,48.34156036376953,157900,FIXD
2019-05-02,50.45000076293945,50.470001220703125,50.33000183105469,50.38999938964844,48.24581527709961,249800,FIXD
2019-05-03,50.41999816894531,50.5,50.356998443603516,50.459999084472656,48.312828063964844,43000,FIXD
2019-05-06,50.5,50.560001373291016,50.470001220703125,50.47999954223633,48.33198547363281,41300,FIXD
2019-05-07,50.599998474121094,50.63999938964844,50.560001373291016,50.619998931884766,48.466026306152344,89500,FIXD
2019-05-08,50.58000183105469,50.650001525878906,50.47999954223633,50.4900016784668,48.34156036376953,118500,FIXD
2019-05-09,50.59000015258789,50.689998626708984,50.529998779296875,50.529998779296875,48.37985610961914,30200,FIXD
2019-05-10,50.59000015258789,50.68899917602539,50.54999923706055,50.58000183105469,48.427734375,53000,FIXD
2019-05-13,50.720001220703125,50.75,50.650001525878906,50.70000076293945,48.54262924194336,125900,FIXD
2019-05-14,50.72999954223633,50.75,50.63100051879883,50.7400016784668,48.58092498779297,50900,FIXD
2019-05-15,50.84000015258789,50.880001068115234,50.75,50.790000915527344,48.62879180908203,35000,FIXD
2019-05-16,50.75,50.790000915527344,50.720001220703125,50.790000915527344,48.62879180908203,79900,FIXD
2019-05-17,50.790000915527344,50.86000061035156,50.74599838256836,50.77000045776367,48.609642028808594,62600,FIXD
2019-05-20,50.810001373291016,50.83000183105469,50.709999084472656,50.75,48.59049987792969,29400,FIXD
2019-05-21,50.630001068115234,50.630001068115234,50.529998779296875,50.59600067138672,48.557865142822266,47900,FIXD
2019-05-22,50.65999984741211,50.720001220703125,50.625999450683594,50.70000076293945,48.65768051147461,155700,FIXD
2019-05-23,50.75,50.91999816894531,50.75,50.8380012512207,48.79011535644531,52200,FIXD
2019-05-24,50.869998931884766,50.90999984741211,50.81999969482422,50.880001068115234,48.83042907714844,94900,FIXD
2019-05-28,50.90999984741211,51.0099983215332,50.880001068115234,50.90999984741211,48.85921859741211,81900,FIXD
2019-05-29,51.0099983215332,51.11000061035156,50.939998626708984,50.939998626708984,48.88801193237305,56400,FIXD
2019-05-30,50.90999984741211,51.15999984741211,50.90999984741211,51.150001525878906,49.08955001831055,70900,FIXD
2019-05-31,51.279998779296875,51.34000015258789,51.189998626708984,51.33000183105469,49.26229476928711,109800,FIXD
2019-06-03,51.41999816894531,51.529998779296875,51.31999969482422,51.47999954223633,49.4062614440918,90900,FIXD
2019-06-04,51.380001068115234,51.470001220703125,51.31999969482422,51.43000030517578,49.3582763671875,156100,FIXD
2019-06-05,51.43000030517578,51.5,51.36000061035156,51.36000061035156,49.291099548339844,604600,FIXD
2019-06-06,51.380001068115234,51.4900016784668,51.34000015258789,51.400001525878906,49.32948684692383,72200,FIXD
2019-06-07,51.540000915527344,51.59000015258789,51.459999084472656,51.560001373291016,49.483036041259766,57400,FIXD
2019-06-10,51.41999816894531,51.5,51.310001373291016,51.33000183105469,49.26229476928711,230200,FIXD
2019-06-11,51.31999969482422,51.38999938964844,51.29999923706055,51.369998931884766,49.300689697265625,67900,FIXD
2019-06-12,51.400001525878906,51.47999954223633,51.36000061035156,51.43000030517578,49.3582763671875,84100,FIXD
2019-06-13,51.43000030517578,51.529998779296875,51.43000030517578,51.52299880981445,49.4475212097168,292000,FIXD
2019-06-14,51.349998474121094,51.439998626708984,51.30400085449219,51.400001525878906,49.44464874267578,51600,FIXD
2019-06-17,51.43000030517578,51.43000030517578,51.3489990234375,51.36000061035156,49.40616989135742,204500,FIXD
2019-06-18,51.56999969482422,51.56999969482422,51.43000030517578,51.52000045776367,49.56007766723633,60700,FIXD
2019-06-19,51.439998626708984,51.68000030517578,51.40999984741211,51.68000030517578,49.7139892578125,79200,FIXD
2019-06-20,51.75,51.8390007019043,51.72999954223633,51.72999954223633,49.762088775634766,130200,FIXD
2019-06-21,51.66999816894531,51.66999816894531,51.58000183105469,51.630001068115234,49.6658935546875,102600,FIXD
2019-06-24,51.689998626708984,51.790000915527344,51.66999816894531,51.72999954223633,49.762088775634766,110300,FIXD
2019-06-25,51.779998779296875,51.834999084472656,51.65999984741211,51.7400016784668,49.77170944213867,560300,FIXD
2019-06-26,51.720001220703125,51.7400016784668,51.58000183105469,51.63999938964844,49.67550277709961,352500,FIXD
2019-06-27,51.689998626708984,51.790000915527344,51.65999984741211,51.77000045776367,49.800567626953125,75900,FIXD
2019-06-28,51.72999954223633,51.849998474121094,51.599998474121094,51.790000915527344,49.81980895996094,469200,FIXD
2019-07-01,51.81999969482422,51.869998931884766,51.720001220703125,51.79999923706055,49.82942199707031,273600,FIXD
2019-07-02,51.869998931884766,51.91999816894531,51.77799987792969,51.880001068115234,49.90638732910156,229500,FIXD
2019-07-03,51.939998626708984,52.0099983215332,51.90999984741211,51.959999084472656,49.98333740234375,141400,FIXD
2019-07-05,51.75,51.81999969482422,51.650001525878906,51.75,49.78132629394531,105500,FIXD
2019-07-08,51.79999923706055,51.81999969482422,51.72999954223633,51.744998931884766,49.77651596069336,137500,FIXD
2019-07-09,51.810001373291016,51.810001373291016,51.68000030517578,51.7400016784668,49.77170944213867,119000,FIXD
2019-07-10,51.72999954223633,51.79999923706055,51.70000076293945,51.77000045776367,49.800567626953125,115900,FIXD
2019-07-11,51.70000076293945,51.74599838256836,51.560001373291016,51.560001373291016,49.59855651855469,96000,FIXD
2019-07-12,51.56999969482422,51.63999938964844,51.54999923706055,51.630001068115234,49.6658935546875,189900,FIXD
2019-07-15,51.650001525878906,51.720001220703125,51.61000061035156,51.720001220703125,49.752464294433594,77100,FIXD
2019-07-16,51.599998474121094,51.630001068115234,51.55099868774414,51.630001068115234,49.6658935546875,118900,FIXD
2019-07-17,51.65999984741211,51.79999923706055,51.65999984741211,51.79899978637695,49.82845687866211,142000,FIXD
2019-07-18,51.720001220703125,51.869998931884766,51.68000030517578,51.849998474121094,49.87752151489258,166100,FIXD
2019-07-19,51.790000915527344,51.82500076293945,51.75199890136719,51.810001373291016,49.83905029296875,187300,FIXD
2019-07-22,51.880001068115234,51.880001068115234,51.810001373291016,51.84000015258789,49.86790084838867,76800,FIXD
2019-07-23,51.70000076293945,51.720001220703125,51.63999938964844,51.689998626708984,49.8389778137207,177800,FIXD
2019-07-24,51.75,51.775001525878906,51.689998626708984,51.7599983215332,49.90646743774414,111900,FIXD
2019-07-25,51.72999954223633,51.72999954223633,51.606998443603516,51.70000076293945,49.8486213684082,164400,FIXD
2019-07-26,51.720001220703125,51.7400016784668,51.64400100708008,51.650001525878906,49.800411224365234,688500,FIXD
2019-07-29,51.709999084472656,51.72999954223633,51.641998291015625,51.689998626708984,49.8389778137207,385500,FIXD
2019-07-30,51.72999954223633,51.7599983215332,51.66999816894531,51.72999954223633,49.87754440307617,184100,FIXD
2019-07-31,51.72700119018555,51.849998474121094,51.66999816894531,51.790000915527344,49.93539047241211,135100,FIXD
2019-08-01,51.869998931884766,52.15999984741211,51.81999969482422,52.13999938964844,50.272865295410156,226000,FIXD
2019-08-02,52.18000030517578,52.2400016784668,52.111000061035156,52.2400016784668,50.369285583496094,149600,FIXD
2019-08-05,52.34000015258789,52.459999084472656,52.310001373291016,52.41999816894531,50.54283142089844,117400,FIXD
2019-08-06,52.41999816894531,52.5,52.34000015258789,52.5,50.619972229003906,133300,FIXD
2019-08-07,52.7599983215332,52.7599983215332,52.439998626708984,52.439998626708984,50.56211853027344,314800,FIXD
2019-08-08,52.470001220703125,52.59000015258789,52.36000061035156,52.58000183105469,50.697105407714844,318600,FIXD
2019-08-09,52.540000915527344,52.63999938964844,52.45600128173828,52.459999084472656,50.58139419555664,175000,FIXD
2019-08-12,52.560001373291016,52.77000045776367,52.560001373291016,52.70000076293945,50.812808990478516,82500,FIXD
2019-08-13,52.709999084472656,52.709999084472656,52.54999923706055,52.54999923706055,50.668174743652344,117300,FIXD
2019-08-14,52.810001373291016,52.84000015258789,52.68000030517578,52.81999969482422,50.928504943847656,128800,FIXD
2019-08-15,52.869998931884766,53.095001220703125,52.834999084472656,52.970001220703125,51.07313919067383,116600,FIXD
2019-08-16,52.970001220703125,52.970001220703125,52.790000915527344,52.939998626708984,51.04421615600586,221900,FIXD
2019-08-19,52.79999923706055,52.867000579833984,52.7599983215332,52.81999969482422,50.928504943847656,111100,FIXD
2019-08-20,52.900001525878906,52.97999954223633,52.88999938964844,52.97999954223633,51.0827751159668,81000,FIXD
2019-08-21,52.7599983215332,52.89400100708008,52.63999938964844,52.779998779296875,51.005462646484375,383200,FIXD
2019-08-22,52.709999084472656,52.808998107910156,52.654998779296875,52.70000076293945,50.92816162109375,322400,FIXD
2019-08-23,52.72999954223633,52.93600082397461,52.689998626708984,52.88999938964844,51.11177062988281,133000,FIXD
2019-08-26,52.88999938964844,52.95000076293945,52.79999923706055,52.900001525878906,51.12144088745117,98000,FIXD
2019-08-27,52.939998626708984,53.04100036621094,52.928001403808594,53.0099983215332,51.22772979736328,81500,FIXD
2019-08-28,53.11000061035156,53.119998931884766,53.02000045776367,53.02000045776367,51.237403869628906,327500,FIXD
2019-08-29,53.04999923706055,53.06999969482422,52.90999984741211,53.0,51.21806716918945,391300,FIXD
2019-08-30,52.97999954223633,53.099998474121094,52.90999984741211,53.029998779296875,51.24706268310547,279000,FIXD
2019-09-03,53.0099983215332,53.21500015258789,53.005001068115234,53.09000015258789,51.305049896240234,288700,FIXD
2019-09-04,53.09000015258789,53.209999084472656,53.08000183105469,53.209999084472656,51.4210090637207,109600,FIXD
2019-09-05,53.09000015258789,53.09000015258789,52.83000183105469,52.95000076293945,51.169761657714844,115600,FIXD
2019-09-06,52.959999084472656,53.029998779296875,52.90999984741211,53.029998779296875,51.24706268310547,131200,FIXD
2019-09-09,52.90999984741211,52.90999984741211,52.7400016784668,52.7400016784668,50.96681213378906,325500,FIXD
2019-09-10,52.7400016784668,52.77000045776367,52.4900016784668,52.529998779296875,50.76387023925781,68600,FIXD
2019-09-11,52.5,52.540000915527344,52.470001220703125,52.5,50.734886169433594,196400,FIXD
2019-09-12,52.61000061035156,52.63100051879883,52.369998931884766,52.41999816894531,50.657569885253906,94600,FIXD
2019-09-13,52.25,52.31999969482422,52.04999923706055,52.084999084472656,50.333839416503906,134500,FIXD
2019-09-16,52.16999816894531,52.30500030517578,52.16999816894531,52.27000045776367,50.51261520385742,84200,FIXD
2019-09-17,52.2400016784668,52.38999938964844,52.23400115966797,52.380001068115234,50.61891555786133,238700,FIXD
2019-09-18,52.439998626708984,52.540000915527344,52.279998779296875,52.380001068115234,50.61891555786133,118600,FIXD
2019-09-19,52.4900016784668,52.4900016784668,52.310001373291016,52.38999938964844,50.628578186035156,703400,FIXD
2019-09-20,52.52000045776367,52.650001525878906,52.40399932861328,52.650001525878906,50.87984085083008,195100,FIXD
2019-09-23,52.63999938964844,52.78300094604492,52.566001892089844,52.66999816894531,50.89915466308594,208000,FIXD
2019-09-24,52.650001525878906,52.84000015258789,52.62300109863281,52.79999923706055,51.024803161621094,132000,FIXD
2019-09-25,52.65999984741211,52.69900131225586,52.42100143432617,52.5,50.85045623779297,118900,FIXD
2019-09-26,52.540000915527344,52.59000015258789,52.41999816894531,52.52899932861328,50.878536224365234,144300,FIXD
2019-09-27,52.54999923706055,52.630001068115234,52.529998779296875,52.619998931884766,50.96668243408203,299600,FIXD
2019-09-30,52.560001373291016,52.68000030517578,52.560001373291016,52.654998779296875,51.000579833984375,719900,FIXD
2019-10-01,52.4900016784668,52.83000183105469,52.45000076293945,52.619998931884766,50.96668243408203,625300,FIXD
2019-10-02,52.720001220703125,52.91999816894531,52.720001220703125,52.83000183105469,51.17008972167969,398100,FIXD
2019-10-03,52.83000183105469,53.099998474121094,52.70000076293945,53.029998779296875,51.36379623413086,409800,FIXD
2019-10-04,53.029998779296875,53.11000061035156,52.959999084472656,53.099998474121094,51.431602478027344,321400,FIXD
2019-10-07,52.970001220703125,53.040000915527344,52.880001068115234,52.880001068115234,51.218505859375,203000,FIXD
2019-10-08,53.029998779296875,53.06999969482422,52.900001525878906,52.9900016784668,51.32505416870117,384200,FIXD
2019-10-09,53.02000045776367,53.02000045776367,52.849998474121094,52.93000030517578,51.26694107055664,623600,FIXD
2019-10-10,52.77000045776367,52.77000045776367,52.619998931884766,52.619998931884766,50.96668243408203,294500,FIXD
2019-10-11,52.58000183105469,52.59000015258789,52.470001220703125,52.54499816894531,50.89404296875,445900,FIXD
2019-10-14,52.58000183105469,52.70000076293945,52.5,52.56999969482422,50.918251037597656,90900,FIXD
2019-10-15,52.59000015258789,52.65599822998047,52.31999969482422,52.4900016784668,50.840763092041016,213300,FIXD
2019-10-16,52.529998779296875,52.599998474121094,52.47999954223633,52.540000915527344,50.889198303222656,330200,FIXD
2019-10-17,52.52000045776367,52.65999984741211,52.400001525878906,52.51499938964844,50.86498260498047,287700,FIXD
2019-10-18,52.56999969482422,52.59000015258789,52.47999954223633,52.54999923706055,50.89887619018555,140700,FIXD
2019-10-21,52.47999954223633,52.5099983215332,52.400001525878906,52.45000076293945,50.80201721191406,125400,FIXD
2019-10-22,52.459999084472656,52.470001220703125,52.31999969482422,52.349998474121094,50.82143783569336,606000,FIXD
2019-10-23,52.439998626708984,52.50899887084961,52.380001068115234,52.41999816894531,50.8893928527832,158500,FIXD
2019-10-24,52.4900016784668,52.529998779296875,52.4109992980957,52.42300033569336,50.89230728149414,185500,FIXD
2019-10-25,52.4900016784668,52.4900016784668,52.31700134277344,52.369998931884766,50.840850830078125,329300,FIXD
2019-10-28,52.2599983215332,52.27000045776367,52.20000076293945,52.27000045776367,50.743778228759766,244500,FIXD
2019-10-29,52.29999923706055,52.31999969482422,52.220001220703125,52.27000045776367,50.743778228759766,243500,FIXD
2019-10-30,52.36000061035156,52.45000076293945,52.32099914550781,52.41999816894531,50.8893928527832,254700,FIXD
2019-10-31,52.560001373291016,52.650001525878906,52.529998779296875,52.54999923706055,51.015594482421875,357100,FIXD
2019-11-01,52.63999938964844,52.68600082397461,52.540000915527344,52.65999984741211,51.12238311767578,277800,FIXD
2019-11-04,52.599998474121094,52.599998474121094,52.47999954223633,52.52000045776367,50.98646926879883,291000,FIXD
2019-11-05,52.400001525878906,52.5,52.290000915527344,52.36000061035156,50.831138610839844,240700,FIXD
2019-11-06,52.470001220703125,52.47999954223633,52.400001525878906,52.435001373291016,50.903953552246094,605300,FIXD
2019-11-07,52.279998779296875,52.310001373291016,52.099998474121094,52.2400016784668,50.71465301513672,181600,FIXD
2019-11-08,52.20000076293945,52.279998779296875,52.124000549316406,52.16999816894531,50.64668655395508,276100,FIXD
2019-11-11,52.220001220703125,52.27000045776367,52.16999816894531,52.25,50.7243537902832,154100,FIXD
2019-11-12,52.220001220703125,52.2599983215332,52.13999938964844,52.2599983215332,50.73406219482422,177600,FIXD
2019-11-13,52.33000183105469,52.41999816894531,52.26900100708008,52.34000015258789,50.81172180175781,531400,FIXD
2019-11-14,52.5099983215332,52.5099983215332,52.41999816894531,52.494998931884766,50.96220779418945,325900,FIXD
