,open,high,low,close,adjclose,volume,ticker
2019-01-02,2.4000000953674316,2.4000000953674316,2.3499999046325684,2.3499999046325684,2.3499999046325684,1100,HOVNP
2019-01-03,2.3499999046325684,2.4200000762939453,2.3499999046325684,2.4200000762939453,2.4200000762939453,11200,HOVNP
2019-01-04,2.4200000762939453,2.4200000762939453,2.4200000762939453,2.4200000762939453,2.4200000762939453,100,HOVNP
2019-01-07,2.5,2.5,2.5,2.5,2.5,800,HOVNP
2019-01-08,2.059999942779541,2.059999942779541,2.059999942779541,2.059999942779541,2.059999942779541,600,HOVNP
2019-01-09,2.059999942779541,2.059999942779541,2.059999942779541,2.059999942779541,2.059999942779541,100,HOVNP
2019-01-10,2.059999942779541,2.059999942779541,2.059999942779541,2.059999942779541,2.059999942779541,100,HOVNP
2019-01-11,2.0799999237060547,2.0799999237060547,2.0799999237060547,2.0799999237060547,2.0799999237060547,200,HOVNP
2019-01-14,2.130000114440918,2.130000114440918,2.130000114440918,2.130000114440918,2.130000114440918,1200,HOVNP
2019-01-15,2.1500000953674316,2.200000047683716,2.1500000953674316,2.200000047683716,2.200000047683716,600,HOVNP
2019-01-16,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0,HOVNP
2019-01-17,2.069999933242798,2.069999933242798,2.069999933242798,2.069999933242798,2.069999933242798,1000,HOVNP
2019-01-18,2.069999933242798,2.069999933242798,2.069999933242798,2.069999933242798,2.069999933242798,400,HOVNP
2019-01-22,2.069999933242798,2.069999933242798,2.069999933242798,2.069999933242798,2.069999933242798,100,HOVNP
2019-01-23,2.069999933242798,2.069999933242798,2.069999933242798,2.069999933242798,2.069999933242798,0,HOVNP
2019-01-24,2.4000000953674316,2.4000000953674316,2.069999933242798,2.0899999141693115,2.0899999141693115,800,HOVNP
2019-01-25,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.0899999141693115,500,HOVNP
2019-01-28,2.109999895095825,2.1500000953674316,2.109999895095825,2.1500000953674316,2.1500000953674316,500,HOVNP
2019-01-29,2.1500000953674316,2.240000009536743,2.1500000953674316,2.1600000858306885,2.1600000858306885,2600,HOVNP
2019-01-30,2.140000104904175,2.25,2.140000104904175,2.25,2.25,1800,HOVNP
2019-01-31,2.2300000190734863,2.5,2.2300000190734863,2.5,2.5,6800,HOVNP
2019-02-01,2.25,2.4700000286102295,2.25,2.4700000286102295,2.4700000286102295,1000,HOVNP
2019-02-04,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,300,HOVNP
2019-02-05,2.119999885559082,2.119999885559082,2.119999885559082,2.119999885559082,2.119999885559082,100,HOVNP
2019-02-06,2.130000114440918,2.3299999237060547,2.130000114440918,2.299999952316284,2.299999952316284,2200,HOVNP
2019-02-07,2.240000009536743,2.240000009536743,2.240000009536743,2.240000009536743,2.240000009536743,300,HOVNP
2019-02-08,2.2300000190734863,2.25,2.2300000190734863,2.25,2.25,500,HOVNP
2019-02-11,2.25,2.25,2.25,2.25,2.25,0,HOVNP
2019-02-12,2.25,2.25,2.25,2.25,2.25,0,HOVNP
2019-02-13,2.25,2.25,2.25,2.25,2.25,0,HOVNP
2019-02-14,2.25,2.25,2.25,2.25,2.25,0,HOVNP
2019-02-15,2.0199999809265137,2.0199999809265137,2.0199999809265137,2.0199999809265137,2.0199999809265137,600,HOVNP
2019-02-19,2.0199999809265137,2.0199999809265137,2.0199999809265137,2.0199999809265137,2.0199999809265137,100,HOVNP
2019-02-20,2.0999999046325684,2.2300000190734863,2.0899999141693115,2.2300000190734863,2.2300000190734863,5700,HOVNP
2019-02-21,2.059999942779541,2.1700000762939453,2.059999942779541,2.1700000762939453,2.1700000762939453,1300,HOVNP
2019-02-22,2.0299999713897705,2.0999999046325684,2.0199999809265137,2.059999942779541,2.059999942779541,1700,HOVNP
2019-02-25,2.2300000190734863,2.2300000190734863,2.2300000190734863,2.2300000190734863,2.2300000190734863,200,HOVNP
2019-02-26,2.2300000190734863,2.2300000190734863,2.2300000190734863,2.2300000190734863,2.2300000190734863,0,HOVNP
2019-02-27,2.190000057220459,2.75,2.109999895095825,2.6500000953674316,2.6500000953674316,64900,HOVNP
2019-02-28,2.5899999141693115,2.759999990463257,2.5899999141693115,2.759999990463257,2.759999990463257,9900,HOVNP
2019-03-01,2.8299999237060547,2.9700000286102295,2.799999952316284,2.9700000286102295,2.9700000286102295,1100,HOVNP
2019-03-04,2.8499999046325684,2.859999895095825,2.609999895095825,2.640000104904175,2.640000104904175,1600,HOVNP
2019-03-05,2.700000047683716,2.700000047683716,2.700000047683716,2.700000047683716,2.700000047683716,500,HOVNP
2019-03-06,2.700000047683716,2.700000047683716,2.700000047683716,2.700000047683716,2.700000047683716,0,HOVNP
2019-03-07,2.700000047683716,2.700000047683716,2.700000047683716,2.700000047683716,2.700000047683716,0,HOVNP
2019-03-08,2.700000047683716,2.700000047683716,2.700000047683716,2.700000047683716,2.700000047683716,0,HOVNP
2019-03-11,3.0999999046325684,3.0999999046325684,2.859999895095825,2.859999895095825,2.859999895095825,1200,HOVNP
2019-03-12,2.569999933242798,2.569999933242798,2.4800000190734863,2.5299999713897705,2.5299999713897705,600,HOVNP
2019-03-13,2.7200000286102295,2.7200000286102295,2.5999999046325684,2.5999999046325684,2.5999999046325684,2200,HOVNP
2019-03-14,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,0,HOVNP
