,open,high,low,close,adjclose,volume,ticker
2019-01-02,58.29999923706055,60.40999984741211,57.09000015258789,59.11000061035156,59.11000061035156,670900,HQY
2019-01-03,58.29999923706055,58.65999984741211,54.79999923706055,54.900001525878906,54.900001525878906,791900,HQY
2019-01-04,55.75,59.66999816894531,55.189998626708984,58.0,58.0,662600,HQY
2019-01-07,58.13999938964844,58.630001068115234,53.380001068115234,53.4900016784668,53.4900016784668,2058500,HQY
2019-01-08,54.0099983215332,54.47999954223633,50.290000915527344,52.86000061035156,52.86000061035156,2518900,HQY
2019-01-09,53.34000015258789,54.09000015258789,51.33000183105469,53.86000061035156,53.86000061035156,1285200,HQY
2019-01-10,52.880001068115234,56.46500015258789,52.81999969482422,56.029998779296875,56.029998779296875,1359700,HQY
2019-01-11,55.880001068115234,56.61000061035156,53.52000045776367,55.5099983215332,55.5099983215332,845000,HQY
2019-01-14,54.5099983215332,56.76499938964844,54.2400016784668,55.91999816894531,55.91999816894531,753100,HQY
2019-01-15,55.95000076293945,56.76599884033203,55.53799819946289,56.41999816894531,56.41999816894531,494200,HQY
2019-01-16,56.5,58.38999938964844,56.5,57.959999084472656,57.959999084472656,757500,HQY
2019-01-17,57.7599983215332,58.689998626708984,57.584999084472656,58.18000030517578,58.18000030517578,581500,HQY
2019-01-18,58.77000045776367,62.22999954223633,58.5,61.220001220703125,61.220001220703125,1758900,HQY
2019-01-22,62.13999938964844,62.84000015258789,59.54999923706055,60.459999084472656,60.459999084472656,1233400,HQY
2019-01-23,61.02000045776367,62.720001220703125,60.41999816894531,61.189998626708984,61.189998626708984,947400,HQY
2019-01-24,61.130001068115234,62.88999938964844,61.0,62.619998931884766,62.619998931884766,676300,HQY
2019-01-25,63.4900016784668,65.30000305175781,63.13999938964844,64.23999786376953,64.23999786376953,853800,HQY
2019-01-28,63.5,64.63999938964844,62.369998931884766,63.220001220703125,63.220001220703125,748000,HQY
2019-01-29,63.4900016784668,63.9900016784668,61.470001220703125,61.84000015258789,61.84000015258789,531400,HQY
2019-01-30,62.630001068115234,63.584999084472656,62.02000045776367,63.25,63.25,702200,HQY
2019-01-31,63.25,63.77000045776367,62.099998474121094,62.34000015258789,62.34000015258789,800200,HQY
2019-02-01,62.470001220703125,63.9900016784668,61.029998779296875,63.63999938964844,63.63999938964844,492100,HQY
2019-02-04,63.689998626708984,64.5199966430664,63.58000183105469,64.08000183105469,64.08000183105469,490600,HQY
2019-02-05,64.36000061035156,65.23999786376953,63.755001068115234,65.01000213623047,65.01000213623047,545600,HQY
2019-02-06,65.0,66.80000305175781,64.05500030517578,66.44999694824219,66.44999694824219,1186300,HQY
2019-02-07,69.83000183105469,73.62000274658203,69.43000030517578,72.16999816894531,72.16999816894531,2491300,HQY
2019-02-08,71.9000015258789,72.4000015258789,69.63999938964844,71.66000366210938,71.66000366210938,1186000,HQY
2019-02-11,71.8499984741211,73.5,71.0199966430664,72.51000213623047,72.51000213623047,554400,HQY
2019-02-12,72.77999877929688,73.5,72.27999877929688,72.9000015258789,72.9000015258789,572300,HQY
2019-02-13,73.2699966430664,75.30000305175781,73.25,74.91000366210938,74.91000366210938,803900,HQY
2019-02-14,74.5199966430664,76.36000061035156,74.5199966430664,75.77999877929688,75.77999877929688,1043000,HQY
2019-02-15,75.94999694824219,77.22000122070312,75.63999938964844,77.0999984741211,77.0999984741211,461500,HQY
2019-02-19,77.0,77.9000015258789,76.29000091552734,77.73999786376953,77.73999786376953,337400,HQY
2019-02-20,77.5999984741211,80.02999877929688,77.3499984741211,80.01000213623047,80.01000213623047,680700,HQY
2019-02-21,80.01000213623047,80.55999755859375,79.1500015258789,79.37000274658203,79.37000274658203,1274400,HQY
2019-02-22,79.94999694824219,81.11000061035156,79.55000305175781,80.38999938964844,80.38999938964844,785800,HQY
2019-02-25,81.0,82.9800033569336,80.7699966430664,81.61000061035156,81.61000061035156,517500,HQY
2019-02-26,81.4000015258789,82.02999877929688,79.41999816894531,79.41999816894531,79.41999816894531,745200,HQY
2019-02-27,79.06999969482422,81.18000030517578,78.0999984741211,81.06999969482422,81.06999969482422,592000,HQY
2019-02-28,80.8499984741211,81.62999725341797,80.08999633789062,80.4800033569336,80.4800033569336,510700,HQY
2019-03-01,81.4000015258789,83.76499938964844,80.69000244140625,83.27999877929688,83.27999877929688,660900,HQY
2019-03-04,83.45999908447266,84.0,77.44000244140625,78.8499984741211,78.8499984741211,1089300,HQY
2019-03-05,79.16999816894531,80.30000305175781,77.79000091552734,79.37000274658203,79.37000274658203,655500,HQY
