,open,high,low,close,adjclose,volume,ticker
2019-01-02,176.22000122070312,176.32000732421875,170.69000244140625,172.6199951171875,167.4844207763672,172700,LANC
2019-01-03,172.35000610351562,173.9199981689453,169.3300018310547,171.66000366210938,166.55296325683594,202900,LANC
2019-01-04,172.3000030517578,173.25,169.69000244140625,171.91000366210938,166.79551696777344,250800,LANC
2019-01-07,171.22000122070312,174.25,170.30999755859375,172.16000366210938,167.03807067871094,167900,LANC
2019-01-08,172.7100067138672,179.1999969482422,171.1999969482422,178.61000061035156,173.2962188720703,227000,LANC
2019-01-09,178.60000610351562,180.11000061035156,173.17999267578125,174.97999572753906,169.77418518066406,239500,LANC
2019-01-10,175.42999267578125,175.99000549316406,172.49000549316406,174.3800048828125,169.19203186035156,103200,LANC
2019-01-11,175.4199981689453,175.4199981689453,171.75,172.4600067138672,167.3291778564453,128200,LANC
2019-01-14,172.22000122070312,173.72000122070312,171.3000030517578,171.75,166.6403045654297,178300,LANC
2019-01-15,172.49000549316406,176.92999267578125,170.52999877929688,176.75,171.4915313720703,110300,LANC
2019-01-16,176.83999633789062,178.25,174.1999969482422,175.77000427246094,170.54071044921875,124200,LANC
2019-01-17,176.00999450683594,177.3699951171875,174.55999755859375,175.8699951171875,170.63771057128906,112000,LANC
2019-01-18,175.72999572753906,176.94000244140625,172.24000549316406,172.75999450683594,167.6202392578125,107100,LANC
2019-01-22,173.1199951171875,173.32000732421875,169.10000610351562,170.0500030517578,164.9908905029297,143100,LANC
2019-01-23,169.61000061035156,171.35000610351562,167.02999877929688,168.27999877929688,163.27352905273438,179100,LANC
2019-01-24,167.9199981689453,168.22000122070312,164.91000366210938,167.27999877929688,162.3032684326172,292700,LANC
2019-01-25,167.63999938964844,167.63999938964844,161.5500030517578,161.8000030517578,156.98631286621094,168300,LANC
2019-01-28,161.25,164.39999389648438,158.86000061035156,159.08999633789062,154.35693359375,226500,LANC
2019-01-29,158.6699981689453,159.1999969482422,156.17999267578125,157.30999755859375,152.62986755371094,114500,LANC
2019-01-30,156.63999938964844,158.6300048828125,155.75999450683594,156.3300018310547,151.6790313720703,129000,LANC
2019-01-31,158.22000122070312,161.14999389648438,155.4499969482422,159.07000732421875,154.3375244140625,563200,LANC
2019-02-01,158.97999572753906,165.11000061035156,156.41000366210938,156.8000030517578,152.1350555419922,318900,LANC
2019-02-04,157.22999572753906,158.0,154.9600067138672,155.64999389648438,151.01925659179688,204100,LANC
2019-02-05,155.92999267578125,157.80999755859375,155.02999877929688,156.52000427246094,151.86338806152344,137700,LANC
2019-02-06,156.25999450683594,158.02999877929688,155.91000366210938,157.25,152.57167053222656,109200,LANC
2019-02-07,157.1699981689453,160.0800018310547,155.5399932861328,159.8300018310547,155.07492065429688,164800,LANC
2019-02-08,159.25999450683594,161.75,159.25999450683594,160.91000366210938,156.122802734375,144600,LANC
2019-02-11,160.83999633789062,162.47000122070312,158.38999938964844,159.6699981689453,154.91966247558594,181000,LANC
2019-02-12,159.83999633789062,162.27999877929688,155.2899932861328,159.36000061035156,154.61888122558594,161600,LANC
2019-02-13,159.1699981689453,164.39999389648438,156.9199981689453,158.17999267578125,153.4739990234375,182400,LANC
2019-02-14,157.4499969482422,160.0399932861328,156.75,158.97999572753906,154.2501983642578,215000,LANC
2019-02-15,159.58999633789062,161.47999572753906,158.72000122070312,159.5399932861328,154.7935333251953,171300,LANC
2019-02-19,159.8000030517578,161.5800018310547,158.3699951171875,159.8000030517578,155.04583740234375,155900,LANC
2019-02-20,159.8699951171875,160.72000122070312,156.42999267578125,159.5,154.75473022460938,155200,LANC
2019-02-21,159.44000244140625,162.55999755859375,158.72999572753906,160.9499969482422,156.16160583496094,152300,LANC
2019-02-22,160.41000366210938,160.41000366210938,157.77999877929688,158.33999633789062,153.6292266845703,131400,LANC
