,open,high,low,close,adjclose,volume,ticker
2019-01-02,9.380000114440918,10.199999809265137,9.029999732971191,9.5,9.5,5300,NMRD
2019-01-03,9.5,9.5,9.0,9.050000190734863,9.050000190734863,5000,NMRD
2019-01-04,9.0,9.399999618530273,9.0,9.25,9.25,9300,NMRD
2019-01-07,9.5,10.149999618530273,9.300000190734863,9.899999618530273,9.899999618530273,11900,NMRD
2019-01-08,9.75,9.75,9.199999809265137,9.289999961853027,9.289999961853027,7300,NMRD
2019-01-09,9.5,9.949999809265137,9.100000381469727,9.279999732971191,9.279999732971191,5400,NMRD
2019-01-10,9.260000228881836,10.899999618530273,9.119999885559082,10.5,10.5,13200,NMRD
2019-01-11,10.800000190734863,10.800000190734863,9.850000381469727,10.079999923706055,10.079999923706055,2700,NMRD
2019-01-14,10.199999809265137,10.800000190734863,10.0,10.5,10.5,8000,NMRD
2019-01-15,11.0,11.0,10.229999542236328,10.800000190734863,10.800000190734863,13000,NMRD
2019-01-16,10.75,10.800000190734863,10.199999809265137,10.699999809265137,10.699999809265137,3500,NMRD
2019-01-17,10.800000190734863,10.800000190734863,10.0,10.199999809265137,10.199999809265137,27200,NMRD
2019-01-18,10.199999809265137,11.0,9.899999618530273,10.300000190734863,10.300000190734863,16200,NMRD
2019-01-22,11.0,11.0,10.0,10.199999809265137,10.199999809265137,5500,NMRD
2019-01-23,10.100000381469727,10.75,10.0,10.399999618530273,10.399999618530273,7400,NMRD
2019-01-24,10.800000190734863,10.800000190734863,10.100000381469727,10.5,10.5,9300,NMRD
2019-01-25,10.609999656677246,10.800000190734863,10.399999618530273,10.399999618530273,10.399999618530273,7500,NMRD
2019-01-28,10.5,10.699999809265137,10.119999885559082,10.399999618530273,10.399999618530273,3100,NMRD
2019-01-29,10.5,10.800000190734863,10.0,10.289999961853027,10.289999961853027,2700,NMRD
2019-01-30,10.300000190734863,10.489999771118164,10.0,10.399999618530273,10.399999618530273,8000,NMRD
2019-01-31,10.5,10.800000190734863,10.300000190734863,10.5,10.5,10000,NMRD
2019-02-01,10.800000190734863,11.449999809265137,10.399999618530273,10.399999618530273,10.399999618530273,5800,NMRD
2019-02-04,10.399999618530273,11.5,10.399999618530273,11.149999618530273,11.149999618530273,8000,NMRD
2019-02-05,10.699999809265137,11.300000190734863,10.699999809265137,10.899999618530273,10.899999618530273,8300,NMRD
2019-02-06,10.899999618530273,11.0,10.5,10.899999618530273,10.899999618530273,3400,NMRD
2019-02-07,10.600000381469727,11.0,10.199999809265137,10.199999809265137,10.199999809265137,15100,NMRD
2019-02-08,10.199999809265137,10.619999885559082,10.199999809265137,10.300000190734863,10.300000190734863,8100,NMRD
2019-02-11,10.600000381469727,19.299999237060547,10.5,12.600000381469727,12.600000381469727,145500,NMRD
2019-02-12,12.300000190734863,12.600000381469727,11.100000381469727,11.600000381469727,11.600000381469727,27700,NMRD
2019-02-13,11.600000381469727,11.65999984741211,10.600000381469727,10.699999809265137,10.699999809265137,18300,NMRD
2019-02-14,10.800000190734863,11.199999809265137,10.5,10.600000381469727,10.600000381469727,4500,NMRD
2019-02-15,10.699999809265137,11.140000343322754,10.5,10.800000190734863,10.800000190734863,14800,NMRD
2019-02-19,10.899999618530273,11.100000381469727,10.5,10.600000381469727,10.600000381469727,8500,NMRD
2019-02-20,10.5,11.199999809265137,10.5,10.899999618530273,10.899999618530273,5800,NMRD
2019-02-21,10.899999618530273,11.800000190734863,10.800000190734863,11.300000190734863,11.300000190734863,6300,NMRD
2019-02-22,11.899999618530273,12.399999618530273,11.600000381469727,12.199999809265137,12.199999809265137,19200,NMRD
2019-02-25,12.899999618530273,13.699999809265137,12.300000190734863,12.680000305175781,12.680000305175781,26700,NMRD
2019-02-26,12.800000190734863,12.859999656677246,10.800000190734863,11.6899995803833,11.6899995803833,15900,NMRD
2019-02-27,12.300000190734863,12.300000190734863,11.0600004196167,11.5,11.5,10100,NMRD
2019-02-28,11.699999809265137,11.800000190734863,11.0,11.640000343322754,11.640000343322754,12500,NMRD
2019-03-01,12.0,12.050000190734863,11.100000381469727,11.350000381469727,11.350000381469727,6300,NMRD
2019-03-04,12.0,12.0,11.0,11.399999618530273,11.399999618530273,8200,NMRD
2019-03-05,11.5,11.899999618530273,11.199999809265137,11.399999618530273,11.399999618530273,7100,NMRD
2019-03-06,11.699999809265137,11.699999809265137,10.100000381469727,10.199999809265137,10.199999809265137,13000,NMRD
2019-03-07,10.399999618530273,10.399999618530273,10.0,10.300000190734863,10.300000190734863,5900,NMRD
2019-03-08,10.300000190734863,10.800000190734863,10.0,10.800000190734863,10.800000190734863,10100,NMRD
2019-03-11,10.699999809265137,10.699999809265137,9.899999618530273,10.199999809265137,10.199999809265137,6200,NMRD
2019-03-12,10.600000381469727,11.399999618530273,10.149999618530273,10.399999618530273,10.399999618530273,9500,NMRD
2019-03-13,10.5,10.600000381469727,10.149999618530273,10.399999618530273,10.399999618530273,5300,NMRD
2019-03-14,10.300000190734863,10.300000190734863,10.0,10.050000190734863,10.050000190734863,3500,NMRD
2019-03-15,10.0,10.0,9.5,9.899999618530273,9.899999618530273,5800,NMRD
2019-03-18,9.600000381469727,9.899999618530273,9.5,9.699999809265137,9.699999809265137,6000,NMRD
2019-03-19,10.0,10.0,9.699999809265137,9.800000190734863,9.800000190734863,4300,NMRD
2019-03-20,9.899999618530273,9.899999618530273,9.699999809265137,9.850000381469727,9.850000381469727,6200,NMRD
2019-03-21,9.899999618530273,10.649999618530273,9.899999618530273,10.199999809265137,10.199999809265137,7600,NMRD
2019-03-22,10.399999618530273,10.449999809265137,10.0,10.300000190734863,10.300000190734863,4700,NMRD
2019-03-25,10.5,10.65999984741211,10.199999809265137,10.600000381469727,10.600000381469727,2500,NMRD
2019-03-26,10.800000190734863,10.800000190734863,10.199999809265137,10.5,10.5,5700,NMRD
2019-03-27,10.600000381469727,10.699999809265137,10.300000190734863,10.5,10.5,5900,NMRD
2019-03-28,10.399999618530273,10.569999694824219,10.100000381469727,10.199999809265137,10.199999809265137,5300,NMRD
2019-03-29,10.6899995803833,10.6899995803833,9.9399995803833,10.300000190734863,10.300000190734863,5100,NMRD
2019-04-01,10.5,10.5,9.699999809265137,10.199999809265137,10.199999809265137,8300,NMRD
2019-04-02,10.300000190734863,10.899999618530273,9.600000381469727,10.399999618530273,10.399999618530273,8500,NMRD
2019-04-03,10.0,10.800000190734863,9.899999618530273,10.300000190734863,10.300000190734863,6200,NMRD
2019-04-04,10.300000190734863,10.600000381469727,9.899999618530273,10.399999618530273,10.399999618530273,10400,NMRD
2019-04-05,10.399999618530273,10.600000381469727,9.899999618530273,10.600000381469727,10.600000381469727,8800,NMRD
2019-04-08,10.300000190734863,10.600000381469727,10.199999809265137,10.199999809265137,10.199999809265137,6000,NMRD
2019-04-09,10.199999809265137,10.399999618530273,10.0,10.239999771118164,10.239999771118164,3900,NMRD
2019-04-10,10.300000190734863,10.5,10.300000190734863,10.399999618530273,10.399999618530273,7900,NMRD
2019-04-11,10.420000076293945,10.800000190734863,10.399999618530273,10.630000114440918,10.630000114440918,6600,NMRD
2019-04-12,10.699999809265137,10.699999809265137,10.300000190734863,10.399999618530273,10.399999618530273,3100,NMRD
2019-04-15,10.5,10.600000381469727,10.199999809265137,10.600000381469727,10.600000381469727,8400,NMRD
2019-04-16,10.600000381469727,10.699999809265137,10.199999809265137,10.300000190734863,10.300000190734863,8500,NMRD
2019-04-17,10.5,10.600000381469727,10.199999809265137,10.300000190734863,10.300000190734863,43500,NMRD
2019-04-18,10.399999618530273,10.5,10.0,10.399999618530273,10.399999618530273,107900,NMRD
2019-04-22,10.199999809265137,10.5,9.699999809265137,9.899999618530273,9.899999618530273,55400,NMRD
2019-04-23,10.300000190734863,10.300000190734863,9.5,9.699999809265137,9.699999809265137,119900,NMRD
2019-04-24,9.800000190734863,10.699999809265137,9.5,10.210000038146973,10.210000038146973,85400,NMRD
2019-04-25,10.300000190734863,10.300000190734863,9.779999732971191,9.800000190734863,9.800000190734863,49300,NMRD
2019-04-26,10.0,10.199999809265137,9.550000190734863,10.199999809265137,10.199999809265137,34000,NMRD
2019-04-29,9.890000343322754,10.050000190734863,9.5,9.5,9.5,31800,NMRD
2019-04-30,9.579999923706055,10.5,9.5,9.600000381469727,9.600000381469727,23700,NMRD
2019-05-01,9.800000190734863,10.350000381469727,9.510000228881836,9.569999694824219,9.569999694824219,117100,NMRD
2019-05-02,9.949999809265137,9.949999809265137,9.300000190734863,9.300000190734863,9.300000190734863,96900,NMRD
2019-05-03,9.300000190734863,10.180000305175781,8.600000381469727,9.949999809265137,9.949999809265137,125100,NMRD
2019-05-06,9.899999618530273,10.0,9.300000190734863,9.329999923706055,9.329999923706055,31200,NMRD
2019-05-07,9.300000190734863,10.399999618530273,9.199999809265137,9.399999618530273,9.399999618530273,95900,NMRD
2019-05-08,9.399999618530273,10.0,9.020000457763672,9.380000114440918,9.380000114440918,77500,NMRD
2019-05-09,9.069999694824219,9.399999618530273,9.050000190734863,9.279999732971191,9.279999732971191,21900,NMRD
2019-05-10,9.100000381469727,9.380000114440918,8.899999618530273,9.0,9.0,27000,NMRD
2019-05-13,9.199999809265137,9.199999809265137,8.0,8.739999771118164,8.739999771118164,55200,NMRD
2019-05-14,8.9399995803833,9.0,8.239999771118164,9.0,9.0,12300,NMRD
