,open,high,low,close,adjclose,volume,ticker
2019-04-12,24.850000381469727,25.479999542236328,24.850000381469727,25.100000381469727,22.097368240356445,311400,SOHON
2019-04-15,25.25,25.25,25.079999923706055,25.079999923706055,22.07975959777832,40700,SOHON
2019-04-16,25.200000762939453,25.200000762939453,25.079999923706055,25.100000381469727,22.097368240356445,58600,SOHON
2019-04-17,25.200000762939453,25.3799991607666,25.149999618530273,25.190000534057617,22.17660140991211,12600,SOHON
2019-04-18,25.200000762939453,25.200000762939453,25.149999618530273,25.200000762939453,22.185405731201172,2800,SOHON
2019-04-22,25.25,25.299999237060547,25.200000762939453,25.299999237060547,22.273441314697266,5200,SOHON
2019-04-23,25.200000762939453,25.270000457763672,25.149999618530273,25.270000457763672,22.24703025817871,2700,SOHON
2019-04-24,25.25,25.290000915527344,25.1299991607666,25.139999389648438,22.13258171081543,9200,SOHON
2019-04-25,25.139999389648438,25.190000534057617,25.059999465942383,25.100000381469727,22.097368240356445,6500,SOHON
2019-04-26,25.100000381469727,25.239999771118164,25.06999969482422,25.229999542236328,22.21181297302246,23100,SOHON
2019-04-29,25.239999771118164,25.75,25.239999771118164,25.360000610351562,22.326265335083008,38200,SOHON
2019-04-30,25.440000534057617,25.549999237060547,25.360000610351562,25.400999069213867,22.36235809326172,23200,SOHON
2019-05-01,25.510000228881836,25.600000381469727,25.385000228881836,25.5,22.449514389038086,7400,SOHON
2019-05-02,25.5,25.57900047302246,25.420000076293945,25.5,22.449514389038086,5100,SOHON
2019-05-03,25.530000686645508,25.59000015258789,25.420000076293945,25.450000762939453,22.405500411987305,8700,SOHON
2019-05-06,25.450000762939453,25.5,25.280000686645508,25.389999389648438,22.35267448425293,10200,SOHON
2019-05-07,25.469999313354492,25.469999313354492,25.159000396728516,25.159000396728516,22.149309158325195,4400,SOHON
2019-05-08,25.301000595092773,25.357999801635742,25.257999420166016,25.257999420166016,22.236465454101562,2200,SOHON
2019-05-09,25.280000686645508,25.280000686645508,25.15999984741211,25.15999984741211,22.150188446044922,19200,SOHON
2019-05-10,25.219999313354492,25.25200080871582,25.149999618530273,25.200000762939453,22.185405731201172,16000,SOHON
2019-05-13,25.270000457763672,25.270000457763672,25.100000381469727,25.25,22.229421615600586,6400,SOHON
2019-05-14,25.25,25.350000381469727,25.25,25.350000381469727,22.317461013793945,6500,SOHON
2019-05-15,25.350000381469727,25.476999282836914,25.350000381469727,25.350000381469727,22.317461013793945,4900,SOHON
2019-05-16,25.40999984741211,25.628999710083008,25.40999984741211,25.559999465942383,22.502338409423828,6500,SOHON
2019-05-17,25.450000762939453,25.472000122070312,25.402999877929688,25.402999877929688,22.364120483398438,5100,SOHON
2019-05-20,25.349000930786133,25.469999313354492,25.31999969482422,25.469999313354492,22.423105239868164,2500,SOHON
2019-05-21,25.350000381469727,25.540000915527344,25.350000381469727,25.489999771118164,22.440711975097656,1500,SOHON
2019-05-22,25.350000381469727,25.540000915527344,25.350000381469727,25.475000381469727,22.427509307861328,3300,SOHON
2019-05-23,25.445999145507812,25.450000762939453,25.399999618530273,25.400999069213867,22.36235809326172,4400,SOHON
2019-05-24,25.489999771118164,25.489999771118164,25.363000869750977,25.363000869750977,22.32890510559082,2700,SOHON
2019-05-28,25.40999984741211,25.450000762939453,25.350000381469727,25.409000396728516,22.369403839111328,11000,SOHON
2019-05-29,25.40999984741211,25.40999984741211,25.350000381469727,25.360000610351562,22.326265335083008,5600,SOHON
2019-05-30,25.530000686645508,25.530000686645508,25.433000564575195,25.433000564575195,22.39052963256836,2000,SOHON
2019-05-31,25.4060001373291,25.479999542236328,25.350000381469727,25.399999618530273,22.361478805541992,7500,SOHON
2019-06-03,25.450000762939453,25.530000686645508,25.399999618530273,25.399999618530273,22.361478805541992,14200,SOHON
2019-06-04,25.549999237060547,25.65999984741211,25.450000762939453,25.520000457763672,22.467124938964844,36600,SOHON
2019-06-05,25.65999984741211,25.65999984741211,25.520000457763672,25.540000915527344,22.48473358154297,13000,SOHON
2019-06-06,25.6299991607666,25.65999984741211,25.520000457763672,25.59000015258789,22.528751373291016,7400,SOHON
2019-06-07,25.62299919128418,25.81999969482422,25.520000457763672,25.760000228881836,22.67841339111328,7100,SOHON
2019-06-10,25.760000228881836,26.09000015258789,25.59000015258789,25.850000381469727,22.757648468017578,19300,SOHON
2019-06-11,25.885000228881836,27.260000228881836,25.809999465942383,26.100000381469727,22.977741241455078,12200,SOHON
2019-06-12,26.110000610351562,26.110000610351562,25.899999618530273,26.0,22.88970375061035,7200,SOHON
2019-06-13,26.000999450683594,26.041000366210938,25.889999389648438,25.899999618530273,22.801664352416992,7000,SOHON
2019-06-14,26.020999908447266,26.020999908447266,25.65999984741211,25.709999084472656,22.63439178466797,8200,SOHON
2019-06-17,25.889999389648438,25.889999389648438,25.760000228881836,25.829999923706055,22.740039825439453,4800,SOHON
2019-06-18,25.950000762939453,25.959999084472656,25.829999923706055,25.8799991607666,22.784055709838867,6100,SOHON
2019-06-19,25.829999923706055,26.09000015258789,25.829999923706055,26.05900001525879,22.941646575927734,5000,SOHON
2019-06-20,26.09000015258789,26.249000549316406,25.899999618530273,26.020000457763672,22.907312393188477,10800,SOHON
2019-06-21,26.131999969482422,26.249000549316406,26.0,26.0,22.88970375061035,6800,SOHON
2019-06-24,26.010000228881836,26.010000228881836,26.0,26.0049991607666,22.894102096557617,1500,SOHON
2019-06-25,25.958999633789062,26.040000915527344,25.850000381469727,25.950000762939453,22.845684051513672,4700,SOHON
2019-06-26,25.969999313354492,26.25,25.920000076293945,25.979999542236328,22.87209701538086,10900,SOHON
2019-06-27,26.086000442504883,26.190000534057617,25.969999313354492,26.100000381469727,22.977741241455078,3500,SOHON
2019-06-28,25.93000030517578,25.93000030517578,25.530000686645508,25.59000015258789,22.895429611206055,9600,SOHON
2019-07-01,25.649999618530273,25.694000244140625,25.5,25.510000228881836,22.8238525390625,2000,SOHON
2019-07-02,25.701000213623047,25.709999084472656,25.510000228881836,25.709999084472656,23.002790451049805,1000,SOHON
2019-07-03,25.5,25.600000381469727,25.450000762939453,25.600000381469727,22.904376983642578,1700,SOHON
2019-07-05,25.540000915527344,25.683000564575195,25.540000915527344,25.683000564575195,22.9786376953125,3700,SOHON
2019-07-08,25.700000762939453,25.700000762939453,25.579999923706055,25.638999938964844,22.93927001953125,2900,SOHON
2019-07-09,25.645000457763672,25.683000564575195,25.549999237060547,25.6200008392334,22.922269821166992,3000,SOHON
2019-07-10,25.649999618530273,25.649999618530273,25.649999618530273,25.649999618530273,22.94911003112793,800,SOHON
2019-07-11,25.72800064086914,25.850000381469727,25.72800064086914,25.850000381469727,23.1280517578125,2000,SOHON
2019-07-12,25.979999542236328,25.979999542236328,25.75200080871582,25.93199920654297,23.201414108276367,3500,SOHON
2019-07-15,25.702999114990234,26.059999465942383,25.656999588012695,25.959999084472656,23.226469039916992,6300,SOHON
2019-07-16,25.8799991607666,25.950000762939453,25.760000228881836,25.834999084472656,23.114627838134766,12400,SOHON
2019-07-17,25.760000228881836,25.895000457763672,25.760000228881836,25.839000701904297,23.118209838867188,2200,SOHON
2019-07-18,25.83799934387207,25.899999618530273,25.75,25.75,23.0385799407959,2300,SOHON
2019-07-19,25.844999313354492,25.899999618530273,25.767000198364258,25.81399917602539,23.095842361450195,1200,SOHON
2019-07-22,25.889999389648438,25.889999389648438,25.799999237060547,25.829999923706055,23.110157012939453,1900,SOHON
