,open,high,low,close,adjclose,volume,ticker
2019-01-02,8.449999809265137,9.25,8.300000190734863,9.199999809265137,9.199999809265137,14200,VJET
2019-01-03,9.25,9.5,8.899999618530273,9.25,9.25,2100,VJET
2019-01-04,9.449999809265137,9.75,9.25,9.5,9.5,14300,VJET
2019-01-07,9.550000190734863,10.199999809265137,9.300000190734863,10.199999809265137,10.199999809265137,9100,VJET
2019-01-08,10.5,10.850000381469727,10.0,10.699999809265137,10.699999809265137,8000,VJET
2019-01-09,10.75,11.100000381469727,10.449999809265137,10.600000381469727,10.600000381469727,7000,VJET
2019-01-10,10.449999809265137,10.899999618530273,10.300000190734863,10.699999809265137,10.699999809265137,3500,VJET
2019-01-11,10.5,10.649999618530273,10.199999809265137,10.399999618530273,10.399999618530273,8800,VJET
2019-01-14,10.100000381469727,10.5,10.050000190734863,10.5,10.5,1500,VJET
2019-01-15,10.550000190734863,10.899999618530273,10.300000190734863,10.600000381469727,10.600000381469727,5500,VJET
2019-01-16,10.550000190734863,10.75,10.5,10.699999809265137,10.699999809265137,2200,VJET
2019-01-17,10.649999618530273,10.899999618530273,10.649999618530273,10.75,10.75,2600,VJET
2019-01-18,10.800000190734863,10.800000190734863,10.550000190734863,10.75,10.75,7800,VJET
2019-01-22,10.600000381469727,11.100000381469727,10.050000190734863,10.199999809265137,10.199999809265137,4500,VJET
2019-01-23,10.100000381469727,10.5,10.100000381469727,10.25,10.25,2700,VJET
2019-01-24,10.399999618530273,10.5,10.25,10.5,10.5,2600,VJET
2019-01-25,10.699999809265137,10.75,10.550000190734863,10.699999809265137,10.699999809265137,6200,VJET
2019-01-28,10.5,10.600000381469727,10.25,10.25,10.25,1900,VJET
2019-01-29,10.350000381469727,10.75,10.050000190734863,10.449999809265137,10.449999809265137,6100,VJET
2019-01-30,10.300000190734863,10.75,10.300000190734863,10.550000190734863,10.550000190734863,5100,VJET
2019-01-31,10.5,11.050000190734863,10.5,10.699999809265137,10.699999809265137,10700,VJET
2019-02-01,10.649999618530273,11.0,10.550000190734863,10.75,10.75,8900,VJET
2019-02-04,10.75,11.100000381469727,10.600000381469727,10.699999809265137,10.699999809265137,24300,VJET
2019-02-05,10.699999809265137,11.300000190734863,10.699999809265137,11.25,11.25,14700,VJET
2019-02-06,11.399999618530273,11.449999809265137,11.050000190734863,11.25,11.25,3900,VJET
2019-02-07,11.050000190734863,11.600000381469727,11.050000190734863,11.25,11.25,1200,VJET
2019-02-08,10.949999809265137,11.050000190734863,10.699999809265137,10.699999809265137,10.699999809265137,1700,VJET
2019-02-11,10.699999809265137,11.25,10.699999809265137,11.100000381469727,11.100000381469727,1800,VJET
2019-02-12,11.0,11.149999618530273,10.75,11.0,11.0,4800,VJET
2019-02-13,11.050000190734863,11.25,10.75,10.850000381469727,10.850000381469727,3300,VJET
2019-02-14,10.899999618530273,11.25,10.850000381469727,11.050000190734863,11.050000190734863,2600,VJET
2019-02-15,11.100000381469727,11.100000381469727,10.899999618530273,11.050000190734863,11.050000190734863,5500,VJET
2019-02-19,10.949999809265137,11.050000190734863,10.800000190734863,10.850000381469727,10.850000381469727,1600,VJET
2019-02-20,10.850000381469727,11.050000190734863,10.75,11.050000190734863,11.050000190734863,3500,VJET
2019-02-21,11.0,11.050000190734863,10.800000190734863,11.0,11.0,1300,VJET
2019-02-22,10.899999618530273,11.050000190734863,10.800000190734863,10.800000190734863,10.800000190734863,1700,VJET
2019-02-25,10.899999618530273,11.75,10.899999618530273,11.050000190734863,11.050000190734863,22000,VJET
2019-02-26,11.100000381469727,11.75,11.0,11.75,11.75,15700,VJET
2019-02-27,11.699999809265137,12.0,11.5,11.5,11.5,11800,VJET
2019-02-28,11.600000381469727,11.649999618530273,11.25,11.25,11.25,3400,VJET
2019-03-01,11.25,11.5,11.25,11.25,11.25,4700,VJET
2019-03-04,11.149999618530273,11.550000190734863,11.149999618530273,11.25,11.25,6200,VJET
2019-03-05,11.25,11.350000381469727,11.0,11.050000190734863,11.050000190734863,9600,VJET
2019-03-06,11.050000190734863,11.350000381469727,10.649999618530273,10.949999809265137,10.949999809265137,9400,VJET
2019-03-07,10.850000381469727,11.149999618530273,10.600000381469727,10.800000190734863,10.800000190734863,9000,VJET
2019-03-08,10.649999618530273,10.899999618530273,10.550000190734863,10.699999809265137,10.699999809265137,15200,VJET
2019-03-11,10.75,10.899999618530273,10.600000381469727,10.899999618530273,10.899999618530273,11200,VJET
2019-03-12,10.899999618530273,11.25,10.75,10.899999618530273,10.899999618530273,3000,VJET
2019-03-13,10.850000381469727,11.5,10.850000381469727,11.199999809265137,11.199999809265137,2700,VJET
2019-03-14,11.100000381469727,11.449999809265137,11.0,11.25,11.25,4300,VJET
2019-03-15,11.25,11.350000381469727,10.949999809265137,11.100000381469727,11.100000381469727,9100,VJET
2019-03-18,10.949999809265137,11.199999809265137,10.75,10.75,10.75,6500,VJET
2019-03-19,10.75,11.199999809265137,10.75,10.899999618530273,10.899999618530273,6500,VJET
2019-03-20,10.850000381469727,11.050000190734863,10.75,10.75,10.75,6100,VJET
