,open,high,low,close,adjclose,volume,ticker
2019-01-02,3.359999895095825,3.549999952316284,3.2799999713897705,3.5,3.5,696300,ARAY
2019-01-03,3.4600000381469727,3.5199999809265137,3.2899999618530273,3.319999933242798,3.319999933242798,590500,ARAY
2019-01-04,3.359999895095825,3.4800000190734863,3.309999942779541,3.430000066757202,3.430000066757202,385200,ARAY
2019-01-07,3.430000066757202,3.5999999046325684,3.4200000762939453,3.549999952316284,3.549999952316284,550900,ARAY
2019-01-08,3.5899999141693115,3.6700000762939453,3.5399999618530273,3.619999885559082,3.619999885559082,315200,ARAY
2019-01-09,3.640000104904175,3.75,3.5999999046325684,3.740000009536743,3.740000009536743,372500,ARAY
2019-01-10,3.700000047683716,3.930000066757202,3.700000047683716,3.8499999046325684,3.8499999046325684,407500,ARAY
2019-01-11,3.809999942779541,4.119999885559082,3.7799999713897705,4.0,4.0,1208500,ARAY
2019-01-14,3.9800000190734863,4.059999942779541,3.859999895095825,3.940000057220459,3.940000057220459,998700,ARAY
2019-01-15,3.940000057220459,4.019999980926514,3.8299999237060547,3.940000057220459,3.940000057220459,662000,ARAY
2019-01-16,3.9800000190734863,4.050000190734863,3.799999952316284,3.880000114440918,3.880000114440918,885400,ARAY
2019-01-17,3.859999895095825,3.9100000858306885,3.7300000190734863,3.8399999141693115,3.8399999141693115,453700,ARAY
2019-01-18,3.819999933242798,3.930000066757202,3.549999952316284,3.869999885559082,3.869999885559082,1079500,ARAY
2019-01-22,3.9100000858306885,4.059999942779541,3.880000114440918,3.9700000286102295,3.9700000286102295,802800,ARAY
2019-01-23,4.5,4.610000133514404,4.119999885559082,4.420000076293945,4.420000076293945,3011400,ARAY
2019-01-24,4.409999847412109,4.409999847412109,4.130000114440918,4.25,4.25,849900,ARAY
2019-01-25,4.28000020980835,4.519999980926514,4.179999828338623,4.46999979019165,4.46999979019165,1739400,ARAY
2019-01-28,4.480000019073486,4.619999885559082,4.21999979019165,4.25,4.25,1151500,ARAY
2019-01-29,4.349999904632568,4.489999771118164,4.210000038146973,4.440000057220459,4.440000057220459,944300,ARAY
2019-01-30,4.480000019073486,4.5,4.320000171661377,4.409999847412109,4.409999847412109,472700,ARAY
2019-01-31,4.389999866485596,4.5,4.369999885559082,4.400000095367432,4.400000095367432,656600,ARAY
2019-02-01,4.400000095367432,4.429999828338623,4.289999961853027,4.329999923706055,4.329999923706055,521100,ARAY
2019-02-04,4.369999885559082,4.579999923706055,4.300000190734863,4.570000171661377,4.570000171661377,1178300,ARAY
2019-02-05,4.570000171661377,4.75,4.539999961853027,4.739999771118164,4.739999771118164,1197200,ARAY
2019-02-06,4.75,4.96999979019165,4.650000095367432,4.940000057220459,4.940000057220459,1329500,ARAY
2019-02-07,4.920000076293945,4.949999809265137,4.739999771118164,4.940000057220459,4.940000057220459,1285600,ARAY
2019-02-08,4.900000095367432,5.130000114440918,4.849999904632568,5.119999885559082,5.119999885559082,1320800,ARAY
2019-02-11,5.110000133514404,5.28000020980835,5.050000190734863,5.25,5.25,1439300,ARAY
2019-02-12,5.25,5.329999923706055,4.940000057220459,5.0,5.0,1231900,ARAY
2019-02-13,5.0,5.059999942779541,4.900000095367432,4.909999847412109,4.909999847412109,914400,ARAY
2019-02-14,4.909999847412109,4.980000019073486,4.75,4.809999942779541,4.809999942779541,568100,ARAY
2019-02-15,4.840000152587891,4.960000038146973,4.800000190734863,4.929999828338623,4.929999828338623,623400,ARAY
2019-02-19,4.940000057220459,5.130000114440918,4.900000095367432,5.099999904632568,5.099999904632568,571500,ARAY
2019-02-20,5.090000152587891,5.190000057220459,5.059999942779541,5.170000076293945,5.170000076293945,588400,ARAY
2019-02-21,5.170000076293945,5.28000020980835,5.110000133514404,5.269999980926514,5.269999980926514,1172300,ARAY
2019-02-22,5.28000020980835,5.400000095367432,5.190000057220459,5.28000020980835,5.28000020980835,946300,ARAY
2019-02-25,5.300000190734863,5.329999923706055,5.159999847412109,5.190000057220459,5.190000057220459,549100,ARAY
2019-02-26,5.190000057220459,5.199999809265137,4.96999979019165,5.03000020980835,5.03000020980835,587300,ARAY
2019-02-27,5.0,5.050000190734863,4.949999809265137,4.960000038146973,4.960000038146973,434000,ARAY
2019-02-28,4.949999809265137,5.010000228881836,4.809999942779541,4.820000171661377,4.820000171661377,593100,ARAY
2019-03-01,4.840000152587891,5.210000038146973,4.840000152587891,5.159999847412109,5.159999847412109,781500,ARAY
2019-03-04,5.170000076293945,5.179999828338623,4.989999771118164,5.139999866485596,5.139999866485596,671400,ARAY
2019-03-05,5.079999923706055,5.210000038146973,5.010000228881836,5.119999885559082,5.119999885559082,613900,ARAY
2019-03-06,5.110000133514404,5.130000114440918,4.929999828338623,5.0,5.0,507100,ARAY
2019-03-07,4.989999771118164,4.989999771118164,4.829999923706055,4.920000076293945,4.920000076293945,491300,ARAY
2019-03-08,4.880000114440918,4.949999809265137,4.710000038146973,4.769999980926514,4.769999980926514,868200,ARAY
2019-03-11,4.800000190734863,4.829999923706055,4.579999923706055,4.71999979019165,4.71999979019165,1389800,ARAY
2019-03-12,4.71999979019165,4.78000020980835,4.519999980926514,4.630000114440918,4.630000114440918,1415500,ARAY
2019-03-13,4.650000095367432,4.739999771118164,4.510000228881836,4.579999923706055,4.579999923706055,1324100,ARAY
2019-03-14,4.559999942779541,4.599999904632568,4.400000095367432,4.409999847412109,4.409999847412109,1448400,ARAY
2019-03-15,4.409999847412109,4.570000171661377,4.320000171661377,4.460000038146973,4.460000038146973,5724900,ARAY
2019-03-18,4.400000095367432,4.679999828338623,4.389999866485596,4.670000076293945,4.670000076293945,814200,ARAY
2019-03-19,4.699999809265137,4.840000152587891,4.630000114440918,4.809999942779541,4.809999942779541,508900,ARAY
2019-03-20,4.820000171661377,4.909999847412109,4.71999979019165,4.849999904632568,4.849999904632568,681700,ARAY
2019-03-21,4.820000171661377,4.960000038146973,4.75,4.800000190734863,4.800000190734863,663300,ARAY
