,open,high,low,close,adjclose,volume,ticker
2019-01-02,1.7000000476837158,2.0299999713897705,1.7000000476837158,2.0,2.0,330000,ARDX
2019-01-03,1.9900000095367432,2.015000104904175,1.850000023841858,1.8799999952316284,1.8799999952316284,234900,ARDX
2019-01-04,1.9199999570846558,2.0899999141693115,1.9049999713897705,2.059999942779541,2.059999942779541,230900,ARDX
2019-01-07,2.0399999618530273,2.509999990463257,2.0209999084472656,2.240000009536743,2.240000009536743,340300,ARDX
2019-01-08,2.25,2.430000066757202,2.1760001182556152,2.3399999141693115,2.3399999141693115,416100,ARDX
2019-01-09,2.3499999046325684,2.434999942779541,2.2699999809265137,2.4000000953674316,2.4000000953674316,371400,ARDX
2019-01-10,2.369999885559082,2.440000057220459,2.2899999618530273,2.4100000858306885,2.4100000858306885,319900,ARDX
2019-01-11,2.4000000953674316,2.450000047683716,2.3499999046325684,2.4100000858306885,2.4100000858306885,195200,ARDX
2019-01-14,2.369999885559082,2.390000104904175,2.25,2.299999952316284,2.299999952316284,292300,ARDX
2019-01-15,2.2899999618530273,2.3499999046325684,2.259999990463257,2.3299999237060547,2.3299999237060547,243300,ARDX
2019-01-16,2.319999933242798,2.380000114440918,2.200000047683716,2.2300000190734863,2.2300000190734863,137300,ARDX
2019-01-17,2.2100000381469727,2.3399999141693115,2.2100000381469727,2.319999933242798,2.319999933242798,209400,ARDX
2019-01-18,2.3399999141693115,2.380000114440918,2.190000057220459,2.2300000190734863,2.2300000190734863,180000,ARDX
2019-01-22,2.200000047683716,2.25,2.0,2.0250000953674316,2.0250000953674316,312800,ARDX
2019-01-23,2.009999990463257,2.130000114440918,1.909999966621399,1.940000057220459,1.940000057220459,217100,ARDX
2019-01-24,1.9199999570846558,2.009999990463257,1.8600000143051147,2.009999990463257,2.009999990463257,227200,ARDX
2019-01-25,2.0299999713897705,2.0799999237060547,2.0,2.0199999809265137,2.0199999809265137,258300,ARDX
2019-01-28,2.0199999809265137,2.0899999141693115,1.9600000381469727,1.9900000095367432,1.9900000095367432,165500,ARDX
2019-01-29,1.9900000095367432,2.049999952316284,1.9600000381469727,2.009999990463257,2.009999990463257,96700,ARDX
2019-01-30,2.0,2.140000104904175,2.0,2.0999999046325684,2.0999999046325684,144000,ARDX
2019-01-31,2.109999895095825,2.197999954223633,2.069999933242798,2.0999999046325684,2.0999999046325684,135500,ARDX
2019-02-01,2.119999885559082,2.140000104904175,2.078000068664551,2.130000114440918,2.130000114440918,118000,ARDX
2019-02-04,2.0999999046325684,2.2300000190734863,2.0999999046325684,2.180000066757202,2.180000066757202,207000,ARDX
2019-02-05,2.1500000953674316,2.299999952316284,2.119999885559082,2.119999885559082,2.119999885559082,144300,ARDX
2019-02-06,2.140000104904175,2.299999952316284,2.140000104904175,2.259999990463257,2.259999990463257,255800,ARDX
2019-02-07,2.240000009536743,2.3299999237060547,2.190999984741211,2.3299999237060547,2.3299999237060547,223500,ARDX
2019-02-08,2.3499999046325684,2.5,2.2899999618530273,2.4100000858306885,2.4100000858306885,169400,ARDX
2019-02-11,2.450000047683716,2.5299999713897705,2.3499999046325684,2.5299999713897705,2.5299999713897705,174300,ARDX
2019-02-12,2.5299999713897705,2.5899999141693115,2.450000047683716,2.5399999618530273,2.5399999618530273,198200,ARDX
2019-02-13,2.569999933242798,2.740000009536743,2.5399999618530273,2.5999999046325684,2.5999999046325684,95800,ARDX
2019-02-14,2.5999999046325684,2.6600000858306885,2.509999990463257,2.5199999809265137,2.5199999809265137,197600,ARDX
2019-02-15,2.549999952316284,2.6600000858306885,2.5399999618530273,2.609999895095825,2.609999895095825,154800,ARDX
2019-02-19,2.630000114440918,2.6600000858306885,2.559999942779541,2.609999895095825,2.609999895095825,119500,ARDX
2019-02-20,2.619999885559082,2.6500000953674316,2.5399999618530273,2.630000114440918,2.630000114440918,112500,ARDX
2019-02-21,2.609999895095825,2.609999895095825,2.490000009536743,2.549999952316284,2.549999952316284,135400,ARDX
2019-02-22,2.559999942779541,2.7100000381469727,2.509999990463257,2.7100000381469727,2.7100000381469727,129600,ARDX
2019-02-25,2.7200000286102295,2.7660000324249268,2.5999999046325684,2.5999999046325684,2.5999999046325684,178400,ARDX
2019-02-26,2.609999895095825,2.609999895095825,2.509999990463257,2.569999933242798,2.569999933242798,143800,ARDX
2019-02-27,2.5799999237060547,2.690000057220459,2.5799999237060547,2.640000104904175,2.640000104904175,155200,ARDX
2019-02-28,2.609999895095825,2.859999895095825,2.609999895095825,2.809999942779541,2.809999942779541,264800,ARDX
2019-03-01,2.869999885559082,3.0799999237060547,2.759999990463257,3.0299999713897705,3.0299999713897705,348800,ARDX
2019-03-04,3.049999952316284,3.0999999046325684,2.819999933242798,2.930000066757202,2.930000066757202,286900,ARDX
2019-03-05,2.940000057220459,3.140000104904175,2.888000011444092,3.0,3.0,218500,ARDX
2019-03-06,3.0299999713897705,3.0299999713897705,2.8399999141693115,2.8499999046325684,2.8499999046325684,146100,ARDX
2019-03-07,2.880000114440918,3.319999933242798,2.880000114440918,3.240000009536743,3.240000009536743,293700,ARDX
2019-03-08,3.3399999141693115,3.450000047683716,3.049999952316284,3.2799999713897705,3.2799999713897705,369200,ARDX
2019-03-11,3.319999933242798,3.390000104904175,3.2049999237060547,3.2899999618530273,3.2899999618530273,140800,ARDX
2019-03-12,3.299999952316284,3.359999895095825,3.25,3.259999990463257,3.259999990463257,185900,ARDX
2019-03-13,3.2899999618530273,3.319999933242798,3.25,3.25,3.25,146700,ARDX
2019-03-14,3.25,3.380000114440918,3.25,3.3399999141693115,3.3399999141693115,259300,ARDX
2019-03-15,3.3399999141693115,3.390000104904175,3.259999990463257,3.309999942779541,3.309999942779541,333400,ARDX
2019-03-18,3.299999952316284,3.369999885559082,3.2799999713897705,3.2799999713897705,3.2799999713897705,145900,ARDX
2019-03-19,3.2699999809265137,3.309999942779541,3.259999990463257,3.2699999809265137,3.2699999809265137,115000,ARDX
2019-03-20,3.2799999713897705,3.430000066757202,3.25,3.309999942779541,3.309999942779541,175900,ARDX
2019-03-21,3.2899999618530273,3.390000104904175,3.255000114440918,3.2799999713897705,3.2799999713897705,140500,ARDX
2019-03-22,3.2100000381469727,3.450000047683716,3.200000047683716,3.3499999046325684,3.3499999046325684,267500,ARDX
2019-03-25,3.309999942779541,3.369999885559082,3.25,3.2799999713897705,3.2799999713897705,207500,ARDX
