,open,high,low,close,adjclose,volume,ticker
2019-01-02,12.420000076293945,12.850000381469727,12.100000381469727,12.770000457763672,12.770000457763672,464600,ATNX
2019-01-03,12.710000038146973,12.710000038146973,12.0,12.0600004196167,12.0600004196167,368900,ATNX
2019-01-04,12.0600004196167,12.489999771118164,11.989999771118164,12.430000305175781,12.430000305175781,389500,ATNX
2019-01-07,12.579999923706055,12.770000457763672,12.1899995803833,12.420000076293945,12.420000076293945,317200,ATNX
2019-01-08,12.479999542236328,12.479999542236328,12.069999694824219,12.289999961853027,12.289999961853027,491200,ATNX
2019-01-09,12.3100004196167,12.600000381469727,11.829999923706055,12.399999618530273,12.399999618530273,317500,ATNX
2019-01-10,12.260000228881836,12.359999656677246,11.859999656677246,11.90999984741211,11.90999984741211,270400,ATNX
2019-01-11,11.789999961853027,12.0,11.520000457763672,11.739999771118164,11.739999771118164,169900,ATNX
2019-01-14,11.779999732971191,11.864999771118164,11.25,11.270000457763672,11.270000457763672,372600,ATNX
2019-01-15,11.3100004196167,11.5,11.199999809265137,11.470000267028809,11.470000267028809,141000,ATNX
2019-01-16,11.569999694824219,11.930000305175781,11.40999984741211,11.880000114440918,11.880000114440918,109200,ATNX
2019-01-17,11.75,12.020000457763672,11.640000343322754,11.890000343322754,11.890000343322754,120300,ATNX
2019-01-18,11.920000076293945,12.279999732971191,11.770000457763672,12.050000190734863,12.050000190734863,175800,ATNX
2019-01-22,12.039999961853027,12.324999809265137,11.5600004196167,11.59000015258789,11.59000015258789,188500,ATNX
2019-01-23,11.829999923706055,11.920000076293945,11.1899995803833,11.289999961853027,11.289999961853027,158400,ATNX
2019-01-24,11.390000343322754,11.720000267028809,11.045000076293945,11.470000267028809,11.470000267028809,159700,ATNX
2019-01-25,11.529999732971191,12.170000076293945,11.399999618530273,12.010000228881836,12.010000228881836,211500,ATNX
2019-01-28,12.0,12.0,11.40999984741211,11.430000305175781,11.430000305175781,206900,ATNX
2019-01-29,11.470000267028809,11.600000381469727,10.989999771118164,11.109999656677246,11.109999656677246,275200,ATNX
2019-01-30,11.130000114440918,11.479999542236328,11.079999923706055,11.34000015258789,11.34000015258789,285400,ATNX
2019-01-31,11.479999542236328,11.779999732971191,11.289999961853027,11.75,11.75,315600,ATNX
2019-02-01,11.75,12.024999618530273,11.600000381469727,11.960000038146973,11.960000038146973,143000,ATNX
2019-02-04,12.300000190734863,12.300000190734863,11.84000015258789,12.069999694824219,12.069999694824219,102200,ATNX
2019-02-05,12.079999923706055,12.25,12.0,12.020000457763672,12.020000457763672,101500,ATNX
2019-02-06,12.039999961853027,12.15999984741211,11.75,12.020000457763672,12.020000457763672,95800,ATNX
2019-02-07,11.970000267028809,12.210000038146973,11.729999542236328,11.829999923706055,11.829999923706055,115900,ATNX
2019-02-08,11.789999961853027,12.09000015258789,11.770000457763672,12.050000190734863,12.050000190734863,99900,ATNX
2019-02-11,12.140000343322754,12.239999771118164,11.930000305175781,12.069999694824219,12.069999694824219,88600,ATNX
2019-02-12,12.180000305175781,12.300000190734863,11.979999542236328,12.300000190734863,12.300000190734863,109400,ATNX
2019-02-13,12.289999961853027,12.569999694824219,12.149999618530273,12.289999961853027,12.289999961853027,164000,ATNX
2019-02-14,12.270000457763672,12.59000015258789,12.1899995803833,12.5,12.5,174400,ATNX
2019-02-15,12.5600004196167,12.65999984741211,12.380000114440918,12.640000343322754,12.640000343322754,168200,ATNX
2019-02-19,12.65999984741211,13.0,12.550000190734863,12.829999923706055,12.829999923706055,404300,ATNX
2019-02-20,12.859999656677246,13.029999732971191,12.699999809265137,12.760000228881836,12.760000228881836,321100,ATNX
2019-02-21,12.75,12.800000190734863,12.359999656677246,12.739999771118164,12.739999771118164,176700,ATNX
2019-02-22,12.890000343322754,13.170000076293945,12.789999961853027,13.119999885559082,13.119999885559082,205100,ATNX
2019-02-25,13.300000190734863,13.444999694824219,12.899999618530273,13.130000114440918,13.130000114440918,288700,ATNX
2019-02-26,13.100000381469727,13.260000228881836,13.0,13.039999961853027,13.039999961853027,146800,ATNX
2019-02-27,13.050000190734863,13.199999809265137,12.75,12.9399995803833,12.9399995803833,327300,ATNX
2019-02-28,12.949999809265137,13.255000114440918,12.819999694824219,13.170000076293945,13.170000076293945,371600,ATNX
2019-03-01,13.329999923706055,13.65999984741211,12.930000305175781,13.489999771118164,13.489999771118164,401800,ATNX
2019-03-04,13.720000267028809,13.75,12.789999961853027,12.989999771118164,12.989999771118164,579200,ATNX
2019-03-05,13.020000457763672,13.15999984741211,12.675000190734863,12.710000038146973,12.710000038146973,171300,ATNX
2019-03-06,12.75,12.770000457763672,12.0600004196167,12.130000114440918,12.130000114440918,264600,ATNX
2019-03-07,12.15999984741211,12.300000190734863,11.90999984741211,11.989999771118164,11.989999771118164,174200,ATNX
2019-03-08,11.899999618530273,11.930000305175781,11.609999656677246,11.789999961853027,11.789999961853027,283100,ATNX
2019-03-11,12.029999732971191,12.355999946594238,11.210000038146973,11.90999984741211,11.90999984741211,335900,ATNX
2019-03-12,12.140000343322754,12.180999755859375,11.619999885559082,11.829999923706055,11.829999923706055,344900,ATNX
2019-03-13,11.90999984741211,12.029999732971191,11.569999694824219,11.720000267028809,11.720000267028809,306200,ATNX
2019-03-14,11.699999809265137,11.989999771118164,11.329999923706055,11.390000343322754,11.390000343322754,234100,ATNX
2019-03-15,11.399999618530273,11.880000114440918,11.270000457763672,11.869999885559082,11.869999885559082,475100,ATNX
2019-03-18,11.890000343322754,12.59000015258789,11.760000228881836,12.399999618530273,12.399999618530273,312100,ATNX
2019-03-19,12.470000267028809,12.5,12.0,12.050000190734863,12.050000190734863,236200,ATNX
2019-03-20,12.050000190734863,12.239999771118164,11.890000343322754,12.140000343322754,12.140000343322754,264500,ATNX
2019-03-21,12.449999809265137,12.699999809265137,12.199999809265137,12.649999618530273,12.649999618530273,284700,ATNX
2019-03-22,12.609999656677246,12.670000076293945,12.260000228881836,12.260000228881836,12.260000228881836,301700,ATNX
2019-03-25,12.220000267028809,12.569999694824219,12.050000190734863,12.479999542236328,12.479999542236328,202500,ATNX
2019-03-26,12.569999694824219,12.800000190734863,12.520000457763672,12.800000190734863,12.800000190734863,223200,ATNX
2019-03-27,12.789999961853027,12.920000076293945,12.114999771118164,12.40999984741211,12.40999984741211,298900,ATNX
2019-03-28,12.479999542236328,12.640000343322754,12.229999542236328,12.380000114440918,12.380000114440918,124900,ATNX
2019-03-29,12.569999694824219,12.699999809265137,12.149999618530273,12.25,12.25,242400,ATNX
2019-04-01,12.350000381469727,12.420000076293945,11.875,12.0600004196167,12.0600004196167,211200,ATNX
2019-04-02,12.029999732971191,12.100000381469727,11.880000114440918,11.930000305175781,11.930000305175781,124000,ATNX
2019-04-03,12.039999961853027,12.130000114440918,11.34000015258789,11.489999771118164,11.489999771118164,247400,ATNX
2019-04-04,11.5,11.5,10.90999984741211,11.4399995803833,11.4399995803833,581400,ATNX
2019-04-05,11.489999771118164,11.899999618530273,11.399999618530273,11.699999809265137,11.699999809265137,443000,ATNX
2019-04-08,11.619999885559082,11.800000190734863,11.4399995803833,11.489999771118164,11.489999771118164,311200,ATNX
2019-04-09,11.4399995803833,12.0,11.4399995803833,11.970000267028809,11.970000267028809,561800,ATNX
2019-04-10,12.010000228881836,12.350000381469727,11.899999618530273,12.220000267028809,12.220000267028809,358200,ATNX
2019-04-11,12.229999542236328,12.432999610900879,11.829999923706055,11.989999771118164,11.989999771118164,295300,ATNX
2019-04-12,12.09000015258789,12.229999542236328,11.760000228881836,11.880000114440918,11.880000114440918,350600,ATNX
2019-04-15,11.899999618530273,11.970000267028809,11.4399995803833,11.539999961853027,11.539999961853027,123200,ATNX
2019-04-16,11.59000015258789,11.770000457763672,11.461000442504883,11.670000076293945,11.670000076293945,260100,ATNX
2019-04-17,11.739999771118164,11.739999771118164,11.0,11.260000228881836,11.260000228881836,406600,ATNX
2019-04-18,11.239999771118164,11.430000305175781,10.609999656677246,11.0600004196167,11.0600004196167,245000,ATNX
2019-04-22,11.0,11.1899995803833,10.84000015258789,10.9399995803833,10.9399995803833,146700,ATNX
2019-04-23,11.010000228881836,11.489999771118164,10.791999816894531,11.34000015258789,11.34000015258789,251800,ATNX
2019-04-24,11.369999885559082,11.460000038146973,10.75,10.760000228881836,10.760000228881836,177100,ATNX
2019-04-25,10.760000228881836,10.9399995803833,10.510000228881836,10.569999694824219,10.569999694824219,227300,ATNX
2019-04-26,10.600000381469727,10.760000228881836,10.510000228881836,10.729999542236328,10.729999542236328,144100,ATNX
2019-04-29,10.720000267028809,10.770000457763672,10.199999809265137,10.210000038146973,10.210000038146973,204600,ATNX
2019-04-30,10.289999961853027,10.3149995803833,9.84000015258789,9.880000114440918,9.880000114440918,335800,ATNX
2019-05-01,10.0,10.15999984741211,9.380000114440918,9.4399995803833,9.4399995803833,376600,ATNX
2019-05-02,9.630000114440918,10.119999885559082,9.630000114440918,9.930000305175781,9.930000305175781,316600,ATNX
2019-05-03,10.079999923706055,10.279999732971191,10.010000228881836,10.119999885559082,10.119999885559082,253800,ATNX
2019-05-06,10.5,13.390000343322754,10.5,12.989999771118164,12.989999771118164,2155400,ATNX
2019-05-07,13.050000190734863,13.180000305175781,12.404999732971191,12.890000343322754,12.890000343322754,1237900,ATNX
2019-05-08,12.699999809265137,13.050999641418457,12.65999984741211,12.989999771118164,12.989999771118164,741400,ATNX
2019-05-09,13.0,13.25,12.739999771118164,13.010000228881836,13.010000228881836,1019100,ATNX
2019-05-10,12.949999809265137,14.479999542236328,12.949999809265137,14.260000228881836,14.260000228881836,790100,ATNX
2019-05-13,14.020000457763672,14.75,13.914999961853027,14.0,14.0,734000,ATNX
2019-05-14,13.949999809265137,14.140000343322754,13.730999946594238,13.800000190734863,13.800000190734863,594700,ATNX
2019-05-15,13.649999618530273,14.170000076293945,13.569999694824219,14.020000457763672,14.020000457763672,453500,ATNX
2019-05-16,14.069999694824219,14.710000038146973,13.96500015258789,14.079999923706055,14.079999923706055,511000,ATNX
2019-05-17,13.920000076293945,14.460000038146973,13.800000190734863,13.930000305175781,13.930000305175781,345300,ATNX
2019-05-20,13.84000015258789,14.140000343322754,13.6899995803833,13.949999809265137,13.949999809265137,402800,ATNX
2019-05-21,13.960000038146973,14.199999809265137,13.8100004196167,14.180000305175781,14.180000305175781,304400,ATNX
2019-05-22,14.09000015258789,14.288999557495117,13.930000305175781,14.050000190734863,14.050000190734863,401900,ATNX
2019-05-23,13.930000305175781,14.130000114440918,13.609999656677246,13.84000015258789,13.84000015258789,310600,ATNX
2019-05-24,13.819999694824219,14.069999694824219,13.59000015258789,14.0,14.0,337900,ATNX
2019-05-28,14.0,14.0,13.680000305175781,13.760000228881836,13.760000228881836,514500,ATNX
2019-05-29,13.649999618530273,14.0,13.520000457763672,13.920000076293945,13.920000076293945,617400,ATNX
2019-05-30,13.960000038146973,14.550000190734863,13.960000038146973,14.489999771118164,14.489999771118164,661800,ATNX
2019-05-31,14.34000015258789,14.600000381469727,14.255000114440918,14.449999809265137,14.449999809265137,475000,ATNX
2019-06-03,14.460000038146973,14.869999885559082,14.34000015258789,14.449999809265137,14.449999809265137,734000,ATNX
2019-06-04,14.579999923706055,14.579999923706055,14.319999694824219,14.539999961853027,14.539999961853027,589200,ATNX
2019-06-05,14.600000381469727,15.489999771118164,14.5,15.140000343322754,15.140000343322754,723500,ATNX
2019-06-06,15.170000076293945,15.244999885559082,14.729999542236328,14.989999771118164,14.989999771118164,617000,ATNX
2019-06-07,15.119999885559082,16.780000686645508,15.020000457763672,16.559999465942383,16.559999465942383,1470600,ATNX
2019-06-10,16.700000762939453,16.989999771118164,16.559999465942383,16.65999984741211,16.65999984741211,559500,ATNX
2019-06-11,16.75,16.93000030517578,16.270000457763672,16.489999771118164,16.489999771118164,519400,ATNX
2019-06-12,16.360000610351562,17.059999465942383,16.350000381469727,16.950000762939453,16.950000762939453,391800,ATNX
2019-06-13,17.010000228881836,17.420000076293945,16.829999923706055,17.309999465942383,17.309999465942383,407100,ATNX
2019-06-14,17.399999618530273,17.940000534057617,17.25,17.799999237060547,17.799999237060547,749500,ATNX
2019-06-17,17.889999389648438,17.940000534057617,17.25,17.809999465942383,17.809999465942383,554000,ATNX
2019-06-18,18.0,18.18000030517578,17.375,17.989999771118164,17.989999771118164,600100,ATNX
2019-06-19,18.0,18.190000534057617,17.760000228881836,18.0,18.0,532100,ATNX
2019-06-20,18.0,18.165000915527344,17.809999465942383,18.020000457763672,18.020000457763672,459300,ATNX
2019-06-21,18.0,18.049999237060547,17.760000228881836,17.940000534057617,17.940000534057617,766900,ATNX
