,open,high,low,close,adjclose,volume,ticker
2019-01-02,24.68000030517578,24.950000762939453,24.3799991607666,24.8700008392334,24.8700008392334,11400,BATRA
2019-01-03,24.75,24.981000900268555,24.610000610351562,24.8799991607666,24.8799991607666,33600,BATRA
2019-01-04,25.06999969482422,25.09000015258789,24.71299934387207,24.899999618530273,24.899999618530273,35600,BATRA
2019-01-07,24.899999618530273,25.040000915527344,24.56999969482422,24.829999923706055,24.829999923706055,39300,BATRA
2019-01-08,24.889999389648438,25.4950008392334,24.860000610351562,25.399999618530273,25.399999618530273,50600,BATRA
2019-01-09,25.260000228881836,25.520000457763672,25.1299991607666,25.190000534057617,25.190000534057617,54300,BATRA
2019-01-10,25.139999389648438,25.476999282836914,25.139999389648438,25.389999389648438,25.389999389648438,33900,BATRA
2019-01-11,25.360000610351562,25.93000030517578,25.299999237060547,25.360000610351562,25.360000610351562,29200,BATRA
2019-01-14,25.3799991607666,25.479999542236328,25.149999618530273,25.350000381469727,25.350000381469727,27700,BATRA
2019-01-15,25.450000762939453,25.670000076293945,25.260000228881836,25.520000457763672,25.520000457763672,35700,BATRA
2019-01-16,25.59000015258789,25.726999282836914,25.399999618530273,25.489999771118164,25.489999771118164,33200,BATRA
2019-01-17,25.459999084472656,25.950000762939453,25.43000030517578,25.829999923706055,25.829999923706055,29700,BATRA
2019-01-18,25.940000534057617,26.389999389648438,25.922000885009766,26.139999389648438,26.139999389648438,39100,BATRA
2019-01-22,26.219999313354492,26.420000076293945,25.75,26.020000457763672,26.020000457763672,97800,BATRA
2019-01-23,26.18000030517578,26.520000457763672,25.8799991607666,26.450000762939453,26.450000762939453,131100,BATRA
2019-01-24,26.559999465942383,27.059999465942383,26.364999771118164,26.790000915527344,26.790000915527344,107500,BATRA
2019-01-25,26.899999618530273,27.049999237060547,26.780000686645508,26.899999618530273,26.899999618530273,66600,BATRA
2019-01-28,26.8700008392334,26.940000534057617,26.59000015258789,26.889999389648438,26.889999389648438,48300,BATRA
2019-01-29,26.860000610351562,27.280000686645508,26.860000610351562,26.8799991607666,26.8799991607666,36200,BATRA
2019-01-30,27.030000686645508,27.21500015258789,26.6200008392334,26.90999984741211,26.90999984741211,69200,BATRA
2019-01-31,27.040000915527344,27.190000534057617,26.989999771118164,27.139999389648438,27.139999389648438,72900,BATRA
2019-02-01,27.299999237060547,27.594999313354492,27.06999969482422,27.209999084472656,27.209999084472656,77100,BATRA
2019-02-04,27.239999771118164,27.790000915527344,27.149999618530273,27.639999389648438,27.639999389648438,106700,BATRA
2019-02-05,27.610000610351562,28.309999465942383,27.5,28.229999542236328,28.229999542236328,151100,BATRA
2019-02-06,28.280000686645508,28.780000686645508,28.09000015258789,28.489999771118164,28.489999771118164,112900,BATRA
2019-02-07,28.40999984741211,28.5,28.139999389648438,28.209999084472656,28.209999084472656,70200,BATRA
2019-02-08,28.200000762939453,28.6560001373291,28.09000015258789,28.59000015258789,28.59000015258789,54300,BATRA
2019-02-11,28.670000076293945,29.139999389648438,28.59000015258789,29.06999969482422,29.06999969482422,78900,BATRA
2019-02-12,29.149999618530273,29.270000457763672,28.90999984741211,29.170000076293945,29.170000076293945,44000,BATRA
2019-02-13,29.07200050354004,29.309999465942383,29.020000457763672,29.049999237060547,29.049999237060547,39600,BATRA
2019-02-14,28.770000457763672,29.139999389648438,28.75,28.8700008392334,28.8700008392334,29600,BATRA
2019-02-15,28.969999313354492,29.100000381469727,28.84000015258789,28.979999542236328,28.979999542236328,38800,BATRA
2019-02-19,29.049999237060547,29.149999618530273,28.729999542236328,28.90999984741211,28.90999984741211,32000,BATRA
2019-02-20,28.899999618530273,29.110000610351562,28.893999099731445,29.040000915527344,29.040000915527344,67000,BATRA
2019-02-21,28.8799991607666,29.510000228881836,28.8799991607666,29.209999084472656,29.209999084472656,73800,BATRA
2019-02-22,29.389999389648438,29.65999984741211,29.280000686645508,29.510000228881836,29.510000228881836,48400,BATRA
2019-02-25,29.559999465942383,29.639999389648438,29.31999969482422,29.360000610351562,29.360000610351562,27100,BATRA
2019-02-26,29.360000610351562,29.360000610351562,28.649999618530273,28.649999618530273,28.649999618530273,29500,BATRA
2019-02-27,28.65999984741211,28.739999771118164,28.510000228881836,28.559999465942383,28.559999465942383,30500,BATRA
2019-02-28,28.68000030517578,28.709999084472656,27.729999542236328,27.760000228881836,27.760000228881836,51100,BATRA
2019-03-01,27.989999771118164,28.290000915527344,27.65999984741211,28.290000915527344,28.290000915527344,46600,BATRA
2019-03-04,28.299999237060547,28.299999237060547,27.860000610351562,27.940000534057617,27.940000534057617,51800,BATRA
2019-03-05,28.010000228881836,28.219999313354492,27.84000015258789,27.8799991607666,27.8799991607666,22700,BATRA
2019-03-06,27.645000457763672,27.899999618530273,27.510000228881836,27.690000534057617,27.690000534057617,22600,BATRA
2019-03-07,27.610000610351562,27.90999984741211,27.55500030517578,27.84000015258789,27.84000015258789,71200,BATRA
2019-03-08,27.780000686645508,28.329999923706055,27.780000686645508,28.219999313354492,28.219999313354492,58000,BATRA
2019-03-11,28.420000076293945,28.549999237060547,28.149999618530273,28.200000762939453,28.200000762939453,20600,BATRA
2019-03-12,28.290000915527344,28.790000915527344,28.190000534057617,28.459999084472656,28.459999084472656,21700,BATRA
2019-03-13,28.56999969482422,28.600000381469727,28.25,28.290000915527344,28.290000915527344,26000,BATRA
2019-03-14,28.280000686645508,28.440000534057617,28.110000610351562,28.139999389648438,28.139999389648438,23100,BATRA
2019-03-15,28.190000534057617,28.69499969482422,28.030000686645508,28.549999237060547,28.549999237060547,75300,BATRA
2019-03-18,28.579999923706055,28.670000076293945,28.27199935913086,28.510000228881836,28.510000228881836,33900,BATRA
2019-03-19,28.610000610351562,28.799999237060547,28.440000534057617,28.540000915527344,28.540000915527344,24200,BATRA
2019-03-20,28.67300033569336,28.81999969482422,28.299999237060547,28.530000686645508,28.530000686645508,30300,BATRA
