,open,high,low,close,adjclose,volume,ticker
2020-02-06,24.0,25.260000228881836,18.549999237060547,18.75,18.75,5873300,BEAM
2020-02-07,19.190000534057617,21.899999618530273,19.0,20.6200008392334,20.6200008392334,1221500,BEAM
2020-02-10,21.3700008392334,22.149999618530273,21.100000381469727,22.100000381469727,22.100000381469727,727400,BEAM
2020-02-11,22.149999618530273,24.200000762939453,21.5,24.100000381469727,24.100000381469727,764300,BEAM
2020-02-12,24.399999618530273,27.600000381469727,24.100000381469727,27.600000381469727,27.600000381469727,862100,BEAM
2020-02-13,27.770000457763672,31.799999237060547,26.649999618530273,29.200000762939453,29.200000762939453,1403500,BEAM
2020-02-14,29.649999618530273,30.34000015258789,26.25,27.899999618530273,27.899999618530273,821700,BEAM
2020-02-18,27.8799991607666,29.628000259399414,27.5,27.799999237060547,27.799999237060547,289100,BEAM
2020-02-19,27.850000381469727,28.700000762939453,27.0,28.18000030517578,28.18000030517578,380800,BEAM
2020-02-20,28.280000686645508,28.5,26.770000457763672,26.90999984741211,26.90999984741211,249300,BEAM
2020-02-21,26.760000228881836,26.799999237060547,24.5,26.09000015258789,26.09000015258789,397300,BEAM
2020-02-24,24.979999542236328,25.450000762939453,24.0,24.200000762939453,24.200000762939453,247700,BEAM
2020-02-25,24.440000534057617,24.979999542236328,22.5,22.6299991607666,22.6299991607666,361300,BEAM
2020-02-26,22.729999542236328,24.90999984741211,22.729999542236328,24.450000762939453,24.450000762939453,239600,BEAM
2020-02-27,23.459999084472656,24.09000015258789,22.760000228881836,22.93000030517578,22.93000030517578,217000,BEAM
2020-02-28,22.899999618530273,22.899999618530273,21.5,22.489999771118164,22.489999771118164,157400,BEAM
2020-03-02,23.100000381469727,23.90999984741211,22.56999969482422,23.020000457763672,23.020000457763672,365200,BEAM
2020-03-03,23.110000610351562,24.6299991607666,22.760000228881836,23.510000228881836,23.510000228881836,365700,BEAM
2020-03-04,23.690000534057617,24.80900001525879,23.690000534057617,24.40999984741211,24.40999984741211,281400,BEAM
2020-03-05,24.309999465942383,24.792999267578125,23.280000686645508,23.809999465942383,23.809999465942383,340800,BEAM
2020-03-06,23.40999984741211,23.8700008392334,23.399999618530273,23.549999237060547,23.549999237060547,175900,BEAM
2020-03-09,21.969999313354492,23.368000030517578,21.5,22.600000381469727,22.600000381469727,178500,BEAM
