,open,high,low,close,adjclose,volume,ticker
2019-01-02,60.650001525878906,62.58000183105469,59.54999923706055,59.9900016784668,59.9900016784668,40600,BSTC
2019-01-03,59.7599983215332,61.099998474121094,59.7599983215332,60.15999984741211,60.15999984741211,51800,BSTC
2019-01-04,61.029998779296875,62.599998474121094,60.150001525878906,61.439998626708984,61.439998626708984,57900,BSTC
2019-01-07,61.849998474121094,63.130001068115234,61.150001525878906,62.209999084472656,62.209999084472656,54000,BSTC
2019-01-08,62.900001525878906,63.689998626708984,60.650001525878906,61.27000045776367,61.27000045776367,47200,BSTC
2019-01-09,61.790000915527344,61.790000915527344,58.66999816894531,60.880001068115234,60.880001068115234,49800,BSTC
2019-01-10,61.11000061035156,61.529998779296875,59.43000030517578,61.099998474121094,61.099998474121094,50600,BSTC
2019-01-11,61.040000915527344,62.63999938964844,59.95000076293945,61.5,61.5,34600,BSTC
2019-01-14,61.70000076293945,62.5,61.0,61.4900016784668,61.4900016784668,51200,BSTC
2019-01-15,61.52000045776367,62.79999923706055,60.79999923706055,62.790000915527344,62.790000915527344,35300,BSTC
2019-01-16,62.72999954223633,65.13999938964844,62.72999954223633,64.2699966430664,64.2699966430664,54800,BSTC
2019-01-17,64.19000244140625,68.0,64.19000244140625,66.33000183105469,66.33000183105469,80100,BSTC
2019-01-18,66.3499984741211,67.62000274658203,66.3499984741211,66.51000213623047,66.51000213623047,62700,BSTC
2019-01-22,66.51000213623047,67.4800033569336,63.040000915527344,63.84000015258789,63.84000015258789,58300,BSTC
2019-01-23,63.95000076293945,65.20999908447266,61.43000030517578,62.18000030517578,62.18000030517578,59900,BSTC
2019-01-24,62.02000045776367,64.18000030517578,61.79999923706055,63.97999954223633,63.97999954223633,37500,BSTC
2019-01-25,63.97999954223633,67.0,62.880001068115234,64.0199966430664,64.0199966430664,43200,BSTC
2019-01-28,63.61000061035156,64.80999755859375,62.75,63.97999954223633,63.97999954223633,35300,BSTC
2019-01-29,63.810001373291016,64.69000244140625,63.04999923706055,64.2300033569336,64.2300033569336,37100,BSTC
2019-01-30,64.62000274658203,66.0,63.83000183105469,64.30000305175781,64.30000305175781,26600,BSTC
2019-01-31,64.41000366210938,65.97000122070312,64.19999694824219,64.9800033569336,64.9800033569336,32900,BSTC
2019-02-01,64.69999694824219,67.8499984741211,64.36000061035156,64.69000244140625,64.69000244140625,51700,BSTC
2019-02-04,65.16000366210938,69.2699966430664,65.05000305175781,68.45999908447266,68.45999908447266,102600,BSTC
2019-02-05,68.6500015258789,70.25,67.0,67.68000030517578,67.68000030517578,36700,BSTC
2019-02-06,67.58999633789062,69.30000305175781,67.23999786376953,68.2699966430664,68.2699966430664,36900,BSTC
2019-02-07,68.20999908447266,68.80999755859375,66.44999694824219,67.30000305175781,67.30000305175781,31100,BSTC
2019-02-08,67.29000091552734,68.30999755859375,67.0999984741211,67.22000122070312,67.22000122070312,26000,BSTC
2019-02-11,68.66999816894531,69.0,66.54000091552734,68.0,68.0,57600,BSTC
2019-02-12,68.22000122070312,68.9000015258789,67.05000305175781,67.37000274658203,67.37000274658203,35500,BSTC
2019-02-13,67.44999694824219,69.33000183105469,67.44999694824219,67.94000244140625,67.94000244140625,26000,BSTC
2019-02-14,67.80000305175781,68.56999969482422,67.7300033569336,67.9800033569336,67.9800033569336,28600,BSTC
2019-02-15,68.1500015258789,72.98999786376953,68.1500015258789,71.62000274658203,71.62000274658203,98900,BSTC
2019-02-19,72.72000122070312,73.30999755859375,70.37999725341797,71.5,71.5,57800,BSTC
2019-02-20,71.69999694824219,72.19999694824219,70.0999984741211,70.0999984741211,70.0999984741211,33500,BSTC
2019-02-21,70.0999984741211,71.44000244140625,68.7300033569336,69.69999694824219,69.69999694824219,48000,BSTC
2019-02-22,69.8499984741211,72.3499984741211,69.08000183105469,70.97000122070312,70.97000122070312,53100,BSTC
2019-02-25,71.58999633789062,72.51000213623047,69.0199966430664,69.30999755859375,69.30999755859375,55300,BSTC
2019-02-26,69.29000091552734,69.6500015258789,67.5,67.9000015258789,67.9000015258789,44100,BSTC
2019-02-27,67.87999725341797,69.13999938964844,67.56999969482422,68.5999984741211,68.5999984741211,29500,BSTC
2019-02-28,68.75,70.13999938964844,67.5199966430664,69.44999694824219,69.44999694824219,39100,BSTC
2019-03-01,69.93000030517578,71.93000030517578,69.93000030517578,70.81999969482422,70.81999969482422,29400,BSTC
2019-03-04,70.9000015258789,72.83000183105469,70.9000015258789,71.12000274658203,71.12000274658203,42300,BSTC
2019-03-05,71.12999725341797,71.66999816894531,68.37999725341797,69.0999984741211,69.0999984741211,31300,BSTC
2019-03-06,69.12000274658203,69.69999694824219,65.44000244140625,67.30999755859375,67.30999755859375,40700,BSTC
2019-03-07,67.2699966430664,69.0,66.31999969482422,67.18000030517578,67.18000030517578,25500,BSTC
2019-03-08,66.68000030517578,68.62000274658203,66.41999816894531,67.68000030517578,67.68000030517578,22500,BSTC
2019-03-11,67.69999694824219,70.06999969482422,67.69999694824219,69.30000305175781,69.30000305175781,42600,BSTC
2019-03-12,69.37999725341797,70.55000305175781,68.66999816894531,69.30000305175781,69.30000305175781,28000,BSTC
2019-03-13,69.5,70.20999908447266,66.6500015258789,67.72000122070312,67.72000122070312,39700,BSTC
2019-03-14,67.61000061035156,67.93000030517578,66.05999755859375,67.19999694824219,67.19999694824219,31200,BSTC
2019-03-15,67.20999908447266,69.2699966430664,66.37000274658203,69.26000213623047,69.26000213623047,76900,BSTC
2019-03-18,69.2699966430664,70.80000305175781,66.5,66.73999786376953,66.73999786376953,39300,BSTC
2019-03-19,67.5,67.88999938964844,65.16000366210938,66.69000244140625,66.69000244140625,54200,BSTC
2019-03-20,67.06999969482422,69.63999938964844,66.79000091552734,67.91999816894531,67.91999816894531,42300,BSTC
2019-03-21,67.93000030517578,68.88999938964844,67.01000213623047,67.77999877929688,67.77999877929688,62500,BSTC
2019-03-22,67.52999877929688,67.52999877929688,65.0,65.01000213623047,65.01000213623047,42600,BSTC
2019-03-25,65.0199966430664,65.68000030517578,63.0099983215332,65.08000183105469,65.08000183105469,55100,BSTC
2019-03-26,65.3499984741211,65.83000183105469,63.90999984741211,65.1500015258789,65.1500015258789,41100,BSTC
2019-03-27,65.08999633789062,65.08999633789062,61.29999923706055,63.560001373291016,63.560001373291016,43900,BSTC
2019-03-28,63.650001525878906,64.52999877929688,62.25,63.25,63.25,76900,BSTC
2019-03-29,63.540000915527344,63.540000915527344,61.849998474121094,62.33000183105469,62.33000183105469,64900,BSTC
2019-04-01,62.31999969482422,63.040000915527344,60.459999084472656,60.459999084472656,60.459999084472656,86500,BSTC
2019-04-02,60.95000076293945,64.83999633789062,59.0099983215332,63.77000045776367,63.77000045776367,117600,BSTC
2019-04-03,64.5199966430664,67.86000061035156,63.959999084472656,67.5,67.5,61200,BSTC
2019-04-04,67.5,68.0,65.12999725341797,65.91999816894531,65.91999816894531,32800,BSTC
2019-04-05,66.16000366210938,68.68000030517578,65.81999969482422,67.16000366210938,67.16000366210938,57000,BSTC
2019-04-08,67.1500015258789,68.0999984741211,65.18000030517578,67.54000091552734,67.54000091552734,45500,BSTC
2019-04-09,67.44000244140625,69.44999694824219,67.25,68.41000366210938,68.41000366210938,63900,BSTC
2019-04-10,68.5999984741211,69.9800033569336,68.5999984741211,68.91999816894531,68.91999816894531,51400,BSTC
2019-04-11,68.79000091552734,69.66000366210938,65.83000183105469,68.69999694824219,68.69999694824219,38200,BSTC
2019-04-12,69.02999877929688,69.30999755859375,66.47000122070312,66.77999877929688,66.77999877929688,53200,BSTC
2019-04-15,66.7699966430664,67.9800033569336,66.30999755859375,67.11000061035156,67.11000061035156,45200,BSTC
2019-04-16,67.30999755859375,67.75,66.2699966430664,66.5,66.5,35900,BSTC
2019-04-17,66.47000122070312,67.56999969482422,62.439998626708984,63.75,63.75,54600,BSTC
2019-04-18,63.59000015258789,63.88999938964844,61.599998474121094,63.189998626708984,63.189998626708984,82300,BSTC
2019-04-22,63.029998779296875,63.630001068115234,62.25,63.0,63.0,44400,BSTC
