,open,high,low,close,adjclose,volume,ticker
2019-01-02,3.0,3.9000000953674316,3.0,3.75,3.75,197900,CLDX
2019-01-03,3.75,3.75,3.450000047683716,3.450000047683716,3.450000047683716,137000,CLDX
2019-01-04,3.450000047683716,3.75,3.450000047683716,3.5999999046325684,3.5999999046325684,94200,CLDX
2019-01-07,3.75,3.9000000953674316,3.5999999046325684,3.9000000953674316,3.9000000953674316,122100,CLDX
2019-01-08,3.9000000953674316,4.199999809265137,3.75,3.9000000953674316,3.9000000953674316,147600,CLDX
2019-01-09,4.050000190734863,4.050000190734863,3.9000000953674316,4.050000190734863,4.050000190734863,65100,CLDX
2019-01-10,4.050000190734863,4.050000190734863,3.75,3.9000000953674316,3.9000000953674316,52400,CLDX
2019-01-11,3.9000000953674316,4.050000190734863,3.9000000953674316,3.9000000953674316,3.9000000953674316,82800,CLDX
2019-01-14,3.9000000953674316,3.9000000953674316,3.75,3.9000000953674316,3.9000000953674316,81500,CLDX
2019-01-15,3.9000000953674316,4.050000190734863,3.75,3.9000000953674316,3.9000000953674316,62100,CLDX
2019-01-16,3.9000000953674316,4.800000190734863,3.9000000953674316,4.050000190734863,4.050000190734863,344400,CLDX
2019-01-17,4.199999809265137,4.5,4.050000190734863,4.349999904632568,4.349999904632568,184600,CLDX
2019-01-18,4.5,5.550000190734863,4.5,5.099999904632568,5.099999904632568,626700,CLDX
2019-01-22,5.099999904632568,5.099999904632568,4.800000190734863,4.949999809265137,4.949999809265137,196100,CLDX
2019-01-23,4.949999809265137,5.400000095367432,4.650000095367432,4.800000190734863,4.800000190734863,294200,CLDX
2019-01-24,4.800000190734863,5.099999904632568,4.650000095367432,4.650000095367432,4.650000095367432,115400,CLDX
2019-01-25,4.650000095367432,5.25,4.650000095367432,5.25,5.25,145200,CLDX
2019-01-28,5.25,5.25,4.800000190734863,4.949999809265137,4.949999809265137,107500,CLDX
2019-01-29,5.25,5.25,4.949999809265137,5.099999904632568,5.099999904632568,74200,CLDX
2019-01-30,5.25,6.449999809265137,5.25,6.150000095367432,6.150000095367432,506200,CLDX
2019-01-31,6.300000190734863,8.699999809265137,6.150000095367432,7.650000095367432,7.650000095367432,939300,CLDX
2019-02-01,7.650000095367432,8.850000381469727,7.650000095367432,8.699999809265137,8.699999809265137,707000,CLDX
2019-02-04,8.850000381469727,11.550000190734863,8.850000381469727,10.350000381469727,10.350000381469727,1152100,CLDX
2019-02-05,10.5,10.5,8.25,8.699999809265137,8.699999809265137,974200,CLDX
2019-02-06,8.25,8.25,7.199999809265137,7.650000095367432,7.650000095367432,534200,CLDX
