,open,high,low,close,adjclose,volume,ticker
2019-01-02,47.79999923706055,48.650001525878906,47.59000015258789,48.34000015258789,47.77948760986328,61400,CSWI
2019-01-03,48.040000915527344,48.2400016784668,46.86000061035156,47.349998474121094,46.80096435546875,45700,CSWI
2019-01-04,48.0099983215332,48.86000061035156,48.0099983215332,48.689998626708984,48.12542724609375,139600,CSWI
2019-01-07,48.869998931884766,49.540000915527344,48.0099983215332,48.75,48.184730529785156,141300,CSWI
2019-01-08,49.220001220703125,49.78499984741211,48.75,49.0099983215332,48.44171905517578,82500,CSWI
2019-01-09,50.130001068115234,50.130001068115234,48.560001373291016,49.310001373291016,48.73823928833008,170100,CSWI
2019-01-10,49.22999954223633,50.25,48.845001220703125,50.22999954223633,49.6475715637207,134800,CSWI
2019-01-11,50.11000061035156,50.85499954223633,49.540000915527344,50.290000915527344,49.706878662109375,83400,CSWI
2019-01-14,50.2599983215332,50.79999923706055,49.939998626708984,50.099998474121094,49.519073486328125,35500,CSWI
2019-01-15,50.2400016784668,50.676998138427734,49.31999969482422,49.790000915527344,49.212677001953125,31100,CSWI
2019-01-16,49.88999938964844,50.525001525878906,49.7599983215332,50.11000061035156,49.52896499633789,38100,CSWI
2019-01-17,50.16999816894531,51.40999984741211,50.06999969482422,51.279998779296875,50.685394287109375,53100,CSWI
2019-01-18,51.56999969482422,52.01499938964844,51.33000183105469,51.400001525878906,50.80400848388672,57600,CSWI
2019-01-22,51.349998474121094,51.566001892089844,50.90599822998047,51.369998931884766,50.774356842041016,43500,CSWI
2019-01-23,51.68000030517578,51.79999923706055,50.970001220703125,51.58000183105469,50.98192596435547,35100,CSWI
2019-01-24,51.58000183105469,51.95000076293945,51.220001220703125,51.52000045776367,50.92261505126953,25800,CSWI
2019-01-25,51.70000076293945,52.2599983215332,51.04999923706055,51.22999954223633,50.63597106933594,27300,CSWI
2019-01-28,50.93000030517578,51.43000030517578,49.68600082397461,50.68000030517578,50.09235382080078,44800,CSWI
2019-01-29,50.86000061035156,51.40999984741211,50.599998474121094,50.810001373291016,50.22085189819336,20800,CSWI
2019-01-30,50.90999984741211,51.88999938964844,50.689998626708984,51.40999984741211,50.81388854980469,28200,CSWI
2019-01-31,51.41999816894531,52.0099983215332,50.72600173950195,51.650001525878906,51.05110549926758,32500,CSWI
2019-02-01,51.939998626708984,52.29999923706055,51.369998931884766,51.720001220703125,51.12029266357422,18300,CSWI
2019-02-04,51.72999954223633,51.900001525878906,51.22999954223633,51.900001525878906,51.29820251464844,29400,CSWI
2019-02-05,52.900001525878906,54.66999816894531,52.66999816894531,53.7400016784668,53.116878509521484,92200,CSWI
2019-02-06,53.93000030517578,55.849998474121094,53.93000030517578,55.18000030517578,54.54017639160156,63100,CSWI
2019-02-07,55.08000183105469,56.0099983215332,54.040000915527344,54.83000183105469,54.19423294067383,45400,CSWI
2019-02-08,54.81999969482422,57.65700149536133,54.09000015258789,54.5,53.86806106567383,42300,CSWI
2019-02-11,54.4900016784668,55.47999954223633,53.935001373291016,55.11000061035156,54.47098922729492,39400,CSWI
2019-02-12,55.5,56.21500015258789,54.83000183105469,55.61000061035156,54.96519470214844,47300,CSWI
2019-02-13,55.56999969482422,56.220001220703125,55.470001220703125,55.61000061035156,54.96519470214844,54300,CSWI
2019-02-14,55.560001373291016,56.310001373291016,55.560001373291016,55.72999954223633,55.08379364013672,40300,CSWI
2019-02-15,56.060001373291016,56.58000183105469,55.540000915527344,56.15999984741211,55.50881576538086,77600,CSWI
2019-02-19,56.16999816894531,56.83000183105469,55.959999084472656,56.16999816894531,55.51869201660156,65800,CSWI
2019-02-20,56.369998931884766,57.36000061035156,56.16999816894531,57.0099983215332,56.34895706176758,74300,CSWI
2019-02-21,57.279998779296875,57.34000015258789,56.58000183105469,57.16999816894531,56.50709533691406,81200,CSWI
2019-02-22,57.18000030517578,57.560001373291016,56.779998779296875,57.34000015258789,56.67512893676758,62800,CSWI
2019-02-25,57.290000915527344,57.650001525878906,56.7599983215332,56.7599983215332,56.10185241699219,53400,CSWI
2019-02-26,56.98500061035156,57.560001373291016,56.25,56.4900016784668,55.83498764038086,74700,CSWI
2019-02-27,56.369998931884766,57.005001068115234,56.040000915527344,56.88999938964844,56.2303466796875,69100,CSWI
2019-02-28,56.7400016784668,56.970001220703125,56.2400016784668,56.779998779296875,56.121620178222656,48800,CSWI
2019-03-01,57.18000030517578,57.814998626708984,56.60499954223633,57.540000915527344,56.8728141784668,49600,CSWI
2019-03-04,57.47999954223633,59.935001373291016,57.16999816894531,57.790000915527344,57.11991500854492,52900,CSWI
2019-03-05,57.779998779296875,57.81999969482422,56.630001068115234,56.72999954223633,56.072200775146484,33500,CSWI
2019-03-06,56.7599983215332,57.595001220703125,55.900001525878906,55.900001525878906,55.2518310546875,43500,CSWI
2019-03-07,55.90999984741211,56.540000915527344,55.119998931884766,55.27000045776367,54.629127502441406,46200,CSWI
2019-03-08,55.25,56.244998931884766,55.01499938964844,55.41999816894531,54.77739334106445,38900,CSWI
2019-03-11,55.5,56.86000061035156,55.18000030517578,56.5,55.844871520996094,44900,CSWI
2019-03-12,56.56999969482422,57.02000045776367,56.20000076293945,56.65999984741211,56.003013610839844,73300,CSWI
2019-03-13,56.689998626708984,57.310001373291016,56.59000015258789,57.060001373291016,56.398380279541016,27300,CSWI
2019-03-14,56.689998626708984,57.06999969482422,56.56999969482422,56.790000915527344,56.131507873535156,22900,CSWI
2019-03-15,56.90999984741211,57.91999816894531,56.3650016784668,56.869998931884766,56.210575103759766,171300,CSWI
2019-03-18,57.130001068115234,57.83000183105469,56.709999084472656,57.189998626708984,56.52687072753906,54000,CSWI
2019-03-19,57.5099983215332,58.04999923706055,57.029998779296875,57.119998931884766,56.457679748535156,36700,CSWI
2019-03-20,57.130001068115234,57.599998474121094,56.119998931884766,56.59000015258789,55.93383026123047,40400,CSWI
2019-03-21,56.349998474121094,57.33000183105469,56.32500076293945,56.400001525878906,55.74603271484375,31400,CSWI
2019-03-22,56.20000076293945,56.20000076293945,54.83000183105469,54.83000183105469,54.19423294067383,48400,CSWI
2019-03-25,55.08000183105469,55.83000183105469,54.689998626708984,55.59000015258789,54.9454231262207,31000,CSWI
