,open,high,low,close,adjclose,volume,ticker
2019-01-02,240.0,240.0,235.0,238.60000610351562,238.60000610351562,1900,DJCO
2019-01-03,230.11000061035156,230.11000061035156,230.11000061035156,230.11000061035156,230.11000061035156,600,DJCO
2019-01-04,230.97999572753906,230.97999572753906,230.97999572753906,230.97999572753906,230.97999572753906,1000,DJCO
2019-01-07,231.55999755859375,231.55999755859375,228.11000061035156,229.38999938964844,229.38999938964844,1300,DJCO
2019-01-08,225.30999755859375,225.52000427246094,220.1999969482422,222.99000549316406,222.99000549316406,2600,DJCO
2019-01-09,221.0,225.0,219.0,220.8000030517578,220.8000030517578,2500,DJCO
2019-01-10,224.99000549316406,225.0,219.02000427246094,221.32000732421875,221.32000732421875,5400,DJCO
2019-01-11,220.0,220.0,216.11000061035156,218.5,218.5,4000,DJCO
2019-01-14,223.88999938964844,223.88999938964844,218.9600067138672,218.9600067138672,218.9600067138672,1800,DJCO
2019-01-15,220.0,220.0,217.0,217.0,217.0,800,DJCO
2019-01-16,215.0,218.5,215.0,218.5,218.5,700,DJCO
2019-01-17,192.8300018310547,220.0,192.8300018310547,215.60000610351562,215.60000610351562,900,DJCO
2019-01-18,215.6199951171875,216.50999450683594,214.0,215.0,215.0,1600,DJCO
2019-01-22,218.0,218.0,214.0399932861328,214.0399932861328,214.0399932861328,400,DJCO
2019-01-23,214.0399932861328,214.0399932861328,214.0399932861328,214.0399932861328,214.0399932861328,500,DJCO
2019-01-24,214.0,214.05999755859375,213.0,214.0,214.0,2700,DJCO
2019-01-25,214.0,214.0,214.0,214.0,214.0,200,DJCO
2019-01-28,216.1199951171875,216.1199951171875,216.1199951171875,216.1199951171875,216.1199951171875,300,DJCO
2019-01-29,216.1199951171875,216.1199951171875,216.1199951171875,216.1199951171875,216.1199951171875,300,DJCO
2019-01-30,222.3000030517578,222.3000030517578,222.3000030517578,222.3000030517578,222.3000030517578,600,DJCO
2019-01-31,225.0,225.0,221.11000061035156,221.11000061035156,221.11000061035156,1100,DJCO
2019-02-01,226.5500030517578,226.5500030517578,226.5500030517578,226.5500030517578,226.5500030517578,700,DJCO
2019-02-04,226.0,226.0,222.5,224.1999969482422,224.1999969482422,6700,DJCO
2019-02-05,229.5,229.5,229.5,229.5,229.5,5800,DJCO
2019-02-06,220.63999938964844,220.63999938964844,220.0,220.0399932861328,220.0399932861328,2200,DJCO
2019-02-07,216.10000610351562,216.10000610351562,215.0,215.0,215.0,1200,DJCO
2019-02-08,215.0,215.0,215.0,215.0,215.0,400,DJCO
2019-02-11,215.0,215.0,215.0,215.0,215.0,200,DJCO
2019-02-12,218.82000732421875,218.82000732421875,218.82000732421875,218.82000732421875,218.82000732421875,300,DJCO
2019-02-13,219.9499969482422,219.9499969482422,219.9499969482422,219.9499969482422,219.9499969482422,500,DJCO
2019-02-14,217.1300048828125,217.1300048828125,217.1300048828125,217.1300048828125,217.1300048828125,800,DJCO
2019-02-15,215.0,219.0,215.0,217.5,217.5,1100,DJCO
2019-02-19,217.8000030517578,217.8000030517578,217.8000030517578,217.8000030517578,217.8000030517578,600,DJCO
2019-02-20,219.97999572753906,219.97999572753906,219.97999572753906,219.97999572753906,219.97999572753906,700,DJCO
2019-02-21,219.97999572753906,225.89999389648438,219.97999572753906,225.89999389648438,225.89999389648438,1400,DJCO
2019-02-22,226.0,233.97999572753906,226.0,226.50999450683594,226.50999450683594,1300,DJCO
2019-02-25,233.8800048828125,233.8800048828125,223.72999572753906,223.72999572753906,223.72999572753906,1000,DJCO
2019-02-26,224.02000427246094,234.94000244140625,224.02000427246094,225.0,225.0,1300,DJCO
2019-02-27,225.0,225.0,225.0,225.0,225.0,300,DJCO
2019-02-28,225.0,226.0,224.99000549316406,224.99000549316406,224.99000549316406,1300,DJCO
2019-03-01,228.25,229.47000122070312,225.67999267578125,229.47000122070312,229.47000122070312,900,DJCO
2019-03-04,229.0,232.0,229.0,229.02000427246094,229.02000427246094,1400,DJCO
2019-03-05,229.0,229.0,229.0,229.0,229.0,400,DJCO
2019-03-06,229.74000549316406,230.0,229.74000549316406,230.0,230.0,900,DJCO
2019-03-07,227.0399932861328,228.5399932861328,223.1999969482422,223.1999969482422,223.1999969482422,3200,DJCO
2019-03-08,228.0,228.0,223.5,223.5,223.5,800,DJCO
2019-03-11,222.0,225.1999969482422,222.0,225.1999969482422,225.1999969482422,1400,DJCO
2019-03-12,223.0500030517578,225.0,221.02000427246094,221.02000427246094,221.02000427246094,800,DJCO
2019-03-13,221.32000732421875,221.32000732421875,221.32000732421875,221.32000732421875,221.32000732421875,600,DJCO
2019-03-14,220.67999267578125,220.67999267578125,220.67999267578125,220.67999267578125,220.67999267578125,300,DJCO
2019-03-15,220.67999267578125,220.67999267578125,217.8000030517578,217.8000030517578,217.8000030517578,3500,DJCO
2019-03-18,217.8000030517578,217.8000030517578,217.8000030517578,217.8000030517578,217.8000030517578,100,DJCO
2019-03-19,216.11000061035156,216.11000061035156,216.11000061035156,216.11000061035156,216.11000061035156,300,DJCO
2019-03-20,215.9199981689453,215.9199981689453,215.9199981689453,215.9199981689453,215.9199981689453,1600,DJCO
2019-03-21,215.0,215.0,215.0,215.0,215.0,600,DJCO
2019-03-22,214.0,214.0,214.0,214.0,214.0,700,DJCO
2019-03-25,213.00999450683594,213.00999450683594,213.00999450683594,213.00999450683594,213.00999450683594,900,DJCO
2019-03-26,233.89999389648438,233.89999389648438,233.89999389648438,233.89999389648438,233.89999389648438,400,DJCO
2019-03-27,216.0,216.0,216.0,216.0,216.0,300,DJCO
2019-03-28,216.0,216.0,216.0,216.0,216.0,1000,DJCO
2019-03-29,214.10000610351562,214.10000610351562,214.10000610351562,214.10000610351562,214.10000610351562,300,DJCO
2019-04-01,214.10000610351562,214.10000610351562,214.10000610351562,214.10000610351562,214.10000610351562,600,DJCO
2019-04-02,216.0,216.0,216.0,216.0,216.0,1000,DJCO
2019-04-03,216.0,216.0,216.0,216.0,216.0,600,DJCO
2019-04-04,217.42999267578125,217.42999267578125,217.42999267578125,217.42999267578125,217.42999267578125,300,DJCO
2019-04-05,220.39999389648438,220.39999389648438,220.39999389648438,220.39999389648438,220.39999389648438,600,DJCO
2019-04-08,217.52000427246094,217.52000427246094,216.2899932861328,216.2899932861328,216.2899932861328,2100,DJCO
2019-04-09,217.0,217.0,217.0,217.0,217.0,400,DJCO
2019-04-10,217.0,217.0,217.0,217.0,217.0,300,DJCO
2019-04-11,218.11000061035156,218.11000061035156,218.11000061035156,218.11000061035156,218.11000061035156,300,DJCO
2019-04-12,218.11000061035156,218.11000061035156,218.11000061035156,218.11000061035156,218.11000061035156,300,DJCO
2019-04-15,218.0,227.0,218.0,220.72999572753906,220.72999572753906,5600,DJCO
2019-04-16,220.47000122070312,221.0,217.38999938964844,221.0,221.0,1100,DJCO
2019-04-17,229.36000061035156,229.3699951171875,223.0,224.35000610351562,224.35000610351562,1300,DJCO
2019-04-18,218.2100067138672,218.2100067138672,218.2100067138672,218.2100067138672,218.2100067138672,400,DJCO
2019-04-22,218.2100067138672,218.2100067138672,218.2100067138672,218.2100067138672,218.2100067138672,300,DJCO
2019-04-23,219.63999938964844,221.0,219.63999938964844,221.0,221.0,500,DJCO
2019-04-24,223.0,223.0,223.0,223.0,223.0,400,DJCO
2019-04-25,220.22999572753906,220.22999572753906,220.22999572753906,220.22999572753906,220.22999572753906,200,DJCO
2019-04-26,220.22999572753906,220.22999572753906,220.22999572753906,220.22999572753906,220.22999572753906,200,DJCO
2019-04-29,225.33999633789062,225.33999633789062,223.17999267578125,223.17999267578125,223.17999267578125,700,DJCO
2019-04-30,223.0,223.0,223.0,223.0,223.0,1000,DJCO
2019-05-01,223.8000030517578,223.8000030517578,223.8000030517578,223.8000030517578,223.8000030517578,400,DJCO
2019-05-02,223.8000030517578,223.8000030517578,223.8000030517578,223.8000030517578,223.8000030517578,300,DJCO
2019-05-03,220.00999450683594,222.58999633789062,220.00999450683594,222.58999633789062,222.58999633789062,700,DJCO
2019-05-06,221.9499969482422,222.77999877929688,219.0,219.0,219.0,1700,DJCO
2019-05-07,218.08999633789062,218.08999633789062,218.08999633789062,218.08999633789062,218.08999633789062,400,DJCO
2019-05-08,218.3000030517578,218.3000030517578,218.3000030517578,218.3000030517578,218.3000030517578,200,DJCO
2019-05-09,218.3000030517578,218.3000030517578,218.3000030517578,218.3000030517578,218.3000030517578,400,DJCO
2019-05-10,218.3000030517578,218.3000030517578,218.3000030517578,218.3000030517578,218.3000030517578,800,DJCO
2019-05-13,219.0,219.0,219.0,219.0,219.0,600,DJCO
2019-05-14,218.0,220.77999877929688,218.0,220.77999877929688,220.77999877929688,700,DJCO
2019-05-15,226.22999572753906,226.22999572753906,220.77000427246094,220.77000427246094,220.77000427246094,500,DJCO
2019-05-16,220.4499969482422,220.4499969482422,220.4499969482422,220.4499969482422,220.4499969482422,300,DJCO
2019-05-17,219.3800048828125,219.3800048828125,219.14999389648438,219.14999389648438,219.14999389648438,400,DJCO
2019-05-20,219.10000610351562,219.10000610351562,219.10000610351562,219.10000610351562,219.10000610351562,200,DJCO
2019-05-21,219.5,219.5,219.5,219.5,219.5,1100,DJCO
2019-05-22,219.5,219.5,219.5,219.5,219.5,400,DJCO
2019-05-23,219.10000610351562,219.10000610351562,219.10000610351562,219.10000610351562,219.10000610351562,600,DJCO
2019-05-24,219.10000610351562,219.10000610351562,219.10000610351562,219.10000610351562,219.10000610351562,500,DJCO
2019-05-28,220.7899932861328,220.7899932861328,219.10000610351562,219.10000610351562,219.10000610351562,600,DJCO
2019-05-29,218.0,218.0,214.9499969482422,214.9499969482422,214.9499969482422,1500,DJCO
2019-05-30,213.72999572753906,213.72999572753906,213.72999572753906,213.72999572753906,213.72999572753906,300,DJCO
