,open,high,low,close,adjclose,volume,ticker
2019-01-02,20.936363220214844,21.327272415161133,20.13909149169922,21.327272415161133,19.933643341064453,11100,FGBI
2019-01-03,20.144908905029297,20.636363983154297,20.144908905029297,20.345455169677734,19.015981674194336,6300,FGBI
2019-01-04,20.53636360168457,21.523000717163086,19.727272033691406,20.336362838745117,19.007484436035156,11300,FGBI
2019-01-07,20.409090042114258,21.232362747192383,19.582727432250977,20.31818199157715,18.990489959716797,4000,FGBI
2019-01-08,20.454545974731445,21.327272415161133,20.07227325439453,20.363636016845703,19.032978057861328,5100,FGBI
2019-01-09,20.236364364624023,20.454545974731445,20.055727005004883,20.436363220214844,19.100950241088867,4300,FGBI
2019-01-10,20.200000762939453,20.80409049987793,20.045454025268555,20.045454025268555,18.735584259033203,2600,FGBI
2019-01-11,20.10654640197754,21.276363372802734,19.506818771362305,19.709091186523438,18.421199798583984,10200,FGBI
2019-01-14,19.672727584838867,20.554546356201172,19.236364364624023,19.490909576416016,18.21727752685547,5500,FGBI
2019-01-15,19.590909957885742,20.009090423583984,19.18181800842285,19.35454559326172,18.089824676513672,5600,FGBI
2019-01-16,19.009090423583984,19.549999237060547,18.96363639831543,19.31818199157715,18.05583381652832,4400,FGBI
2019-01-17,19.600000381469727,19.909090042114258,19.57272720336914,19.636363983154297,18.353227615356445,2900,FGBI
2019-01-18,19.64545440673828,20.372726440429688,19.423908233642578,19.799999237060547,18.506168365478516,5800,FGBI
2019-01-22,19.799999237060547,20.0,19.154544830322266,19.363636016845703,18.09832000732422,9600,FGBI
2019-01-23,19.345455169677734,19.81818199157715,18.918182373046875,19.627273559570312,18.344730377197266,10200,FGBI
2019-01-24,19.31818199157715,19.600000381469727,19.0181827545166,19.545454025268555,18.26825523376465,3900,FGBI
2019-01-25,19.596454620361328,19.903636932373047,19.596454620361328,19.89090919494629,18.59113883972168,2200,FGBI
2019-01-28,20.163637161254883,21.42972755432129,19.590909957885742,19.590909957885742,18.31074333190918,16200,FGBI
2019-01-29,20.35454559326172,20.44709014892578,19.655181884765625,19.68181800842285,18.395713806152344,8400,FGBI
2019-01-30,19.42818260192871,20.55181884765625,19.39090919494629,19.763635635375977,18.472185134887695,13400,FGBI
2019-01-31,19.513545989990234,20.55727195739746,19.327272415161133,19.754545211791992,18.463687896728516,8700,FGBI
2019-02-01,19.563636779785156,20.475454330444336,19.245454788208008,19.363636016845703,18.09832000732422,13400,FGBI
2019-02-04,19.372726440429688,19.618181228637695,18.913637161254883,19.090909957885742,17.843414306640625,12400,FGBI
2019-02-05,18.990909576416016,19.65509033203125,18.990909576416016,19.4818172454834,18.208778381347656,5200,FGBI
2019-02-06,19.200000762939453,19.545454025268555,19.200000762939453,19.545454025268555,18.26825523376465,1800,FGBI
2019-02-07,19.18890953063965,19.990909576416016,19.18890953063965,19.290908813476562,18.030345916748047,5600,FGBI
2019-02-08,19.272727966308594,19.969091415405273,18.94818115234375,19.127273559570312,17.877403259277344,9000,FGBI
2019-02-11,19.327272415161133,19.81818199157715,19.07272720336914,19.090909957885742,17.843414306640625,3700,FGBI
2019-02-12,19.5,19.5,19.4818172454834,19.4818172454834,18.208778381347656,1500,FGBI
2019-02-13,19.5181827545166,19.5181827545166,19.063636779785156,19.136363983154297,17.88589859008789,3400,FGBI
2019-02-14,19.18181800842285,19.436363220214844,19.0,19.0,17.758447647094727,3400,FGBI
2019-02-15,19.154544830322266,19.309091567993164,18.78345489501953,19.100000381469727,17.851911544799805,6400,FGBI
2019-02-19,19.518091201782227,19.5181827545166,18.972726821899414,19.063636779785156,17.81792640686035,10900,FGBI
2019-02-20,18.911182403564453,19.07272720336914,18.909090042114258,18.909090042114258,17.67347526550293,5100,FGBI
2019-02-21,19.090818405151367,19.090818405151367,18.909090042114258,18.945453643798828,17.707462310791016,2800,FGBI
2019-02-22,19.03636360168457,19.081817626953125,18.96363639831543,19.081817626953125,17.834917068481445,1900,FGBI
2019-02-25,18.827272415161133,19.090909957885742,18.827272415161133,18.909090042114258,17.67347526550293,3200,FGBI
2019-02-26,19.31818199157715,19.31818199157715,18.954545974731445,18.96363639831543,17.724456787109375,3000,FGBI
2019-02-27,19.454545974731445,19.454545974731445,19.045454025268555,19.045454025268555,17.800928115844727,1200,FGBI
2019-02-28,19.09000015258789,19.405000686645508,18.64545440673828,18.990909576416016,17.74995231628418,11300,FGBI
2019-03-01,18.909090042114258,19.314727783203125,18.836362838745117,19.314727783203125,18.0526065826416,6100,FGBI
2019-03-04,19.309091567993164,19.4533634185791,19.118181228637695,19.127273559570312,17.877403259277344,3200,FGBI
2019-03-05,19.31818199157715,19.31818199157715,19.0181827545166,19.0181827545166,17.775440216064453,1200,FGBI
2019-03-06,18.754545211791992,19.18181800842285,18.754545211791992,19.136363983154297,17.88589859008789,2400,FGBI
2019-03-07,19.090909957885742,19.327272415161133,18.990909576416016,18.990909576416016,17.74995231628418,1500,FGBI
2019-03-08,19.090909957885742,19.372636795043945,19.0,19.118181228637695,17.86890411376953,5700,FGBI
2019-03-11,19.39090919494629,19.39090919494629,19.127273559570312,19.31818199157715,18.05583381652832,2000,FGBI
2019-03-12,19.31818199157715,19.31818199157715,19.090999603271484,19.254545211791992,17.99635887145996,4300,FGBI
2019-03-13,19.272727966308594,19.272727966308594,19.263635635375977,19.272727966308594,18.013351440429688,2300,FGBI
