,open,high,low,close,adjclose,volume,ticker
2019-01-02,14.1899995803833,14.350000381469727,13.949999809265137,14.350000381469727,14.350000381469727,14000,HBMD
2019-01-03,14.649999618530273,14.779999732971191,13.869999885559082,14.5,14.5,12700,HBMD
2019-01-04,14.600000381469727,15.5,14.600000381469727,15.449999809265137,15.449999809265137,18500,HBMD
2019-01-07,15.279999732971191,15.989999771118164,15.270000457763672,15.739999771118164,15.739999771118164,15100,HBMD
2019-01-08,15.75,15.75,15.170000076293945,15.359999656677246,15.359999656677246,9100,HBMD
2019-01-09,15.069999694824219,15.680000305175781,14.960000038146973,15.100000381469727,15.100000381469727,8200,HBMD
2019-01-10,14.90999984741211,15.84000015258789,14.90999984741211,15.050000190734863,15.050000190734863,4600,HBMD
2019-01-11,14.9399995803833,15.260000228881836,14.609999656677246,14.680000305175781,14.680000305175781,14200,HBMD
2019-01-14,14.649999618530273,15.649999618530273,14.5,15.399999618530273,15.399999618530273,11300,HBMD
2019-01-15,15.5,15.550000190734863,15.15999984741211,15.399999618530273,15.399999618530273,9800,HBMD
2019-01-16,15.40999984741211,16.049999237060547,14.979999542236328,15.869999885559082,15.869999885559082,102600,HBMD
2019-01-17,15.670000076293945,15.760000228881836,14.930000305175781,14.970000267028809,14.970000267028809,37700,HBMD
2019-01-18,14.989999771118164,15.989999771118164,14.989999771118164,15.300000190734863,15.300000190734863,14800,HBMD
2019-01-22,15.3100004196167,15.510000228881836,15.0,15.229999542236328,15.229999542236328,13100,HBMD
2019-01-23,15.4399995803833,15.4399995803833,15.079999923706055,15.359999656677246,15.359999656677246,13000,HBMD
2019-01-24,15.300000190734863,15.489999771118164,14.819999694824219,14.960000038146973,14.960000038146973,12300,HBMD
2019-01-25,14.899999618530273,15.329999923706055,13.550000190734863,14.119999885559082,14.119999885559082,16600,HBMD
2019-01-28,13.84000015258789,14.260000228881836,13.600000381469727,14.260000228881836,14.260000228881836,34200,HBMD
2019-01-29,14.119999885559082,14.239999771118164,13.550000190734863,14.109999656677246,14.109999656677246,17000,HBMD
2019-01-30,13.819999694824219,13.829999923706055,12.899999618530273,13.210000038146973,13.210000038146973,29800,HBMD
2019-01-31,13.229999542236328,13.75,12.75,12.829999923706055,12.829999923706055,16600,HBMD
2019-02-01,12.890000343322754,13.15999984741211,12.890000343322754,12.9399995803833,12.9399995803833,12900,HBMD
2019-02-04,12.899999618530273,13.550000190734863,12.600000381469727,13.100000381469727,13.100000381469727,8600,HBMD
2019-02-05,13.3100004196167,13.65999984741211,13.3100004196167,13.539999961853027,13.539999961853027,16100,HBMD
2019-02-06,13.380000114440918,13.760000228881836,12.970000267028809,13.329999923706055,13.329999923706055,70200,HBMD
2019-02-07,13.40999984741211,13.520000457763672,13.25,13.34000015258789,13.34000015258789,19900,HBMD
2019-02-08,13.8100004196167,13.8100004196167,13.350000381469727,13.420000076293945,13.420000076293945,18500,HBMD
2019-02-11,13.569999694824219,13.770000457763672,13.380000114440918,13.470000267028809,13.470000267028809,19900,HBMD
2019-02-12,13.699999809265137,13.710000038146973,13.569999694824219,13.710000038146973,13.710000038146973,7400,HBMD
2019-02-13,13.880000114440918,13.989999771118164,13.75,13.989999771118164,13.989999771118164,7700,HBMD
2019-02-14,14.0,14.420000076293945,13.920000076293945,14.029999732971191,14.029999732971191,13200,HBMD
2019-02-15,14.09000015258789,14.75,14.09000015258789,14.539999961853027,14.539999961853027,19900,HBMD
2019-02-19,14.460000038146973,15.010000228881836,14.460000038146973,14.949999809265137,14.949999809265137,16200,HBMD
2019-02-20,14.680000305175781,15.079999923706055,14.34000015258789,14.34000015258789,14.34000015258789,13000,HBMD
2019-02-21,14.210000038146973,14.579999923706055,13.59000015258789,13.770000457763672,13.770000457763672,10700,HBMD
2019-02-22,13.850000381469727,14.420000076293945,13.420000076293945,13.680000305175781,13.680000305175781,17400,HBMD
2019-02-25,13.6899995803833,13.6899995803833,13.270000457763672,13.270000457763672,13.270000457763672,21900,HBMD
2019-02-26,13.289999961853027,13.289999961853027,12.920000076293945,12.989999771118164,12.989999771118164,20600,HBMD
2019-02-27,13.0600004196167,13.220000267028809,13.0,13.050000190734863,13.050000190734863,18400,HBMD
2019-02-28,12.9399995803833,13.470000267028809,12.9399995803833,13.270000457763672,13.270000457763672,36100,HBMD
2019-03-01,13.399999618530273,13.420000076293945,13.199999809265137,13.210000038146973,13.210000038146973,12000,HBMD
2019-03-04,13.149999618530273,13.520000457763672,13.0600004196167,13.079999923706055,13.079999923706055,11800,HBMD
2019-03-05,13.010000228881836,13.220000267028809,12.699999809265137,12.880000114440918,12.880000114440918,69100,HBMD
2019-03-06,12.899999618530273,13.34000015258789,12.899999618530273,12.949999809265137,12.949999809265137,54800,HBMD
2019-03-07,13.09000015258789,13.239999771118164,12.899999618530273,13.050000190734863,13.050000190734863,45600,HBMD
2019-03-08,13.0,13.3100004196167,12.970000267028809,13.220000267028809,13.220000267028809,29500,HBMD
2019-03-11,13.109999656677246,13.529999732971191,13.109999656677246,13.489999771118164,13.489999771118164,15300,HBMD
2019-03-12,13.5,13.600000381469727,13.380000114440918,13.600000381469727,13.600000381469727,13500,HBMD
2019-03-13,13.890000343322754,13.979999542236328,13.640000343322754,13.84000015258789,13.84000015258789,7000,HBMD
2019-03-14,13.829999923706055,13.829999923706055,13.619999885559082,13.760000228881836,13.760000228881836,1900,HBMD
2019-03-15,13.720000267028809,14.029999732971191,13.6899995803833,13.90999984741211,13.90999984741211,47400,HBMD
2019-03-18,13.90999984741211,13.90999984741211,13.859999656677246,13.859999656677246,13.859999656677246,1200,HBMD
2019-03-19,14.0,14.180000305175781,14.0,14.180000305175781,14.180000305175781,2900,HBMD
2019-03-20,13.359999656677246,14.010000228881836,13.359999656677246,13.75,13.75,5000,HBMD
2019-03-21,13.789999961853027,13.970000267028809,13.600000381469727,13.600000381469727,13.600000381469727,10100,HBMD
2019-03-22,13.550000190734863,13.890000343322754,13.260000228881836,13.510000228881836,13.510000228881836,18500,HBMD
2019-03-25,13.630000114440918,13.630000114440918,13.460000038146973,13.5600004196167,13.5600004196167,7800,HBMD
2019-03-26,13.5600004196167,14.079999923706055,13.550000190734863,14.079999923706055,14.079999923706055,10400,HBMD
2019-03-27,14.34000015258789,14.4399995803833,14.09000015258789,14.140000343322754,14.140000343322754,10500,HBMD
2019-03-28,14.170000076293945,14.5,13.920000076293945,14.470000267028809,14.470000267028809,8200,HBMD
2019-03-29,14.460000038146973,15.149999618530273,14.1899995803833,14.8100004196167,14.8100004196167,28600,HBMD
2019-04-01,14.609999656677246,14.979999542236328,14.050000190734863,14.119999885559082,14.119999885559082,12200,HBMD
2019-04-02,14.119999885559082,14.300000190734863,13.5,13.630000114440918,13.630000114440918,18200,HBMD
2019-04-03,13.729999542236328,14.069999694824219,13.550000190734863,13.819999694824219,13.819999694824219,14200,HBMD
2019-04-04,14.119999885559082,14.1899995803833,13.6899995803833,13.8100004196167,13.8100004196167,5200,HBMD
2019-04-05,13.770000457763672,14.1899995803833,13.649999618530273,13.880000114440918,13.880000114440918,4100,HBMD
2019-04-08,13.720000267028809,14.0,13.670000076293945,13.710000038146973,13.710000038146973,10500,HBMD
2019-04-09,13.710000038146973,14.0,13.710000038146973,13.710000038146973,13.710000038146973,6100,HBMD
2019-04-10,13.710000038146973,14.180000305175781,13.670000076293945,14.15999984741211,14.15999984741211,5800,HBMD
2019-04-11,13.970000267028809,13.989999771118164,13.260000228881836,13.300000190734863,13.300000190734863,12800,HBMD
2019-04-12,13.520000457763672,14.050000190734863,13.460000038146973,13.930000305175781,13.930000305175781,10400,HBMD
2019-04-15,13.970000267028809,14.020000457763672,13.760000228881836,13.760000228881836,13.760000228881836,2900,HBMD
2019-04-16,13.550000190734863,13.960000038146973,13.550000190734863,13.770000457763672,13.770000457763672,6700,HBMD
2019-04-17,13.65999984741211,14.210000038146973,13.65999984741211,14.010000228881836,14.010000228881836,8800,HBMD
2019-04-18,13.899999618530273,14.279999732971191,13.800000190734863,14.279999732971191,14.279999732971191,10800,HBMD
2019-04-22,14.0600004196167,14.300000190734863,13.699999809265137,13.699999809265137,13.699999809265137,12600,HBMD
2019-04-23,14.0,14.329999923706055,13.699999809265137,14.329999923706055,14.329999923706055,18400,HBMD
2019-04-24,14.390000343322754,14.5,14.100000381469727,14.430000305175781,14.430000305175781,5600,HBMD
2019-04-25,14.260000228881836,14.539999961853027,14.170000076293945,14.399999618530273,14.399999618530273,8600,HBMD
2019-04-26,14.279999732971191,14.720000267028809,14.210000038146973,14.600000381469727,14.600000381469727,4500,HBMD
2019-04-29,14.220000267028809,14.970000267028809,14.220000267028809,14.970000267028809,14.970000267028809,8700,HBMD
2019-04-30,14.819999694824219,15.100000381469727,14.819999694824219,15.029999732971191,15.029999732971191,14000,HBMD
2019-05-01,14.800000190734863,15.029999732971191,14.609999656677246,14.90999984741211,14.90999984741211,117300,HBMD
2019-05-02,14.930000305175781,15.170000076293945,14.829999923706055,14.90999984741211,14.90999984741211,14500,HBMD
2019-05-03,14.880000114440918,15.079999923706055,14.680000305175781,15.079999923706055,15.079999923706055,38900,HBMD
2019-05-06,15.149999618530273,15.149999618530273,14.989999771118164,14.989999771118164,14.989999771118164,5700,HBMD
2019-05-07,14.670000076293945,15.050000190734863,14.670000076293945,15.0,15.0,12800,HBMD
