,open,high,low,close,adjclose,volume,ticker
2019-01-02,16.5,18.600000381469727,15.199999809265137,18.100000381469727,18.100000381469727,78500,HSTO
2019-01-03,17.799999237060547,18.399999618530273,17.5,17.5,17.5,26800,HSTO
2019-01-04,17.700000762939453,19.799999237060547,17.700000762939453,19.100000381469727,19.100000381469727,74000,HSTO
2019-01-07,19.399999618530273,22.0,19.399999618530273,22.0,22.0,94300,HSTO
2019-01-08,22.399999618530273,22.399999618530273,19.799999237060547,21.5,21.5,78400,HSTO
2019-01-09,21.700000762939453,22.399999618530273,20.5,20.700000762939453,20.700000762939453,40500,HSTO
2019-01-10,20.5,21.200000762939453,19.0,19.700000762939453,19.700000762939453,47600,HSTO
2019-01-11,19.899999618530273,20.399999618530273,19.299999237060547,20.200000762939453,20.200000762939453,26200,HSTO
2019-01-14,19.899999618530273,20.700000762939453,18.100000381469727,18.5,18.5,61600,HSTO
2019-01-15,18.799999237060547,18.899999618530273,16.200000762939453,18.200000762939453,18.200000762939453,41300,HSTO
2019-01-16,18.299999237060547,19.799999237060547,18.299999237060547,18.700000762939453,18.700000762939453,30400,HSTO
2019-01-17,18.600000381469727,19.200000762939453,18.299999237060547,18.799999237060547,18.799999237060547,19700,HSTO
2019-01-18,19.100000381469727,19.100000381469727,18.200000762939453,18.5,18.5,23100,HSTO
2019-01-22,18.600000381469727,18.700000762939453,18.100000381469727,18.5,18.5,27500,HSTO
2019-01-23,18.700000762939453,18.700000762939453,17.100000381469727,17.200000762939453,17.200000762939453,23200,HSTO
2019-01-24,17.299999237060547,18.299999237060547,17.200000762939453,17.899999618530273,17.899999618530273,15700,HSTO
2019-01-25,17.700000762939453,18.200000762939453,16.899999618530273,17.799999237060547,17.799999237060547,32600,HSTO
2019-01-28,18.100000381469727,18.799999237060547,17.200000762939453,17.5,17.5,48400,HSTO
2019-01-29,17.700000762939453,25.600000381469727,17.299999237060547,21.5,21.5,322200,HSTO
2019-01-30,22.0,23.399999618530273,20.100000381469727,23.0,23.0,138400,HSTO
2019-01-31,23.399999618530273,24.5,21.600000381469727,23.299999237060547,23.299999237060547,64600,HSTO
2019-02-01,23.5,24.0,22.100000381469727,22.399999618530273,22.399999618530273,50400,HSTO
2019-02-04,22.299999237060547,23.299999237060547,21.799999237060547,22.0,22.0,46800,HSTO
2019-02-05,22.399999618530273,23.700000762939453,21.700000762939453,22.399999618530273,22.399999618530273,59600,HSTO
2019-02-06,22.700000762939453,22.700000762939453,20.600000381469727,20.600000381469727,20.600000381469727,45000,HSTO
2019-02-07,20.600000381469727,21.299999237060547,19.399999618530273,20.0,20.0,60700,HSTO
2019-02-08,19.799999237060547,20.5,19.5,19.700000762939453,19.700000762939453,25400,HSTO
2019-02-11,19.799999237060547,20.200000762939453,19.700000762939453,19.899999618530273,19.899999618530273,30600,HSTO
2019-02-12,21.399999618530273,21.600000381469727,19.600000381469727,20.700000762939453,20.700000762939453,32300,HSTO
2019-02-13,20.600000381469727,21.0,20.0,20.600000381469727,20.600000381469727,50600,HSTO
2019-02-14,20.600000381469727,21.799999237060547,20.100000381469727,20.299999237060547,20.299999237060547,56200,HSTO
2019-02-15,20.5,20.700000762939453,20.0,20.399999618530273,20.399999618530273,51300,HSTO
2019-02-19,20.5,20.700000762939453,18.600000381469727,18.899999618530273,18.899999618530273,95200,HSTO
2019-02-20,18.899999618530273,19.600000381469727,18.5,18.799999237060547,18.799999237060547,35300,HSTO
2019-02-21,18.700000762939453,19.399999618530273,18.5,18.899999618530273,18.899999618530273,31500,HSTO
2019-02-22,18.899999618530273,19.5,18.700000762939453,18.799999237060547,18.799999237060547,30300,HSTO
2019-02-25,18.899999618530273,19.899999618530273,18.899999618530273,19.399999618530273,19.399999618530273,37600,HSTO
2019-02-26,19.399999618530273,20.200000762939453,19.100000381469727,20.0,20.0,56400,HSTO
2019-02-27,19.799999237060547,20.5,19.600000381469727,19.899999618530273,19.899999618530273,30700,HSTO
2019-02-28,19.700000762939453,19.799999237060547,19.0,19.399999618530273,19.399999618530273,29000,HSTO
2019-03-01,19.399999618530273,22.799999237060547,19.399999618530273,21.200000762939453,21.200000762939453,110700,HSTO
2019-03-04,21.399999618530273,22.399999618530273,20.899999618530273,21.799999237060547,21.799999237060547,44500,HSTO
2019-03-05,22.100000381469727,22.399999618530273,21.200000762939453,21.899999618530273,21.899999618530273,32100,HSTO
2019-03-06,22.0,22.399999618530273,19.5,20.299999237060547,20.299999237060547,62400,HSTO
2019-03-07,20.5,20.5,19.700000762939453,20.100000381469727,20.100000381469727,51600,HSTO
2019-03-08,20.0,20.700000762939453,19.200000762939453,19.700000762939453,19.700000762939453,50900,HSTO
2019-03-11,20.600000381469727,22.799999237060547,20.0,21.0,21.0,175600,HSTO
2019-03-12,21.299999237060547,24.299999237060547,20.700000762939453,23.0,23.0,180100,HSTO
2019-03-13,23.399999618530273,30.200000762939453,22.700000762939453,28.899999618530273,28.899999618530273,505200,HSTO
2019-03-14,29.700000762939453,30.100000381469727,26.600000381469727,28.5,28.5,185900,HSTO
2019-03-15,26.899999618530273,28.100000381469727,25.600000381469727,26.700000762939453,26.700000762939453,137600,HSTO
2019-03-18,27.0,29.100000381469727,26.0,28.899999618530273,28.899999618530273,94900,HSTO
2019-03-19,29.299999237060547,30.0,27.200000762939453,28.700000762939453,28.700000762939453,69900,HSTO
2019-03-20,28.600000381469727,29.600000381469727,28.100000381469727,28.799999237060547,28.799999237060547,46200,HSTO
2019-03-21,28.899999618530273,30.799999237060547,27.799999237060547,29.100000381469727,29.100000381469727,271500,HSTO
2019-03-22,13.5,13.899999618530273,12.100000381469727,12.800000190734863,12.800000190734863,606800,HSTO
2019-03-25,12.699999809265137,12.800000190734863,11.800000190734863,12.0,12.0,186400,HSTO
2019-03-26,12.100000381469727,12.399999618530273,11.399999618530273,12.100000381469727,12.100000381469727,107700,HSTO
2019-03-27,12.399999618530273,12.399999618530273,11.199999809265137,11.399999618530273,11.399999618530273,128800,HSTO
2019-03-28,11.399999618530273,11.699999809265137,11.0,11.100000381469727,11.100000381469727,50600,HSTO
2019-03-29,11.199999809265137,11.300000190734863,10.800000190734863,10.800000190734863,10.800000190734863,61800,HSTO
2019-04-01,10.800000190734863,12.5,10.800000190734863,11.600000381469727,11.600000381469727,116200,HSTO
2019-04-02,11.600000381469727,13.699999809265137,11.600000381469727,13.600000381469727,13.600000381469727,221400,HSTO
2019-04-03,13.600000381469727,14.399999618530273,12.800000190734863,13.300000190734863,13.300000190734863,164200,HSTO
2019-04-04,13.600000381469727,13.699999809265137,12.199999809265137,13.0,13.0,93300,HSTO
2019-04-05,13.0,13.300000190734863,12.5,12.5,12.5,69400,HSTO
2019-04-08,12.5,13.5,12.5,13.0,13.0,83200,HSTO
2019-04-09,13.0,13.199999809265137,12.699999809265137,12.899999618530273,12.899999618530273,46400,HSTO
2019-04-10,12.899999618530273,13.899999618530273,12.5,13.300000190734863,13.300000190734863,165500,HSTO
2019-04-11,13.5,13.600000381469727,12.300000190734863,12.600000381469727,12.600000381469727,124500,HSTO
2019-04-12,12.699999809265137,12.699999809265137,11.899999618530273,12.199999809265137,12.199999809265137,124600,HSTO
2019-04-15,12.100000381469727,12.100000381469727,7.300000190734863,8.0,8.0,569200,HSTO
2019-04-16,8.300000190734863,8.399999618530273,7.5,7.699999809265137,7.699999809265137,104200,HSTO
2019-04-17,7.699999809265137,7.699999809265137,6.900000095367432,7.099999904632568,7.099999904632568,185200,HSTO
2019-04-18,7.199999809265137,9.199999809265137,7.099999904632568,8.300000190734863,8.300000190734863,262400,HSTO
2019-04-22,8.5,8.699999809265137,7.400000095367432,7.5,7.5,113300,HSTO
2019-04-23,7.5,7.800000190734863,7.5,7.800000190734863,7.800000190734863,28800,HSTO
2019-04-24,7.800000190734863,8.399999618530273,7.599999904632568,8.100000381469727,8.100000381469727,65100,HSTO
2019-04-25,8.199999809265137,8.199999809265137,7.599999904632568,7.699999809265137,7.699999809265137,33300,HSTO
2019-04-26,7.599999904632568,8.0,7.199999809265137,7.699999809265137,7.699999809265137,41500,HSTO
2019-04-29,7.699999809265137,8.5,7.699999809265137,8.199999809265137,8.199999809265137,59500,HSTO
2019-04-30,8.899999618530273,8.899999618530273,8.0,8.600000381469727,8.600000381469727,109600,HSTO
2019-05-01,8.5,8.699999809265137,7.699999809265137,8.300000190734863,8.300000190734863,45900,HSTO
2019-05-02,8.5,8.600000381469727,8.100000381469727,8.5,8.5,19300,HSTO
2019-05-03,7.699999809265137,9.0,7.599999904632568,9.0,9.0,75000,HSTO
2019-05-06,8.600000381469727,9.699999809265137,8.600000381469727,9.399999618530273,9.399999618530273,54500,HSTO
2019-05-07,9.300000190734863,9.300000190734863,8.5,8.600000381469727,8.600000381469727,61900,HSTO
2019-05-08,8.800000190734863,9.199999809265137,8.600000381469727,9.199999809265137,9.199999809265137,21300,HSTO
2019-05-09,9.100000381469727,9.199999809265137,8.699999809265137,9.100000381469727,9.100000381469727,18700,HSTO
2019-05-10,8.899999618530273,9.199999809265137,8.600000381469727,8.699999809265137,8.699999809265137,60300,HSTO
2019-05-13,8.600000381469727,9.0,8.5,8.699999809265137,8.699999809265137,25300,HSTO
2019-05-14,8.800000190734863,9.300000190734863,8.5,9.199999809265137,9.199999809265137,21300,HSTO
2019-05-15,9.199999809265137,9.600000381469727,8.699999809265137,9.100000381469727,9.100000381469727,28600,HSTO
2019-05-16,9.0,9.5,8.800000190734863,8.899999618530273,8.899999618530273,23200,HSTO
2019-05-17,8.800000190734863,9.0,8.5,8.600000381469727,8.600000381469727,28300,HSTO
2019-05-20,8.5,8.800000190734863,8.199999809265137,8.5,8.5,21800,HSTO
2019-05-21,8.5,8.800000190734863,8.300000190734863,8.600000381469727,8.600000381469727,10300,HSTO
2019-05-22,8.600000381469727,8.800000190734863,8.199999809265137,8.5,8.5,11400,HSTO
2019-05-23,8.399999618530273,8.5,7.699999809265137,8.0,8.0,34700,HSTO
2019-05-24,8.100000381469727,8.5,8.100000381469727,8.399999618530273,8.399999618530273,12700,HSTO
2019-05-28,8.199999809265137,8.399999618530273,8.0,8.399999618530273,8.399999618530273,13900,HSTO
2019-05-29,8.199999809265137,8.399999618530273,7.900000095367432,8.399999618530273,8.399999618530273,10700,HSTO
2019-05-30,8.300000190734863,8.300000190734863,7.900000095367432,8.0,8.0,16300,HSTO
2019-05-31,8.0,8.0,7.5,7.699999809265137,7.699999809265137,18800,HSTO
2019-06-03,7.5,7.800000190734863,7.400000095367432,7.699999809265137,7.699999809265137,18200,HSTO
2019-06-04,7.699999809265137,8.199999809265137,7.5,8.0,8.0,9800,HSTO
2019-06-05,7.900000095367432,8.300000190734863,7.599999904632568,7.900000095367432,7.900000095367432,13700,HSTO
2019-06-06,7.900000095367432,8.0,7.300000190734863,7.300000190734863,7.300000190734863,20300,HSTO
2019-06-07,7.300000190734863,7.599999904632568,7.300000190734863,7.599999904632568,7.599999904632568,13000,HSTO
2019-06-10,7.5,7.800000190734863,7.300000190734863,7.599999904632568,7.599999904632568,11300,HSTO
2019-06-11,7.699999809265137,7.699999809265137,7.300000190734863,7.5,7.5,8600,HSTO
2019-06-12,8.0,8.0,7.199999809265137,7.300000190734863,7.300000190734863,19200,HSTO
2019-06-13,7.199999809265137,7.800000190734863,7.199999809265137,7.599999904632568,7.599999904632568,13700,HSTO
2019-06-14,7.599999904632568,7.800000190734863,7.199999809265137,7.699999809265137,7.699999809265137,12100,HSTO
2019-06-17,7.800000190734863,7.800000190734863,7.099999904632568,7.099999904632568,7.099999904632568,30700,HSTO
2019-06-18,7.400000095367432,10.300000190734863,7.300000190734863,9.399999618530273,9.399999618530273,161100,HSTO
2019-06-19,9.300000190734863,10.699999809265137,8.300000190734863,9.899999618530273,9.899999618530273,114200,HSTO
2019-06-20,10.199999809265137,10.300000190734863,9.800000190734863,10.0,10.0,43000,HSTO
2019-06-21,9.800000190734863,9.800000190734863,9.100000381469727,9.199999809265137,9.199999809265137,26100,HSTO
2019-06-24,9.300000190734863,9.5,8.600000381469727,9.199999809265137,9.199999809265137,117900,HSTO
2019-06-25,3.5,4.0,2.799999952316284,2.9000000953674316,2.9000000953674316,918100,HSTO
2019-06-26,3.0,3.200000047683716,2.799999952316284,2.799999952316284,2.799999952316284,322900,HSTO
2019-06-27,2.700000047683716,3.299999952316284,2.5,2.9000000953674316,2.9000000953674316,504300,HSTO
2019-06-28,2.700000047683716,2.9000000953674316,2.5999999046325684,2.5999999046325684,2.5999999046325684,166100,HSTO
2019-07-01,2.799999952316284,2.9000000953674316,2.5999999046325684,2.700000047683716,2.700000047683716,111600,HSTO
2019-07-02,3.0,3.0,2.5999999046325684,2.9000000953674316,2.9000000953674316,85800,HSTO
2019-07-03,2.799999952316284,3.4000000953674316,2.700000047683716,3.299999952316284,3.299999952316284,276700,HSTO
2019-07-05,3.299999952316284,3.299999952316284,3.0,3.0999999046325684,3.0999999046325684,109600,HSTO
2019-07-08,3.200000047683716,3.200000047683716,2.799999952316284,3.0,3.0,118000,HSTO
2019-07-09,3.0,3.200000047683716,2.9000000953674316,3.0999999046325684,3.0999999046325684,64000,HSTO
2019-07-10,3.0999999046325684,3.4000000953674316,3.0,3.299999952316284,3.299999952316284,136200,HSTO
2019-07-11,3.299999952316284,4.599999904632568,3.0999999046325684,4.5,4.5,690000,HSTO
2019-07-12,4.199999809265137,4.300000190734863,3.299999952316284,3.4000000953674316,3.4000000953674316,325500,HSTO
2019-07-15,3.299999952316284,3.5999999046325684,3.200000047683716,3.299999952316284,3.299999952316284,120400,HSTO
2019-07-16,3.299999952316284,3.4000000953674316,3.200000047683716,3.200000047683716,3.200000047683716,59900,HSTO
2019-07-17,3.200000047683716,3.4000000953674316,3.0,3.200000047683716,3.200000047683716,80700,HSTO
2019-07-18,3.299999952316284,3.4000000953674316,3.0999999046325684,3.299999952316284,3.299999952316284,33900,HSTO
2019-07-19,3.299999952316284,3.4000000953674316,3.200000047683716,3.200000047683716,3.200000047683716,43100,HSTO
2019-07-22,3.299999952316284,3.299999952316284,3.0,3.0,3.0,34800,HSTO
2019-07-23,3.200000047683716,3.299999952316284,3.0,3.0999999046325684,3.0999999046325684,59200,HSTO
2019-07-24,3.0,3.9000000953674316,3.0,3.5,3.5,219000,HSTO
2019-07-25,3.5,3.5,3.0,3.0999999046325684,3.0999999046325684,120000,HSTO
2019-07-26,3.0999999046325684,3.200000047683716,3.0999999046325684,3.0999999046325684,3.0999999046325684,24300,HSTO
2019-07-29,3.0999999046325684,3.4000000953674316,3.0999999046325684,3.0999999046325684,3.0999999046325684,68500,HSTO
2019-07-30,3.200000047683716,3.299999952316284,3.0999999046325684,3.200000047683716,3.200000047683716,62400,HSTO
2019-07-31,3.200000047683716,3.4000000953674316,3.0999999046325684,3.200000047683716,3.200000047683716,36300,HSTO
2019-08-01,3.299999952316284,3.4000000953674316,3.0999999046325684,3.0999999046325684,3.0999999046325684,34100,HSTO
2019-08-02,3.0999999046325684,3.4000000953674316,3.0999999046325684,3.299999952316284,3.299999952316284,169000,HSTO
2019-08-05,3.200000047683716,3.299999952316284,3.0999999046325684,3.0999999046325684,3.0999999046325684,35500,HSTO
2019-08-06,3.0999999046325684,3.200000047683716,3.0,3.0999999046325684,3.0999999046325684,47500,HSTO
2019-08-07,3.200000047683716,3.200000047683716,2.799999952316284,2.9000000953674316,2.9000000953674316,84600,HSTO
2019-08-08,2.9000000953674316,3.0,2.9000000953674316,3.0,3.0,43300,HSTO
2019-08-09,3.0,3.0999999046325684,2.9000000953674316,3.0,3.0,27900,HSTO
2019-08-12,3.0,3.0999999046325684,3.0,3.0,3.0,12300,HSTO
2019-08-13,3.0,3.0999999046325684,3.0,3.0,3.0,22300,HSTO
2019-08-14,3.0,3.0,2.5,3.0,3.0,71500,HSTO
2019-08-15,3.0,3.200000047683716,2.5999999046325684,3.0,3.0,105000,HSTO
2019-08-16,3.0,3.0999999046325684,2.9000000953674316,3.0999999046325684,3.0999999046325684,26500,HSTO
2019-08-19,3.200000047683716,3.4000000953674316,3.0,3.200000047683716,3.200000047683716,70700,HSTO
2019-08-20,3.200000047683716,3.299999952316284,3.0,3.200000047683716,3.200000047683716,32800,HSTO
2019-08-21,3.299999952316284,3.299999952316284,3.0999999046325684,3.0999999046325684,3.0999999046325684,19300,HSTO
2019-08-22,3.0999999046325684,3.200000047683716,3.0999999046325684,3.0999999046325684,3.0999999046325684,14400,HSTO
2019-08-23,3.0999999046325684,3.0999999046325684,3.0,3.0,3.0,14000,HSTO
2019-08-26,3.0,3.0999999046325684,2.9000000953674316,3.0999999046325684,3.0999999046325684,20700,HSTO
2019-08-27,2.9000000953674316,3.0999999046325684,2.9000000953674316,3.0999999046325684,3.0999999046325684,22700,HSTO
2019-08-28,3.0,3.299999952316284,2.9000000953674316,3.200000047683716,3.200000047683716,92000,HSTO
2019-08-29,3.200000047683716,3.200000047683716,3.0999999046325684,3.0999999046325684,3.0999999046325684,26500,HSTO
2019-08-30,3.200000047683716,3.5999999046325684,3.0999999046325684,3.4000000953674316,3.4000000953674316,250200,HSTO
2019-09-03,3.4000000953674316,3.4000000953674316,3.0999999046325684,3.200000047683716,3.200000047683716,99900,HSTO
