,open,high,low,close,adjclose,volume,ticker
2019-01-02,2.930000066757202,3.009999990463257,2.9100000858306885,2.940000057220459,2.940000057220459,55900,LTRX
2019-01-03,2.930000066757202,2.940000057220459,2.8399999141693115,2.859999895095825,2.859999895095825,17200,LTRX
2019-01-04,2.869999885559082,3.1500000953674316,2.869999885559082,3.140000104904175,3.140000104904175,50800,LTRX
2019-01-07,3.119999885559082,3.430000066757202,3.0799999237060547,3.2899999618530273,3.2899999618530273,34500,LTRX
2019-01-08,3.369999885559082,3.490000009536743,3.1700000762939453,3.4000000953674316,3.4000000953674316,44000,LTRX
2019-01-09,3.4700000286102295,3.4800000190734863,3.3299999237060547,3.390000104904175,3.390000104904175,29500,LTRX
2019-01-10,3.359999895095825,3.5899999141693115,3.359999895095825,3.5299999713897705,3.5299999713897705,27500,LTRX
2019-01-11,3.5999999046325684,3.6700000762939453,3.4700000286102295,3.6600000858306885,3.6600000858306885,22700,LTRX
2019-01-14,3.630000114440918,3.640000104904175,3.440000057220459,3.440000057220459,3.440000057220459,30200,LTRX
2019-01-15,3.4200000762939453,3.569999933242798,3.4200000762939453,3.5299999713897705,3.5299999713897705,14800,LTRX
2019-01-16,3.549999952316284,3.5799999237060547,3.430000066757202,3.4800000190734863,3.4800000190734863,28000,LTRX
2019-01-17,3.4800000190734863,3.4800000190734863,3.3499999046325684,3.4100000858306885,3.4100000858306885,22400,LTRX
2019-01-18,3.4100000858306885,3.5399999618530273,3.4000000953674316,3.4800000190734863,3.4800000190734863,15400,LTRX
2019-01-22,3.4700000286102295,3.4800000190734863,3.190000057220459,3.2100000381469727,3.2100000381469727,90800,LTRX
2019-01-23,3.2100000381469727,3.2899999618530273,3.190000057220459,3.200000047683716,3.200000047683716,24700,LTRX
2019-01-24,3.2200000286102295,3.25,2.630000114440918,2.7300000190734863,2.7300000190734863,367900,LTRX
2019-01-25,3.109999895095825,3.1700000762939453,2.9800000190734863,3.0399999618530273,3.0399999618530273,89000,LTRX
2019-01-28,3.0799999237060547,3.1700000762939453,3.049999952316284,3.1700000762939453,3.1700000762939453,44800,LTRX
2019-01-29,3.1500000953674316,3.1500000953674316,2.8499999046325684,2.859999895095825,2.859999895095825,102900,LTRX
2019-01-30,2.869999885559082,2.890000104904175,2.759999990463257,2.759999990463257,2.759999990463257,118600,LTRX
2019-01-31,2.759999990463257,2.8399999141693115,2.680000066757202,2.680000066757202,2.680000066757202,107600,LTRX
2019-02-01,2.700000047683716,2.75,2.569999933242798,2.5899999141693115,2.5899999141693115,157400,LTRX
2019-02-04,2.5899999141693115,2.700000047683716,2.5799999237060547,2.5899999141693115,2.5899999141693115,89200,LTRX
2019-02-05,2.5999999046325684,2.6500000953674316,2.5299999713897705,2.569999933242798,2.569999933242798,100100,LTRX
2019-02-06,2.559999942779541,2.609999895095825,2.5199999809265137,2.5799999237060547,2.5799999237060547,171900,LTRX
2019-02-07,2.5799999237060547,2.5999999046325684,2.509999990463257,2.5299999713897705,2.5299999713897705,97300,LTRX
2019-02-08,2.5799999237060547,2.640000104904175,2.509999990463257,2.5999999046325684,2.5999999046325684,75600,LTRX
2019-02-11,2.619999885559082,2.700000047683716,2.609999895095825,2.6500000953674316,2.6500000953674316,122300,LTRX
2019-02-12,2.700000047683716,2.740000009536743,2.6700000762939453,2.690000057220459,2.690000057220459,199300,LTRX
2019-02-13,2.7300000190734863,2.7699999809265137,2.680000066757202,2.680000066757202,2.680000066757202,63500,LTRX
2019-02-14,2.680000066757202,2.869999885559082,2.680000066757202,2.819999933242798,2.819999933242798,33800,LTRX
2019-02-15,2.859999895095825,2.9100000858306885,2.7899999618530273,2.880000114440918,2.880000114440918,203400,LTRX
2019-02-19,2.9100000858306885,2.950000047683716,2.869999885559082,2.890000104904175,2.890000104904175,64500,LTRX
2019-02-20,2.9100000858306885,2.950000047683716,2.8399999141693115,2.9000000953674316,2.9000000953674316,81500,LTRX
2019-02-21,2.9100000858306885,2.950000047683716,2.859999895095825,2.940000057220459,2.940000057220459,95700,LTRX
2019-02-22,2.950000047683716,2.9700000286102295,2.9100000858306885,2.950000047683716,2.950000047683716,54700,LTRX
2019-02-25,2.950000047683716,2.9700000286102295,2.930000066757202,2.930000066757202,2.930000066757202,39400,LTRX
2019-02-26,2.930000066757202,2.9600000381469727,2.9200000762939453,2.9200000762939453,2.9200000762939453,21200,LTRX
2019-02-27,2.930000066757202,2.950000047683716,2.8499999046325684,2.869999885559082,2.869999885559082,37800,LTRX
2019-02-28,2.890000104904175,2.890000104904175,2.7100000381469727,2.7300000190734863,2.7300000190734863,64700,LTRX
2019-03-01,2.700000047683716,2.700000047683716,2.380000114440918,2.390000104904175,2.390000104904175,304400,LTRX
2019-03-04,2.390000104904175,2.4200000762939453,2.3399999141693115,2.359999895095825,2.359999895095825,308800,LTRX
2019-03-05,2.369999885559082,2.609999895095825,2.369999885559082,2.559999942779541,2.559999942779541,284800,LTRX
2019-03-06,2.569999933242798,2.75,2.559999942779541,2.6700000762939453,2.6700000762939453,148500,LTRX
2019-03-07,2.6700000762939453,2.7899999618530273,2.609999895095825,2.7100000381469727,2.7100000381469727,108900,LTRX
2019-03-08,2.690000057220459,2.7300000190734863,2.619999885559082,2.700000047683716,2.700000047683716,22200,LTRX
2019-03-11,2.680000066757202,2.859999895095825,2.6700000762939453,2.8299999237060547,2.8299999237060547,41200,LTRX
2019-03-12,2.8299999237060547,2.9800000190734863,2.8299999237060547,2.930000066757202,2.930000066757202,67500,LTRX
2019-03-13,2.9200000762939453,2.9200000762939453,2.8299999237060547,2.8299999237060547,2.8299999237060547,37700,LTRX
2019-03-14,2.8299999237060547,2.8299999237060547,2.7799999713897705,2.7799999713897705,2.7799999713897705,16800,LTRX
2019-03-15,2.7799999713897705,2.7799999713897705,2.7100000381469727,2.7200000286102295,2.7200000286102295,37500,LTRX
2019-03-18,2.7200000286102295,2.7300000190734863,2.5899999141693115,2.609999895095825,2.609999895095825,68800,LTRX
2019-03-19,2.619999885559082,2.680000066757202,2.559999942779541,2.559999942779541,2.559999942779541,51700,LTRX
2019-03-20,2.549999952316284,2.5999999046325684,2.5,2.5399999618530273,2.5399999618530273,67200,LTRX
2019-03-21,2.5299999713897705,2.5799999237060547,2.380000114440918,2.4000000953674316,2.4000000953674316,187100,LTRX
2019-03-22,2.4200000762939453,2.6700000762939453,2.4200000762939453,2.559999942779541,2.559999942779541,87700,LTRX
2019-03-25,2.5299999713897705,2.6500000953674316,2.5199999809265137,2.569999933242798,2.569999933242798,57400,LTRX
2019-03-26,2.5899999141693115,3.3399999141693115,2.5799999237060547,3.259999990463257,3.259999990463257,842300,LTRX
2019-03-27,3.309999942779541,3.3299999237060547,2.7799999713897705,3.0,3.0,289800,LTRX
2019-03-28,3.0,3.2699999809265137,3.0,3.0999999046325684,3.0999999046325684,69000,LTRX
2019-03-29,3.069999933242798,3.0999999046325684,3.0199999809265137,3.0199999809265137,3.0199999809265137,52100,LTRX
