,open,high,low,close,adjclose,volume,ticker
2019-01-02,2.6600000858306885,2.740000009536743,2.5799999237060547,2.740000009536743,2.740000009536743,7700,MDGS
2019-01-03,2.740000009536743,2.740000009536743,2.740000009536743,2.740000009536743,2.740000009536743,300,MDGS
2019-01-04,2.8299999237060547,2.890000104904175,2.809999942779541,2.890000104904175,2.890000104904175,2300,MDGS
2019-01-07,2.9100000858306885,2.9100000858306885,2.9000000953674316,2.9000000953674316,2.9000000953674316,200,MDGS
2019-01-08,2.7769999504089355,2.809999942779541,2.7769999504089355,2.809999942779541,2.809999942779541,800,MDGS
2019-01-09,2.619999885559082,2.890000104904175,2.619999885559082,2.890000104904175,2.890000104904175,1600,MDGS
2019-01-10,2.690000057220459,2.759999990463257,2.5199999809265137,2.700000047683716,2.700000047683716,28700,MDGS
2019-01-11,2.6700000762939453,2.700000047683716,2.5999999046325684,2.5999999046325684,2.5999999046325684,1600,MDGS
2019-01-14,2.5399999618530273,2.700000047683716,2.4200000762939453,2.5399999618530273,2.5399999618530273,59600,MDGS
2019-01-15,2.5789999961853027,2.634999990463257,2.559999942779541,2.628999948501587,2.628999948501587,10000,MDGS
2019-01-16,2.7200000286102295,2.7200000286102295,2.677000045776367,2.700000047683716,2.700000047683716,7600,MDGS
2019-01-17,2.630000114440918,2.700000047683716,2.559999942779541,2.609999895095825,2.609999895095825,3100,MDGS
2019-01-18,2.690000057220459,2.700000047683716,2.5999999046325684,2.5999999046325684,2.5999999046325684,1300,MDGS
2019-01-22,2.5999999046325684,2.6600000858306885,2.4600000381469727,2.4600000381469727,2.4600000381469727,8300,MDGS
2019-01-23,2.690000057220459,2.7209999561309814,2.299999952316284,2.4100000858306885,2.4100000858306885,232100,MDGS
2019-01-24,2.4200000762939453,2.4200000762939453,2.140000104904175,2.240000009536743,2.240000009536743,166000,MDGS
2019-01-25,2.234999895095825,2.319999933242798,2.234999895095825,2.2899999618530273,2.2899999618530273,11500,MDGS
2019-01-28,2.299999952316284,2.390000104904175,2.240000009536743,2.390000104904175,2.390000104904175,16000,MDGS
2019-01-29,2.430000066757202,3.200000047683716,2.3499999046325684,2.5199999809265137,2.5199999809265137,571600,MDGS
2019-01-30,2.559999942779541,2.559999942779541,2.4100000858306885,2.450000047683716,2.450000047683716,49200,MDGS
2019-01-31,2.5999999046325684,2.5999999046325684,2.4609999656677246,2.5299999713897705,2.5299999713897705,25000,MDGS
2019-02-01,2.609999895095825,2.7360000610351562,2.4600000381469727,2.640000104904175,2.640000104904175,73800,MDGS
2019-02-04,2.799999952316284,2.799999952316284,2.6410000324249268,2.7100000381469727,2.7100000381469727,61500,MDGS
2019-02-05,2.75,2.8499999046325684,2.6610000133514404,2.7679998874664307,2.7679998874664307,42100,MDGS
2019-02-06,2.7899999618530273,2.8499999046325684,2.7699999809265137,2.8499999046325684,2.8499999046325684,7500,MDGS
2019-02-07,2.799999952316284,2.9590001106262207,2.7699999809265137,2.8610000610351562,2.8610000610351562,30400,MDGS
2019-02-08,2.950000047683716,2.9700000286102295,2.9019999504089355,2.9700000286102295,2.9700000286102295,2200,MDGS
2019-02-11,2.9800000190734863,3.049999952316284,2.9700000286102295,3.0350000858306885,3.0350000858306885,6700,MDGS
2019-02-12,3.0999999046325684,3.299999952316284,3.0399999618530273,3.140000104904175,3.140000104904175,175000,MDGS
2019-02-13,3.0999999046325684,3.0999999046325684,2.9100000858306885,3.009999990463257,3.009999990463257,30600,MDGS
2019-02-14,3.4800000190734863,3.4800000190734863,3.049999952316284,3.1640000343322754,3.1640000343322754,249600,MDGS
2019-02-15,3.259999990463257,3.259999990463257,2.9519999027252197,3.1500000953674316,3.1500000953674316,74900,MDGS
2019-02-19,3.069999933242798,3.180000066757202,2.9000000953674316,2.9000000953674316,2.9000000953674316,27000,MDGS
2019-02-20,2.930000066757202,3.0199999809265137,2.7699999809265137,2.8499999046325684,2.8499999046325684,27800,MDGS
2019-02-21,2.9000000953674316,3.0850000381469727,2.809999942779541,2.809999942779541,2.809999942779541,15200,MDGS
2019-02-22,2.869999885559082,2.880000114440918,2.799999952316284,2.880000114440918,2.880000114440918,4400,MDGS
2019-02-25,2.880000114440918,2.9600000381469727,2.7899999618530273,2.9600000381469727,2.9600000381469727,34100,MDGS
2019-02-26,2.930000066757202,3.0999999046325684,2.869999885559082,3.009999990463257,3.009999990463257,3500,MDGS
2019-02-27,2.950000047683716,3.049999952316284,2.880000114440918,2.9600000381469727,2.9600000381469727,9400,MDGS
2019-02-28,2.9000000953674316,2.984999895095825,2.8499999046325684,2.880000114440918,2.880000114440918,10600,MDGS
2019-03-01,2.799999952316284,2.9600000381469727,2.799999952316284,2.8499999046325684,2.8499999046325684,9600,MDGS
2019-03-04,3.4000000953674316,3.4690001010894775,2.5799999237060547,2.930000066757202,2.930000066757202,1774300,MDGS
2019-03-05,2.819999933242798,2.875,2.75,2.875,2.875,89300,MDGS
2019-03-06,2.880000114440918,2.9200000762939453,2.609999895095825,2.9200000762939453,2.9200000762939453,43500,MDGS
2019-03-07,2.880000114440918,2.880000114440918,2.7799999713897705,2.7799999713897705,2.7799999713897705,25700,MDGS
2019-03-08,2.7799999713897705,2.880000114440918,2.7100000381469727,2.865999937057495,2.865999937057495,26000,MDGS
2019-03-11,2.7720000743865967,2.8499999046325684,2.680000066757202,2.75,2.75,14500,MDGS
2019-03-12,2.7799999713897705,2.8399999141693115,2.6600000858306885,2.7899999618530273,2.7899999618530273,17000,MDGS
2019-03-13,2.8399999141693115,2.865999937057495,2.7799999713897705,2.8399999141693115,2.8399999141693115,16400,MDGS
2019-03-14,2.859999895095825,2.9000000953674316,2.740999937057495,2.9000000953674316,2.9000000953674316,26100,MDGS
2019-03-15,2.7300000190734863,2.890000104904175,2.7300000190734863,2.890000104904175,2.890000104904175,17600,MDGS
2019-03-18,2.880000114440918,2.880000114440918,2.809999942779541,2.859999895095825,2.859999895095825,4100,MDGS
2019-03-19,2.8499999046325684,3.069999933242798,2.819999933242798,2.9200000762939453,2.9200000762939453,73600,MDGS
2019-03-20,2.9200000762939453,2.9700000286102295,2.875999927520752,2.9000000953674316,2.9000000953674316,6500,MDGS
2019-03-21,2.882999897003174,2.940000057220459,2.8310000896453857,2.890000104904175,2.890000104904175,13600,MDGS
2019-03-22,2.950000047683716,2.950000047683716,2.890000104904175,2.930000066757202,2.930000066757202,5700,MDGS
2019-03-25,2.890000104904175,2.890000104904175,2.6700000762939453,2.740000009536743,2.740000009536743,30700,MDGS
2019-03-26,2.740000009536743,2.8299999237060547,2.6700000762939453,2.7950000762939453,2.7950000762939453,5200,MDGS
2019-03-27,2.8299999237060547,2.859999895095825,2.6700000762939453,2.8499999046325684,2.8499999046325684,12000,MDGS
2019-03-28,2.8399999141693115,3.190000057220459,2.7100000381469727,2.940000057220459,2.940000057220459,182400,MDGS
2019-03-29,3.0,3.130000114440918,2.8499999046325684,2.9609999656677246,2.9609999656677246,77500,MDGS
2019-04-01,3.0,3.0,2.884999990463257,2.9600000381469727,2.9600000381469727,27000,MDGS
2019-04-02,2.930999994277954,3.109999895095825,2.9210000038146973,3.0199999809265137,3.0199999809265137,40800,MDGS
2019-04-03,2.9800000190734863,3.140000104904175,2.9600000381469727,3.119999885559082,3.119999885559082,23100,MDGS
2019-04-04,3.059999942779541,3.190000057220459,2.940000057220459,2.940000057220459,2.940000057220459,86900,MDGS
2019-04-05,2.990000009536743,3.140000104904175,2.990000009536743,3.0799999237060547,3.0799999237060547,10000,MDGS
2019-04-08,3.0799999237060547,3.0899999141693115,3.0,3.0899999141693115,3.0899999141693115,22300,MDGS
2019-04-09,2.934999942779541,3.059999942779541,2.934999942779541,3.059999942779541,3.059999942779541,7600,MDGS
2019-04-10,3.0199999809265137,3.0869998931884766,2.9800000190734863,2.9800000190734863,2.9800000190734863,8200,MDGS
2019-04-11,2.9800000190734863,3.0299999713897705,2.947999954223633,3.0299999713897705,3.0299999713897705,8800,MDGS
2019-04-12,3.049999952316284,3.049999952316284,2.8889999389648438,2.9200000762939453,2.9200000762939453,2600,MDGS
2019-04-15,2.9100000858306885,3.0,2.8340001106262207,2.9700000286102295,2.9700000286102295,4700,MDGS
2019-04-16,2.859999895095825,2.88100004196167,2.799999952316284,2.8440001010894775,2.8440001010894775,11000,MDGS
2019-04-17,2.813999891281128,2.950000047683716,2.799999952316284,2.950000047683716,2.950000047683716,8900,MDGS
2019-04-18,2.859999895095825,2.859999895095825,2.799999952316284,2.799999952316284,2.799999952316284,2000,MDGS
2019-04-22,2.799999952316284,3.0450000762939453,2.7200000286102295,2.9100000858306885,2.9100000858306885,22100,MDGS
2019-04-23,3.049999952316284,3.049999952316284,2.7899999618530273,2.8499999046325684,2.8499999046325684,112400,MDGS
2019-04-24,2.8499999046325684,2.940000057220459,2.799999952316284,2.9200000762939453,2.9200000762939453,11700,MDGS
2019-04-25,3.0199999809265137,3.0199999809265137,2.7850000858306885,2.7850000858306885,2.7850000858306885,8800,MDGS
2019-04-26,2.7839999198913574,2.8499999046325684,2.7799999713897705,2.819999933242798,2.819999933242798,4900,MDGS
2019-04-29,2.799999952316284,2.859999895095825,2.7899999618530273,2.8499999046325684,2.8499999046325684,14300,MDGS
2019-04-30,2.822999954223633,2.859999895095825,2.822999954223633,2.8499999046325684,2.8499999046325684,3500,MDGS
2019-05-01,2.799999952316284,2.8399999141693115,2.7100000381469727,2.8399999141693115,2.8399999141693115,10100,MDGS
2019-05-02,2.7339999675750732,2.7899999618530273,2.7339999675750732,2.7899999618530273,2.7899999618530273,2400,MDGS
2019-05-03,2.802999973297119,2.8499999046325684,2.7799999713897705,2.7890000343322754,2.7890000343322754,3400,MDGS
2019-05-06,2.7799999713897705,2.990000009536743,2.7679998874664307,2.890000104904175,2.890000104904175,23200,MDGS
2019-05-07,2.869999885559082,2.9800000190734863,2.8399999141693115,2.9800000190734863,2.9800000190734863,11300,MDGS
2019-05-08,2.9700000286102295,2.9700000286102295,2.9700000286102295,2.9700000286102295,2.9700000286102295,100,MDGS
2019-05-09,2.74399995803833,2.9000000953674316,2.74399995803833,2.890000104904175,2.890000104904175,2400,MDGS
2019-05-10,2.759999990463257,2.890000104904175,2.5,2.890000104904175,2.890000104904175,7200,MDGS
2019-05-13,2.6600000858306885,2.8889999389648438,2.624000072479248,2.799999952316284,2.799999952316284,1300,MDGS
2019-05-14,2.7300000190734863,2.799999952316284,2.6500000953674316,2.6500000953674316,2.6500000953674316,3900,MDGS
2019-05-15,2.609999895095825,2.7799999713897705,2.609999895095825,2.6500000953674316,2.6500000953674316,11400,MDGS
2019-05-16,2.759999990463257,2.7799999713897705,2.6559998989105225,2.7699999809265137,2.7699999809265137,6200,MDGS
2019-05-17,2.9000000953674316,2.9000000953674316,2.609999895095825,2.7899999618530273,2.7899999618530273,9300,MDGS
2019-05-20,2.7200000286102295,2.7200000286102295,2.640000104904175,2.6700000762939453,2.6700000762939453,3600,MDGS
2019-05-21,2.690000057220459,2.7799999713897705,2.690000057220459,2.7039999961853027,2.7039999961853027,2600,MDGS
2019-05-22,2.6600000858306885,2.6989998817443848,2.640000104904175,2.640000104904175,2.640000104904175,10900,MDGS
2019-05-23,2.5899999141693115,2.630000114440918,2.5199999809265137,2.630000114440918,2.630000114440918,3800,MDGS
2019-05-24,2.7100000381469727,2.7100000381469727,2.7100000381469727,2.7100000381469727,2.7100000381469727,300,MDGS
2019-05-28,2.5799999237060547,2.5799999237060547,2.430000066757202,2.440000057220459,2.440000057220459,18200,MDGS
2019-05-29,2.4700000286102295,2.49399995803833,2.4240000247955322,2.489000082015991,2.489000082015991,2200,MDGS
2019-05-30,2.390000104904175,2.5,2.3499999046325684,2.3499999046325684,2.3499999046325684,23000,MDGS
2019-05-31,2.299999952316284,2.4700000286102295,2.2699999809265137,2.369999885559082,2.369999885559082,4900,MDGS
2019-06-03,2.7200000286102295,2.7200000286102295,2.109999895095825,2.240000009536743,2.240000009536743,197500,MDGS
2019-06-04,2.359999895095825,2.359999895095825,2.180999994277954,2.309999942779541,2.309999942779541,14900,MDGS
2019-06-05,2.2799999713897705,2.4000000953674316,2.259999990463257,2.2899999618530273,2.2899999618530273,15200,MDGS
2019-06-06,2.3499999046325684,2.569999933242798,2.2300000190734863,2.2799999713897705,2.2799999713897705,78900,MDGS
2019-06-07,2.259999990463257,2.430000066757202,2.259999990463257,2.4000000953674316,2.4000000953674316,20300,MDGS
2019-06-10,2.5299999713897705,2.5299999713897705,2.2899999618530273,2.2899999618530273,2.2899999618530273,3900,MDGS
2019-06-11,2.4000000953674316,2.430000066757202,2.378999948501587,2.380000114440918,2.380000114440918,3300,MDGS
2019-06-12,2.4149999618530273,2.4200000762939453,2.378999948501587,2.390000104904175,2.390000104904175,1000,MDGS
2019-06-13,2.3499999046325684,2.4200000762939453,2.315000057220459,2.390000104904175,2.390000104904175,4100,MDGS
2019-06-14,2.3499999046325684,2.380000114440918,2.309999942779541,2.380000114440918,2.380000114440918,8400,MDGS
2019-06-17,2.369999885559082,2.4100000858306885,2.369999885559082,2.4100000858306885,2.4100000858306885,2000,MDGS
2019-06-18,2.299999952316284,2.4800000190734863,2.299999952316284,2.380000114440918,2.380000114440918,5800,MDGS
2019-06-19,2.319999933242798,2.509999990463257,2.319999933242798,2.5,2.5,10000,MDGS
2019-06-20,2.4049999713897705,2.505000114440918,2.4049999713897705,2.5,2.5,6200,MDGS
2019-06-21,2.4100000858306885,2.5199999809265137,2.4100000858306885,2.440000057220459,2.440000057220459,10500,MDGS
2019-06-24,2.4600000381469727,2.484999895095825,2.25,2.430000066757202,2.430000066757202,7700,MDGS
2019-06-25,2.4200000762939453,2.4649999141693115,2.25,2.299999952316284,2.299999952316284,20500,MDGS
2019-06-26,2.3299999237060547,2.4200000762939453,2.25,2.2799999713897705,2.2799999713897705,38700,MDGS
2019-06-27,2.319999933242798,2.4100000858306885,2.260999917984009,2.299999952316284,2.299999952316284,80700,MDGS
2019-06-28,2.359999895095825,2.497999906539917,2.252000093460083,2.490000009536743,2.490000009536743,52400,MDGS
2019-07-01,2.4600000381469727,2.5450000762939453,2.309999942779541,2.3399999141693115,2.3399999141693115,2000,MDGS
2019-07-02,2.450000047683716,2.450000047683716,2.3499999046325684,2.430000066757202,2.430000066757202,4000,MDGS
2019-07-03,2.4000000953674316,2.4600000381469727,2.4000000953674316,2.4100000858306885,2.4100000858306885,600,MDGS
2019-07-05,2.3499999046325684,2.3499999046325684,2.325000047683716,2.325000047683716,2.325000047683716,1300,MDGS
