,open,high,low,close,adjclose,volume,ticker
2019-01-02,16.729999542236328,17.100000381469727,16.729999542236328,17.09000015258789,15.58415412902832,736800,NWBI
2019-01-03,17.06999969482422,17.290000915527344,16.979999542236328,17.1299991607666,15.620628356933594,574900,NWBI
2019-01-04,17.270000457763672,17.489999771118164,17.170000076293945,17.34000015258789,15.812125205993652,1005800,NWBI
2019-01-07,17.360000610351562,17.399999618530273,17.15999984741211,17.3700008392334,15.839482307434082,402600,NWBI
2019-01-08,17.389999389648438,17.469999313354492,17.219999313354492,17.440000534057617,15.90331745147705,470400,NWBI
2019-01-09,17.420000076293945,17.520000457763672,17.329999923706055,17.5,15.958027839660645,573800,NWBI
2019-01-10,17.469999313354492,17.540000915527344,17.31999969482422,17.489999771118164,15.948908805847168,349400,NWBI
2019-01-11,17.440000534057617,17.610000610351562,17.420000076293945,17.59000015258789,16.040098190307617,439800,NWBI
2019-01-14,17.489999771118164,17.700000762939453,17.489999771118164,17.600000381469727,16.049217224121094,560300,NWBI
2019-01-15,17.600000381469727,17.729999542236328,17.450000762939453,17.690000534057617,16.13128662109375,449100,NWBI
2019-01-16,17.75,18.010000228881836,17.700000762939453,17.979999542236328,16.395734786987305,651700,NWBI
2019-01-17,17.8700008392334,18.1299991607666,17.84000015258789,18.030000686645508,16.441328048706055,520000,NWBI
2019-01-18,18.020000457763672,18.280000686645508,17.950000762939453,18.229999542236328,16.623708724975586,435200,NWBI
2019-01-22,18.020000457763672,18.399999618530273,17.75,17.790000915527344,16.222475051879883,790300,NWBI
2019-01-23,17.829999923706055,18.010000228881836,17.729999542236328,17.950000762939453,16.368377685546875,815700,NWBI
2019-01-24,17.90999984741211,18.040000915527344,17.639999389648438,17.84000015258789,16.268068313598633,475700,NWBI
2019-01-25,17.90999984741211,17.90999984741211,17.610000610351562,17.739999771118164,16.1768798828125,723300,NWBI
2019-01-28,17.610000610351562,17.829999923706055,17.559999465942383,17.829999923706055,16.258949279785156,623700,NWBI
2019-01-29,17.84000015258789,17.920000076293945,17.700000762939453,17.709999084472656,16.14952278137207,435200,NWBI
2019-01-30,17.790000915527344,17.790000915527344,17.510000228881836,17.579999923706055,16.030977249145508,848800,NWBI
2019-01-31,17.420000076293945,17.65999984741211,17.290000915527344,17.639999389648438,16.252098083496094,1181900,NWBI
2019-02-01,17.639999389648438,17.780000686645508,17.559999465942383,17.65999984741211,16.270523071289062,340400,NWBI
2019-02-04,17.6299991607666,17.93000030517578,17.579999923706055,17.920000076293945,16.510066986083984,469500,NWBI
2019-02-05,17.899999618530273,17.969999313354492,17.799999237060547,17.899999618530273,16.491641998291016,273600,NWBI
2019-02-06,17.8700008392334,18.010000228881836,17.829999923706055,17.959999084472656,16.54691505432129,355400,NWBI
