,open,high,low,close,adjclose,volume,ticker
2019-01-02,105.97000122070312,107.63999938964844,105.37000274658203,107.2699966430664,107.2699966430664,498400,PSCH
2019-01-03,106.72000122070312,107.22000122070312,104.30999755859375,104.5,104.5,161000,PSCH
2019-01-04,105.83000183105469,109.43000030517578,105.83000183105469,108.68000030517578,108.68000030517578,146800,PSCH
2019-01-07,108.3499984741211,111.06999969482422,108.3499984741211,110.1500015258789,110.1500015258789,120700,PSCH
2019-01-08,111.08999633789062,112.22000122070312,110.33000183105469,112.13999938964844,112.13999938964844,86400,PSCH
2019-01-09,112.66999816894531,114.12999725341797,112.66999816894531,113.25,113.25,86200,PSCH
2019-01-10,112.95999908447266,114.4000015258789,112.4000015258789,114.2699966430664,114.2699966430664,37900,PSCH
2019-01-11,113.5199966430664,114.62000274658203,113.26000213623047,114.33999633789062,114.33999633789062,31900,PSCH
2019-01-14,113.4800033569336,113.87999725341797,112.5,112.5,112.5,46500,PSCH
2019-01-15,112.45999908447266,115.04000091552734,112.45999908447266,114.7699966430664,114.7699966430664,36100,PSCH
2019-01-16,115.51000213623047,116.9800033569336,115.36000061035156,115.91999816894531,115.91999816894531,56100,PSCH
2019-01-17,115.86000061035156,117.01000213623047,115.69999694824219,116.63999938964844,116.63999938964844,48000,PSCH
2019-01-18,116.75,117.13999938964844,115.91999816894531,117.0999984741211,117.0999984741211,96400,PSCH
2019-01-22,116.7300033569336,116.88999938964844,114.58999633789062,115.19999694824219,115.19999694824219,76400,PSCH
2019-01-23,115.43000030517578,117.29000091552734,114.73999786376953,115.75,115.75,43400,PSCH
2019-01-24,115.26000213623047,115.83999633789062,114.97000122070312,115.83999633789062,115.83999633789062,49100,PSCH
2019-01-25,116.18000030517578,117.33999633789062,116.18000030517578,117.08000183105469,117.08000183105469,48400,PSCH
2019-01-28,116.75,116.75,114.62000274658203,115.06999969482422,115.06999969482422,41400,PSCH
2019-01-29,114.88999938964844,114.9000015258789,114.01000213623047,114.5,114.5,30300,PSCH
2019-01-30,115.0999984741211,116.33000183105469,114.44000244140625,116.12000274658203,116.12000274658203,125200,PSCH
2019-01-31,115.62999725341797,118.22000122070312,115.62999725341797,117.52999877929688,117.52999877929688,130200,PSCH
2019-02-01,117.2300033569336,117.41000366210938,116.16000366210938,117.0,117.0,53900,PSCH
2019-02-04,116.73999786376953,118.80999755859375,116.73999786376953,118.80000305175781,118.80000305175781,70900,PSCH
2019-02-05,118.69000244140625,120.41999816894531,118.68000030517578,119.16000366210938,119.16000366210938,70700,PSCH
2019-02-06,119.12999725341797,119.41000366210938,117.77999877929688,118.41999816894531,118.41999816894531,40500,PSCH
2019-02-07,117.97000122070312,118.45999908447266,116.44000244140625,116.88999938964844,116.88999938964844,52400,PSCH
2019-02-08,116.06999969482422,117.25,116.0,117.25,117.25,60100,PSCH
2019-02-11,117.33000183105469,118.66999816894531,116.87000274658203,118.61000061035156,118.61000061035156,39200,PSCH
2019-02-12,119.0199966430664,120.79000091552734,118.7699966430664,120.72000122070312,120.72000122070312,67500,PSCH
2019-02-13,120.94999694824219,121.26000213623047,119.69999694824219,120.33000183105469,120.33000183105469,60800,PSCH
2019-02-14,119.86000061035156,121.66999816894531,119.80000305175781,121.19999694824219,121.19999694824219,49500,PSCH
2019-02-15,121.33000183105469,123.0999984741211,120.61000061035156,122.98999786376953,122.98999786376953,47400,PSCH
2019-02-19,123.08000183105469,123.4000015258789,122.3499984741211,122.58000183105469,122.58000183105469,258900,PSCH
2019-02-20,122.55000305175781,123.5,122.44000244140625,123.23999786376953,123.23999786376953,82200,PSCH
2019-02-21,123.12999725341797,123.13999938964844,121.41999816894531,122.16999816894531,122.16999816894531,46300,PSCH
2019-02-22,122.16999816894531,123.08999633789062,121.91999816894531,122.87000274658203,122.87000274658203,53800,PSCH
2019-02-25,123.98999786376953,124.30999755859375,122.86000061035156,122.86000061035156,122.86000061035156,440200,PSCH
2019-02-26,122.0999984741211,122.1500015258789,120.01000213623047,120.01000213623047,120.01000213623047,48000,PSCH
2019-02-27,119.76000213623047,121.23999786376953,119.76000213623047,120.95999908447266,120.95999908447266,64600,PSCH
2019-02-28,120.83000183105469,121.43000030517578,120.33999633789062,121.27999877929688,121.27999877929688,53200,PSCH
2019-03-01,121.88999938964844,122.83999633789062,121.5999984741211,122.61000061035156,122.61000061035156,37200,PSCH
2019-03-04,123.16000366210938,123.19999694824219,119.0199966430664,119.87000274658203,119.87000274658203,69400,PSCH
2019-03-05,119.63999938964844,119.80999755859375,118.66000366210938,118.72000122070312,118.72000122070312,47800,PSCH
2019-03-06,118.51000213623047,118.51000213623047,114.66999816894531,114.66999816894531,114.66999816894531,101100,PSCH
2019-03-07,114.91000366210938,115.58999633789062,113.79000091552734,114.83000183105469,114.83000183105469,150600,PSCH
2019-03-08,113.94999694824219,115.05999755859375,113.94999694824219,115.0199966430664,115.0199966430664,47000,PSCH
2019-03-11,115.11000061035156,117.08000183105469,114.80000305175781,117.08000183105469,117.08000183105469,456800,PSCH
2019-03-12,117.0999984741211,118.25,117.0999984741211,117.68000030517578,117.68000030517578,27700,PSCH
2019-03-13,118.0999984741211,118.5999984741211,117.69000244140625,117.94999694824219,117.94999694824219,45100,PSCH
2019-03-14,117.9000015258789,118.19999694824219,117.25,117.41999816894531,117.41999816894531,20200,PSCH
