,open,high,low,close,adjclose,volume,ticker
2019-01-02,5.599999904632568,5.829999923706055,5.510000228881836,5.829999923706055,5.829999923706055,93000,PWFL
2019-01-03,5.739999771118164,5.829999923706055,5.699999809265137,5.829999923706055,5.829999923706055,128300,PWFL
2019-01-04,5.820000171661377,5.909999847412109,5.639999866485596,5.800000190734863,5.800000190734863,67500,PWFL
2019-01-07,5.809999942779541,6.039999961853027,5.800000190734863,6.0,6.0,40200,PWFL
2019-01-08,6.0,6.199999809265137,5.889999866485596,6.039999961853027,6.039999961853027,246900,PWFL
2019-01-09,6.079999923706055,6.170000076293945,5.840000152587891,6.019999980926514,6.019999980926514,17700,PWFL
2019-01-10,5.889999866485596,6.099999904632568,5.869999885559082,5.869999885559082,5.869999885559082,33800,PWFL
2019-01-11,5.900000095367432,6.199999809265137,5.900000095367432,6.090000152587891,6.090000152587891,27800,PWFL
2019-01-14,6.0,6.090000152587891,5.900000095367432,6.019999980926514,6.019999980926514,26800,PWFL
2019-01-15,6.03000020980835,6.170000076293945,6.0,6.070000171661377,6.070000171661377,21900,PWFL
2019-01-16,6.070000171661377,6.099999904632568,5.960000038146973,6.03000020980835,6.03000020980835,18300,PWFL
2019-01-17,6.019999980926514,6.070000171661377,5.949999809265137,6.0,6.0,40100,PWFL
2019-01-18,6.03000020980835,6.03000020980835,5.949999809265137,6.0,6.0,53300,PWFL
2019-01-22,5.989999771118164,6.0,5.900000095367432,5.949999809265137,5.949999809265137,124400,PWFL
2019-01-23,5.960000038146973,6.090000152587891,5.789999961853027,5.949999809265137,5.949999809265137,14800,PWFL
2019-01-24,5.940000057220459,5.989999771118164,5.909999847412109,5.949999809265137,5.949999809265137,16200,PWFL
2019-01-25,6.0,6.21999979019165,5.900000095367432,6.0,6.0,47300,PWFL
2019-01-28,6.03000020980835,6.03000020980835,5.849999904632568,5.980000019073486,5.980000019073486,144200,PWFL
2019-01-29,6.03000020980835,6.199999809265137,5.96999979019165,5.96999979019165,5.96999979019165,7900,PWFL
2019-01-30,6.039999961853027,6.190000057220459,6.0,6.079999923706055,6.079999923706055,23700,PWFL
2019-01-31,6.139999866485596,6.199999809265137,5.920000076293945,6.050000190734863,6.050000190734863,108700,PWFL
2019-02-01,6.039999961853027,6.190000057220459,6.0,6.019999980926514,6.019999980926514,14900,PWFL
2019-02-04,6.090000152587891,6.190000057220459,6.050000190734863,6.050000190734863,6.050000190734863,18000,PWFL
2019-02-05,6.150000095367432,6.159999847412109,6.039999961853027,6.039999961853027,6.039999961853027,15700,PWFL
2019-02-06,6.019999980926514,6.130000114440918,6.019999980926514,6.03000020980835,6.03000020980835,5000,PWFL
2019-02-07,6.039999961853027,6.119999885559082,6.039999961853027,6.079999923706055,6.079999923706055,9500,PWFL
2019-02-08,6.059999942779541,6.099999904632568,6.039999961853027,6.039999961853027,6.039999961853027,7100,PWFL
2019-02-11,6.070000171661377,6.340000152587891,6.070000171661377,6.309999942779541,6.309999942779541,13200,PWFL
2019-02-12,6.320000171661377,6.5,6.269999980926514,6.420000076293945,6.420000076293945,20000,PWFL
2019-02-13,6.519999980926514,6.550000190734863,6.28000020980835,6.420000076293945,6.420000076293945,24200,PWFL
2019-02-14,6.579999923706055,6.639999866485596,6.21999979019165,6.420000076293945,6.420000076293945,32400,PWFL
2019-02-15,6.570000171661377,7.210000038146973,6.489999771118164,6.809999942779541,6.809999942779541,20300,PWFL
2019-02-19,6.420000076293945,7.239999771118164,6.420000076293945,7.239999771118164,7.239999771118164,18200,PWFL
2019-02-20,7.230000019073486,7.230000019073486,6.909999847412109,6.909999847412109,6.909999847412109,9000,PWFL
2019-02-21,7.159999847412109,7.159999847412109,7.039999961853027,7.099999904632568,7.099999904632568,6600,PWFL
2019-02-22,7.079999923706055,7.239999771118164,7.019999980926514,7.230000019073486,7.230000019073486,2700,PWFL
2019-02-25,7.239999771118164,7.239999771118164,7.050000190734863,7.230000019073486,7.230000019073486,2700,PWFL
2019-02-26,7.230000019073486,7.230000019073486,6.96999979019165,7.0,7.0,10300,PWFL
2019-02-27,7.0,7.159999847412109,7.0,7.139999866485596,7.139999866485596,2900,PWFL
2019-02-28,7.079999923706055,7.179999828338623,6.960000038146973,7.150000095367432,7.150000095367432,16900,PWFL
2019-03-01,7.150000095367432,7.230000019073486,6.96999979019165,7.0,7.0,36700,PWFL
2019-03-04,7.110000133514404,7.110000133514404,6.75,6.849999904632568,6.849999904632568,20000,PWFL
2019-03-05,6.690000057220459,7.010000228881836,6.650000095367432,6.880000114440918,6.880000114440918,5800,PWFL
2019-03-06,6.809999942779541,6.840000152587891,6.46999979019165,6.679999828338623,6.679999828338623,11300,PWFL
2019-03-07,6.800000190734863,6.809999942779541,6.210000038146973,6.210000038146973,6.210000038146973,64800,PWFL
2019-03-08,6.21999979019165,6.46999979019165,6.159999847412109,6.28000020980835,6.28000020980835,13100,PWFL
2019-03-11,6.239999771118164,6.5,6.239999771118164,6.5,6.5,10300,PWFL
2019-03-12,6.409999847412109,6.5,6.199999809265137,6.239999771118164,6.239999771118164,19600,PWFL
2019-03-13,6.46999979019165,6.46999979019165,6.28000020980835,6.28000020980835,6.28000020980835,13700,PWFL
2019-03-14,6.130000114440918,6.150000095367432,5.760000228881836,6.079999923706055,6.079999923706055,409700,PWFL
2019-03-15,5.909999847412109,6.309999942779541,5.900000095367432,6.239999771118164,6.239999771118164,150100,PWFL
2019-03-18,6.269999980926514,6.269999980926514,5.860000133514404,5.949999809265137,5.949999809265137,129500,PWFL
2019-03-19,6.03000020980835,6.03000020980835,5.710000038146973,5.760000228881836,5.760000228881836,61500,PWFL
2019-03-20,5.75,5.880000114440918,5.409999847412109,5.800000190734863,5.800000190734863,78000,PWFL
2019-03-21,5.800000190734863,6.0,5.800000190734863,5.900000095367432,5.900000095367432,108100,PWFL
2019-03-22,5.909999847412109,5.989999771118164,5.800000190734863,5.820000171661377,5.820000171661377,47200,PWFL
2019-03-25,5.820000171661377,6.019999980926514,5.630000114440918,5.96999979019165,5.96999979019165,124400,PWFL
2019-03-26,5.96999979019165,6.0,5.860000133514404,5.909999847412109,5.909999847412109,128900,PWFL
2019-03-27,5.920000076293945,6.059999942779541,5.760000228881836,5.949999809265137,5.949999809265137,182200,PWFL
2019-03-28,5.960000038146973,6.090000152587891,5.820000171661377,6.0,6.0,22900,PWFL
2019-03-29,6.0,6.050000190734863,5.929999828338623,5.929999828338623,5.929999828338623,14600,PWFL
2019-04-01,5.940000057220459,5.940000057220459,5.71999979019165,5.75,5.75,81600,PWFL
2019-04-02,5.760000228881836,5.829999923706055,5.739999771118164,5.78000020980835,5.78000020980835,12000,PWFL
2019-04-03,5.699999809265137,5.809999942779541,5.690000057220459,5.699999809265137,5.699999809265137,24600,PWFL
2019-04-04,5.75,5.849999904632568,5.619999885559082,5.800000190734863,5.800000190734863,62400,PWFL
2019-04-05,5.75,5.809999942779541,5.659999847412109,5.75,5.75,16400,PWFL
2019-04-08,5.610000133514404,5.699999809265137,5.559999942779541,5.610000133514404,5.610000133514404,30700,PWFL
2019-04-09,5.590000152587891,5.71999979019165,5.559999942779541,5.599999904632568,5.599999904632568,11400,PWFL
2019-04-10,5.599999904632568,5.659999847412109,5.579999923706055,5.619999885559082,5.619999885559082,16500,PWFL
2019-04-11,5.71999979019165,5.78000020980835,5.599999904632568,5.690000057220459,5.690000057220459,52000,PWFL
2019-04-12,5.670000076293945,5.78000020980835,5.650000095367432,5.710000038146973,5.710000038146973,17000,PWFL
2019-04-15,5.679999828338623,5.800000190734863,5.679999828338623,5.800000190734863,5.800000190734863,23000,PWFL
2019-04-16,5.679999828338623,5.769999980926514,5.650000095367432,5.710000038146973,5.710000038146973,11700,PWFL
2019-04-17,5.71999979019165,5.739999771118164,5.679999828338623,5.730000019073486,5.730000019073486,116600,PWFL
2019-04-18,5.710000038146973,5.739999771118164,5.690000057220459,5.699999809265137,5.699999809265137,181100,PWFL
2019-04-22,5.699999809265137,5.71999979019165,5.619999885559082,5.679999828338623,5.679999828338623,80800,PWFL
2019-04-23,5.690000057220459,5.739999771118164,5.590000152587891,5.619999885559082,5.619999885559082,61000,PWFL
2019-04-24,5.679999828338623,5.679999828338623,5.570000171661377,5.570000171661377,5.570000171661377,5000,PWFL
2019-04-25,5.53000020980835,5.630000114440918,5.460000038146973,5.599999904632568,5.599999904632568,5700,PWFL
2019-04-26,5.550000190734863,5.590000152587891,5.460000038146973,5.590000152587891,5.590000152587891,92200,PWFL
2019-04-29,5.579999923706055,5.650000095367432,5.449999809265137,5.639999866485596,5.639999866485596,67700,PWFL
2019-04-30,5.590000152587891,5.610000133514404,5.360000133514404,5.610000133514404,5.610000133514404,86500,PWFL
2019-05-01,5.619999885559082,5.670000076293945,5.519999980926514,5.650000095367432,5.650000095367432,28500,PWFL
2019-05-02,5.590000152587891,5.679999828338623,5.519999980926514,5.590000152587891,5.590000152587891,10100,PWFL
2019-05-03,5.400000095367432,5.800000190734863,5.400000095367432,5.789999961853027,5.789999961853027,27400,PWFL
2019-05-06,5.460000038146973,5.760000228881836,5.440000057220459,5.650000095367432,5.650000095367432,53100,PWFL
2019-05-07,5.619999885559082,5.699999809265137,5.53000020980835,5.53000020980835,5.53000020980835,10900,PWFL
2019-05-08,5.679999828338623,5.71999979019165,5.599999904632568,5.610000133514404,5.610000133514404,7100,PWFL
2019-05-09,5.710000038146973,5.710000038146973,5.409999847412109,5.5,5.5,29400,PWFL
2019-05-10,5.46999979019165,5.5,5.380000114440918,5.380000114440918,5.380000114440918,8300,PWFL
2019-05-13,5.25,5.300000190734863,4.800000190734863,5.119999885559082,5.119999885559082,24300,PWFL
2019-05-14,4.960000038146973,5.099999904632568,4.940000057220459,5.039999961853027,5.039999961853027,21200,PWFL
2019-05-15,5.010000228881836,5.079999923706055,5.0,5.050000190734863,5.050000190734863,18200,PWFL
2019-05-16,5.03000020980835,5.139999866485596,5.019999980926514,5.090000152587891,5.090000152587891,8700,PWFL
2019-05-17,5.170000076293945,5.170000076293945,5.03000020980835,5.099999904632568,5.099999904632568,54600,PWFL
2019-05-20,5.039999961853027,5.119999885559082,4.980000019073486,5.0,5.0,13500,PWFL
2019-05-21,5.050000190734863,5.110000133514404,5.019999980926514,5.039999961853027,5.039999961853027,12100,PWFL
2019-05-22,5.039999961853027,5.099999904632568,5.0,5.019999980926514,5.019999980926514,30600,PWFL
2019-05-23,5.0,5.039999961853027,4.900000095367432,4.96999979019165,4.96999979019165,80600,PWFL
2019-05-24,5.090000152587891,5.199999809265137,4.960000038146973,4.960000038146973,4.960000038146973,74700,PWFL
2019-05-28,4.949999809265137,5.070000171661377,4.900000095367432,4.920000076293945,4.920000076293945,57800,PWFL
2019-05-29,4.900000095367432,5.0,4.760000228881836,4.829999923706055,4.829999923706055,42100,PWFL
2019-05-30,4.789999961853027,4.980000019073486,4.78000020980835,4.900000095367432,4.900000095367432,75700,PWFL
2019-05-31,4.900000095367432,5.050000190734863,4.800000190734863,4.889999866485596,4.889999866485596,71100,PWFL
2019-06-03,4.860000133514404,5.0,4.860000133514404,5.0,5.0,177500,PWFL
2019-06-04,4.960000038146973,5.059999942779541,4.860000133514404,5.059999942779541,5.059999942779541,117800,PWFL
2019-06-05,5.010000228881836,5.289999961853027,4.940000057220459,5.289999961853027,5.289999961853027,91200,PWFL
2019-06-06,5.139999866485596,5.289999961853027,5.139999866485596,5.199999809265137,5.199999809265137,5800,PWFL
2019-06-07,5.300000190734863,5.329999923706055,5.21999979019165,5.239999771118164,5.239999771118164,9500,PWFL
2019-06-10,5.210000038146973,5.340000152587891,5.199999809265137,5.289999961853027,5.289999961853027,6500,PWFL
2019-06-11,5.269999980926514,5.380000114440918,5.269999980926514,5.380000114440918,5.380000114440918,11800,PWFL
2019-06-12,5.340000152587891,5.46999979019165,5.340000152587891,5.46999979019165,5.46999979019165,5400,PWFL
2019-06-13,5.329999923706055,5.510000228881836,5.309999942779541,5.360000133514404,5.360000133514404,3700,PWFL
