,open,high,low,close,adjclose,volume,ticker
2019-01-02,7.199999809265137,7.869999885559082,7.119999885559082,7.510000228881836,7.076316833496094,25600,RVSB
2019-01-03,7.5,7.579999923706055,7.309999942779541,7.340000152587891,6.916134357452393,23300,RVSB
2019-01-04,7.460000038146973,7.869999885559082,7.170000076293945,7.690000057220459,7.245921611785889,30800,RVSB
2019-01-07,7.570000171661377,7.71999979019165,7.289999961853027,7.53000020980835,7.132260322570801,21900,RVSB
2019-01-08,7.539999961853027,7.539999961853027,7.320000171661377,7.440000057220459,7.0470147132873535,7500,RVSB
2019-01-09,7.320000171661377,7.519999980926514,7.28000020980835,7.429999828338623,7.037542343139648,9300,RVSB
2019-01-10,7.349999904632568,7.449999809265137,7.179999828338623,7.389999866485596,6.999655723571777,19400,RVSB
2019-01-11,7.309999942779541,7.409999847412109,7.210000038146973,7.340000152587891,6.952296733856201,25300,RVSB
2019-01-14,7.539999961853027,7.539999961853027,7.239999771118164,7.239999771118164,6.857579231262207,37000,RVSB
2019-01-15,7.309999942779541,7.579999923706055,7.300000190734863,7.53000020980835,7.132260322570801,25700,RVSB
2019-01-16,7.519999980926514,7.860000133514404,7.340000152587891,7.570000171661377,7.170147895812988,33700,RVSB
2019-01-17,7.53000020980835,7.840000152587891,7.400000095367432,7.460000038146973,7.065958499908447,14700,RVSB
2019-01-18,7.440000057220459,7.630000114440918,7.289999961853027,7.510000228881836,7.113316535949707,44200,RVSB
2019-01-22,7.420000076293945,7.599999904632568,7.25,7.400000095367432,7.009126663208008,35100,RVSB
2019-01-23,7.409999847412109,7.480000019073486,7.260000228881836,7.260000228881836,6.876521587371826,26900,RVSB
2019-01-24,7.260000228881836,7.380000114440918,7.079999923706055,7.170000076293945,6.791275501251221,17500,RVSB
2019-01-25,7.090000152587891,7.460000038146973,7.090000152587891,7.360000133514404,6.971240520477295,17400,RVSB
2019-01-28,7.269999980926514,7.440000057220459,7.090000152587891,7.139999866485596,6.7628607749938965,29600,RVSB
2019-01-29,7.309999942779541,7.380000114440918,7.179999828338623,7.349999904632568,6.96176815032959,91900,RVSB
2019-01-30,7.400000095367432,7.449999809265137,7.360000133514404,7.420000076293945,7.028071403503418,25500,RVSB
2019-01-31,7.380000114440918,7.449999809265137,7.349999904632568,7.449999809265137,7.0564866065979,24300,RVSB
2019-02-01,7.46999979019165,7.570000171661377,7.440000057220459,7.539999961853027,7.1417317390441895,27500,RVSB
2019-02-04,7.460000038146973,7.650000095367432,7.349999904632568,7.619999885559082,7.217506408691406,21700,RVSB
2019-02-05,7.510000228881836,7.670000076293945,7.510000228881836,7.630000114440918,7.226978302001953,24100,RVSB
2019-02-06,7.630000114440918,7.670000076293945,7.599999904632568,7.650000095367432,7.245922088623047,42300,RVSB
2019-02-07,7.659999847412109,7.730000019073486,7.639999866485596,7.639999866485596,7.2364501953125,33300,RVSB
2019-02-08,7.590000152587891,7.590000152587891,7.429999828338623,7.46999979019165,7.075429916381836,9100,RVSB
2019-02-11,7.449999809265137,7.510000228881836,7.449999809265137,7.46999979019165,7.075429916381836,13400,RVSB
2019-02-12,7.5,7.5,7.440000057220459,7.480000019073486,7.084901809692383,19100,RVSB
2019-02-13,7.460000038146973,7.5,7.440000057220459,7.489999771118164,7.0943732261657715,16100,RVSB
2019-02-14,7.449999809265137,7.449999809265137,7.289999961853027,7.289999961853027,6.904937267303467,32700,RVSB
2019-02-15,7.340000152587891,7.5,7.289999961853027,7.400000095367432,7.009126663208008,26600,RVSB
2019-02-19,7.360000133514404,7.5,7.329999923706055,7.480000019073486,7.084901809692383,25200,RVSB
2019-02-20,7.460000038146973,7.53000020980835,7.460000038146973,7.46999979019165,7.075429916381836,19400,RVSB
2019-02-21,7.460000038146973,7.579999923706055,7.400000095367432,7.579999923706055,7.179619789123535,41600,RVSB
2019-02-22,7.590000152587891,7.690000057220459,7.590000152587891,7.690000057220459,7.283809185028076,19000,RVSB
2019-02-25,7.659999847412109,7.670000076293945,7.519999980926514,7.570000171661377,7.170147895812988,20400,RVSB
2019-02-26,7.639999866485596,7.639999866485596,7.53000020980835,7.559999942779541,7.160675525665283,20300,RVSB
2019-02-27,7.53000020980835,7.75,7.53000020980835,7.710000038146973,7.30275297164917,102000,RVSB
2019-02-28,7.699999809265137,7.849999904632568,7.699999809265137,7.739999771118164,7.331167697906494,122900,RVSB
2019-03-01,7.800000190734863,7.96999979019165,7.679999828338623,7.96999979019165,7.5490193367004395,88300,RVSB
2019-03-04,7.940000057220459,8.149999618530273,7.849999904632568,8.020000457763672,7.596379280090332,49500,RVSB
2019-03-05,8.020000457763672,8.069999694824219,7.909999847412109,8.039999961853027,7.615322113037109,25700,RVSB
2019-03-06,7.960000038146973,7.989999771118164,7.590000152587891,7.699999809265137,7.293280601501465,39400,RVSB
2019-03-07,7.679999828338623,7.760000228881836,7.570000171661377,7.730000019073486,7.3216962814331055,42300,RVSB
2019-03-08,7.710000038146973,7.809999942779541,7.659999847412109,7.78000020980835,7.36905574798584,41400,RVSB
2019-03-11,7.760000228881836,7.909999847412109,7.690000057220459,7.800000190734863,7.387999057769775,27900,RVSB
2019-03-12,7.820000171661377,7.900000095367432,7.760000228881836,7.880000114440918,7.463773250579834,32800,RVSB
