,open,high,low,close,adjclose,volume,ticker
2019-01-02,4.375,4.974999904632568,4.300000190734863,4.824999809265137,4.824999809265137,98400,RWLK
2019-01-03,4.875,5.324999809265137,4.5,5.099999904632568,5.099999904632568,152800,RWLK
2019-01-04,5.175000190734863,5.699999809265137,4.75,5.599999904632568,5.599999904632568,369800,RWLK
2019-01-07,5.599999904632568,6.425000190734863,5.050000190734863,6.050000190734863,6.050000190734863,581000,RWLK
2019-01-08,6.125,6.125,5.275000095367432,5.449999809265137,5.449999809265137,197100,RWLK
2019-01-09,5.449999809265137,5.75,5.0,5.625,5.625,121000,RWLK
2019-01-10,5.375,5.599999904632568,5.375,5.474999904632568,5.474999904632568,63400,RWLK
2019-01-11,5.5,6.425000190734863,5.425000190734863,6.050000190734863,6.050000190734863,358800,RWLK
2019-01-14,5.125,6.0,5.025000095367432,5.550000190734863,5.550000190734863,571800,RWLK
2019-01-15,5.75,5.75,5.25,5.300000190734863,5.300000190734863,168900,RWLK
2019-01-16,5.25,5.599999904632568,5.125,5.300000190734863,5.300000190734863,139000,RWLK
2019-01-17,5.449999809265137,6.375,5.324999809265137,6.150000095367432,6.150000095367432,490700,RWLK
2019-01-18,6.25,7.125,5.949999809265137,6.0,6.0,757400,RWLK
2019-01-22,5.949999809265137,5.974999904632568,5.5,5.724999904632568,5.724999904632568,211800,RWLK
2019-01-23,5.875,6.375,5.574999809265137,5.949999809265137,5.949999809265137,301200,RWLK
2019-01-24,6.0,7.75,5.75,7.199999809265137,7.199999809265137,901000,RWLK
2019-01-25,7.25,7.574999809265137,6.300000190734863,7.050000190734863,7.050000190734863,716100,RWLK
2019-01-28,7.0,7.5,6.75,7.125,7.125,259100,RWLK
2019-01-29,7.25,7.25,6.400000095367432,6.625,6.625,310300,RWLK
2019-01-30,6.925000190734863,7.625,6.650000095367432,7.25,7.25,575800,RWLK
2019-01-31,7.5,8.375,7.125,8.074999809265137,8.074999809265137,755600,RWLK
2019-02-01,8.074999809265137,8.375,7.5,7.724999904632568,7.724999904632568,399800,RWLK
2019-02-04,7.875,7.949999809265137,7.025000095367432,7.625,7.625,229900,RWLK
2019-02-05,7.5,7.75,6.75,7.224999904632568,7.224999904632568,268400,RWLK
2019-02-06,7.099999904632568,7.25,6.550000190734863,6.849999904632568,6.849999904632568,142900,RWLK
2019-02-07,7.0,7.050000190734863,6.550000190734863,6.875,6.875,177900,RWLK
2019-02-08,6.625,7.0,5.875,6.925000190734863,6.925000190734863,344900,RWLK
2019-02-11,6.75,6.875,6.5,6.724999904632568,6.724999904632568,130200,RWLK
2019-02-12,6.574999809265137,7.125,6.550000190734863,6.824999809265137,6.824999809265137,134900,RWLK
2019-02-13,8.925000190734863,9.375,7.800000190734863,8.399999618530273,8.399999618530273,1526500,RWLK
2019-02-14,8.25,8.5,7.375,7.525000095367432,7.525000095367432,260100,RWLK
2019-02-15,7.625,8.225000381469727,7.625,8.0,8.0,172700,RWLK
2019-02-19,8.75,8.75,7.650000095367432,7.849999904632568,7.849999904632568,259600,RWLK
2019-02-20,7.875,7.925000190734863,7.25,7.625,7.625,205800,RWLK
2019-02-21,6.050000190734863,6.425000190734863,5.875,6.074999809265137,6.074999809265137,515400,RWLK
2019-02-22,6.125,6.875,5.775000095367432,6.625,6.625,430600,RWLK
2019-02-25,6.75,6.875,6.5,6.724999904632568,6.724999904632568,182500,RWLK
2019-02-26,6.800000190734863,6.875,6.5,6.574999809265137,6.574999809265137,128700,RWLK
2019-02-27,6.625,6.625,6.150000095367432,6.400000095367432,6.400000095367432,126800,RWLK
2019-02-28,6.5,6.5,6.150000095367432,6.324999809265137,6.324999809265137,54100,RWLK
2019-03-01,6.275000095367432,6.625,6.275000095367432,6.5,6.5,180800,RWLK
2019-03-04,6.5,6.5,6.25,6.275000095367432,6.275000095367432,164300,RWLK
2019-03-05,6.25,6.349999904632568,6.0,6.125,6.125,87000,RWLK
2019-03-06,6.074999809265137,6.125,5.525000095367432,5.625,5.625,158400,RWLK
2019-03-07,5.599999904632568,6.050000190734863,5.050000190734863,6.0,6.0,230600,RWLK
2019-03-08,5.75,6.0,5.5,5.75,5.75,74000,RWLK
2019-03-11,6.0,6.0,5.625,5.875,5.875,55900,RWLK
2019-03-12,5.875,6.0,5.599999904632568,5.824999809265137,5.824999809265137,46500,RWLK
2019-03-13,5.75,5.875,5.625,5.675000190734863,5.675000190734863,36400,RWLK
2019-03-14,5.75,6.25,5.625,6.025000095367432,6.025000095367432,170200,RWLK
2019-03-15,6.199999809265137,6.425000190734863,5.775000095367432,6.025000095367432,6.025000095367432,212700,RWLK
2019-03-18,6.125,6.224999904632568,5.75,5.875,5.875,104000,RWLK
2019-03-19,5.875,6.0,5.625,5.699999809265137,5.699999809265137,78500,RWLK
2019-03-20,5.875,5.875,5.324999809265137,5.724999904632568,5.724999904632568,66200,RWLK
2019-03-21,5.525000095367432,5.75,5.275000095367432,5.574999809265137,5.574999809265137,84500,RWLK
2019-03-22,5.550000190734863,5.574999809265137,5.275000095367432,5.375,5.375,62800,RWLK
2019-03-25,5.275000095367432,5.375,5.074999809265137,5.175000190734863,5.175000190734863,46700,RWLK
2019-03-26,5.125,5.300000190734863,4.974999904632568,5.050000190734863,5.050000190734863,72700,RWLK
2019-03-27,5.25,5.599999904632568,5.025000095367432,5.375,5.375,248500,RWLK
2019-03-28,5.5,5.800000190734863,5.5,5.724999904632568,5.724999904632568,151800,RWLK
2019-03-29,5.574999809265137,5.724999904632568,5.125,5.400000095367432,5.400000095367432,154900,RWLK
2019-04-01,4.429999828338623,5.489999771118164,4.25,5.300000190734863,5.300000190734863,1790900,RWLK
2019-04-02,4.829999923706055,5.400000095367432,4.78000020980835,5.340000152587891,5.340000152587891,515800,RWLK
2019-04-03,5.210000038146973,5.679999828338623,5.050000190734863,5.139999866485596,5.139999866485596,775500,RWLK
2019-04-04,4.599999904632568,4.599999904632568,4.150000095367432,4.260000228881836,4.260000228881836,925900,RWLK
2019-04-05,4.369999885559082,4.369999885559082,3.799999952316284,3.9800000190734863,3.9800000190734863,406700,RWLK
2019-04-08,4.0,4.145999908447266,3.869999885559082,4.0,4.0,346400,RWLK
2019-04-09,4.0,4.050000190734863,3.809999942779541,3.9000000953674316,3.9000000953674316,256700,RWLK
2019-04-10,3.9000000953674316,3.9000000953674316,3.6600000858306885,3.7699999809265137,3.7699999809265137,184800,RWLK
2019-04-11,3.7300000190734863,4.010000228881836,3.680000066757202,3.930000066757202,3.930000066757202,437800,RWLK
2019-04-12,3.9000000953674316,3.950000047683716,3.5999999046325684,3.5999999046325684,3.5999999046325684,324100,RWLK
2019-04-15,3.609999895095825,3.61899995803833,3.2699999809265137,3.380000114440918,3.380000114440918,296800,RWLK
2019-04-16,4.099999904632568,4.579999923706055,3.6600000858306885,3.799999952316284,3.799999952316284,18217200,RWLK
2019-04-17,3.7799999713897705,3.869999885559082,3.5,3.630000114440918,3.630000114440918,1046700,RWLK
2019-04-18,3.5999999046325684,3.619999885559082,3.299999952316284,3.4800000190734863,3.4800000190734863,381200,RWLK
2019-04-22,3.4800000190734863,3.494999885559082,3.240000009536743,3.309999942779541,3.309999942779541,243200,RWLK
2019-04-23,3.309999942779541,3.450000047683716,3.1500000953674316,3.4000000953674316,3.4000000953674316,237300,RWLK
2019-04-24,3.4000000953674316,3.4000000953674316,3.2100000381469727,3.319999933242798,3.319999933242798,125600,RWLK
2019-04-25,3.740000009536743,3.75,3.430000066757202,3.509999990463257,3.509999990463257,1035500,RWLK
2019-04-26,3.549999952316284,3.549999952316284,3.319999933242798,3.4800000190734863,3.4800000190734863,171000,RWLK
2019-04-29,3.440000057220459,3.630000114440918,3.369999885559082,3.559999942779541,3.559999942779541,189300,RWLK
2019-04-30,3.5799999237060547,3.677999973297119,3.380000114440918,3.450000047683716,3.450000047683716,155700,RWLK
2019-05-01,3.509999990463257,4.050000190734863,3.4769999980926514,3.869999885559082,3.869999885559082,842000,RWLK
2019-05-02,3.8399999141693115,3.950000047683716,3.549999952316284,3.7100000381469727,3.7100000381469727,273900,RWLK
2019-05-03,3.75,3.930000066757202,3.630000114440918,3.759999990463257,3.759999990463257,197500,RWLK
2019-05-06,3.6600000858306885,3.890000104904175,3.559999942779541,3.7100000381469727,3.7100000381469727,334600,RWLK
2019-05-07,3.880000114440918,3.882999897003174,3.5,3.619999885559082,3.619999885559082,154400,RWLK
2019-05-08,3.569999933242798,3.638000011444092,3.369999885559082,3.380000114440918,3.380000114440918,99900,RWLK
2019-05-09,3.2799999713897705,3.3399999141693115,3.0799999237060547,3.0999999046325684,3.0999999046325684,218700,RWLK
2019-05-10,3.0199999809265137,3.134000062942505,2.700000047683716,2.740000009536743,2.740000009536743,370100,RWLK
2019-05-13,2.7300000190734863,2.739000082015991,2.4600000381469727,2.700000047683716,2.700000047683716,196500,RWLK
2019-05-14,2.690000057220459,2.8299999237060547,2.690000057220459,2.75,2.75,97400,RWLK
