,open,high,low,close,adjclose,volume,ticker
2019-01-02,4.389999866485596,4.559999942779541,4.380000114440918,4.440000057220459,4.440000057220459,70400,SBBP
2019-01-03,4.400000095367432,4.539999961853027,4.369999885559082,4.420000076293945,4.420000076293945,33900,SBBP
2019-01-04,4.480000019073486,4.599999904632568,4.409999847412109,4.539999961853027,4.539999961853027,195000,SBBP
2019-01-07,4.570000171661377,4.800000190734863,4.510000228881836,4.699999809265137,4.699999809265137,94000,SBBP
2019-01-08,4.739999771118164,4.889999866485596,4.730000019073486,4.800000190734863,4.800000190734863,261700,SBBP
2019-01-09,4.829999923706055,4.869999885559082,4.730000019073486,4.769999980926514,4.769999980926514,110100,SBBP
2019-01-10,4.760000228881836,4.840000152587891,4.650000095367432,4.71999979019165,4.71999979019165,55000,SBBP
2019-01-11,4.710000038146973,5.0,4.579999923706055,4.989999771118164,4.989999771118164,123300,SBBP
2019-01-14,4.96999979019165,5.110000133514404,4.929999828338623,4.989999771118164,4.989999771118164,134200,SBBP
2019-01-15,5.0,5.03000020980835,4.900000095367432,4.929999828338623,4.929999828338623,93800,SBBP
2019-01-16,4.940000057220459,5.019999980926514,4.840000152587891,4.949999809265137,4.949999809265137,99800,SBBP
2019-01-17,4.920000076293945,4.960000038146973,4.800000190734863,4.869999885559082,4.869999885559082,69400,SBBP
2019-01-18,4.75,4.900000095367432,4.75,4.829999923706055,4.829999923706055,50800,SBBP
2019-01-22,4.815999984741211,4.815999984741211,4.6620001792907715,4.690000057220459,4.690000057220459,67200,SBBP
2019-01-23,4.699999809265137,4.699999809265137,4.269999980926514,4.579999923706055,4.579999923706055,85900,SBBP
2019-01-24,4.639999866485596,4.639999866485596,4.559999942779541,4.599999904632568,4.599999904632568,199500,SBBP
2019-01-25,4.579999923706055,4.829999923706055,4.570000171661377,4.789999961853027,4.789999961853027,180200,SBBP
2019-01-28,4.800000190734863,4.800000190734863,4.675000190734863,4.679999828338623,4.679999828338623,51400,SBBP
2019-01-29,4.730000019073486,4.75,4.650000095367432,4.739999771118164,4.739999771118164,149800,SBBP
2019-01-30,4.78000020980835,4.849999904632568,4.699999809265137,4.739999771118164,4.739999771118164,122900,SBBP
2019-01-31,4.760000228881836,4.789999961853027,4.650000095367432,4.690000057220459,4.690000057220459,266200,SBBP
2019-02-01,4.71999979019165,4.789999961853027,4.670000076293945,4.699999809265137,4.699999809265137,302200,SBBP
2019-02-04,4.690000057220459,4.789999961853027,4.599999904632568,4.769999980926514,4.769999980926514,161300,SBBP
2019-02-05,4.75,4.769999980926514,4.71999979019165,4.730000019073486,4.730000019073486,93000,SBBP
2019-02-06,4.739999771118164,4.75,4.650000095367432,4.710000038146973,4.710000038146973,46900,SBBP
2019-02-07,4.699999809265137,4.849999904632568,4.630000114440918,4.730000019073486,4.730000019073486,201700,SBBP
2019-02-08,4.699999809265137,4.75,4.699999809265137,4.730000019073486,4.730000019073486,87900,SBBP
2019-02-11,4.739999771118164,4.769999980926514,4.699999809265137,4.710000038146973,4.710000038146973,50800,SBBP
2019-02-12,4.75,4.789999961853027,4.699999809265137,4.739999771118164,4.739999771118164,130300,SBBP
2019-02-13,4.789999961853027,4.789999961853027,4.71999979019165,4.739999771118164,4.739999771118164,184700,SBBP
2019-02-14,4.710000038146973,4.829999923706055,4.650000095367432,4.699999809265137,4.699999809265137,130500,SBBP
2019-02-15,4.710000038146973,4.800000190734863,4.710000038146973,4.739999771118164,4.739999771118164,283300,SBBP
2019-02-19,4.75,4.820000171661377,4.610000133514404,4.659999847412109,4.659999847412109,146400,SBBP
2019-02-20,4.659999847412109,4.71999979019165,4.610000133514404,4.670000076293945,4.670000076293945,82000,SBBP
2019-02-21,4.630000114440918,4.699999809265137,4.5,4.639999866485596,4.639999866485596,115100,SBBP
2019-02-22,4.650000095367432,4.78000020980835,4.599999904632568,4.75,4.75,141400,SBBP
2019-02-25,4.769999980926514,5.119999885559082,4.769999980926514,4.940000057220459,4.940000057220459,143500,SBBP
2019-02-26,4.900000095367432,5.019999980926514,4.800000190734863,4.889999866485596,4.889999866485596,143600,SBBP
2019-02-27,4.920000076293945,5.300000190734863,4.860000133514404,5.150000095367432,5.150000095367432,319800,SBBP
2019-02-28,5.199999809265137,5.420000076293945,5.099999904632568,5.320000171661377,5.320000171661377,233500,SBBP
2019-03-01,5.389999866485596,5.46999979019165,5.25,5.429999828338623,5.429999828338623,156700,SBBP
2019-03-04,5.400000095367432,5.400000095367432,5.119999885559082,5.28000020980835,5.28000020980835,142000,SBBP
2019-03-05,5.309999942779541,5.414999961853027,5.230000019073486,5.25,5.25,264600,SBBP
2019-03-06,5.25,5.380000114440918,5.019999980926514,5.079999923706055,5.079999923706055,170300,SBBP
2019-03-07,5.070000171661377,5.260000228881836,5.019999980926514,5.130000114440918,5.130000114440918,78700,SBBP
2019-03-08,5.070000171661377,5.130000114440918,5.010000228881836,5.059999942779541,5.059999942779541,55000,SBBP
2019-03-11,5.289999961853027,5.577000141143799,5.125999927520752,5.519999980926514,5.519999980926514,266300,SBBP
2019-03-12,5.650000095367432,5.650000095367432,5.320000171661377,5.349999904632568,5.349999904632568,231000,SBBP
2019-03-13,5.389999866485596,5.46999979019165,5.25,5.369999885559082,5.369999885559082,137500,SBBP
2019-03-14,5.369999885559082,5.389999866485596,5.25,5.329999923706055,5.329999923706055,159100,SBBP
2019-03-15,5.349999904632568,5.400000095367432,5.239999771118164,5.320000171661377,5.320000171661377,214900,SBBP
2019-03-18,5.329999923706055,5.489999771118164,5.300000190734863,5.429999828338623,5.429999828338623,97200,SBBP
2019-03-19,5.429999828338623,5.690000057220459,5.429999828338623,5.590000152587891,5.590000152587891,84300,SBBP
2019-03-20,5.590000152587891,5.650000095367432,5.510000228881836,5.53000020980835,5.53000020980835,72600,SBBP
2019-03-21,5.5,5.539999961853027,5.360000133514404,5.369999885559082,5.369999885559082,113300,SBBP
2019-03-22,5.380000114440918,5.389999866485596,5.099999904632568,5.150000095367432,5.150000095367432,167900,SBBP
2019-03-25,5.25,5.260000228881836,4.419000148773193,4.789999961853027,4.789999961853027,382700,SBBP
2019-03-26,4.75,4.989999771118164,4.75,4.900000095367432,4.900000095367432,65000,SBBP
2019-03-27,4.900000095367432,4.940000057220459,4.710000038146973,4.889999866485596,4.889999866485596,126000,SBBP
2019-03-28,4.909999847412109,5.199999809265137,4.9070000648498535,5.170000076293945,5.170000076293945,230600,SBBP
2019-03-29,5.150000095367432,5.25,4.88100004196167,4.980000019073486,4.980000019073486,182300,SBBP
2019-04-01,5.050000190734863,5.059999942779541,4.880000114440918,4.909999847412109,4.909999847412109,77900,SBBP
2019-04-02,4.909999847412109,5.0,4.889999866485596,4.960000038146973,4.960000038146973,103200,SBBP
2019-04-03,4.96999979019165,5.050000190734863,4.8480000495910645,4.909999847412109,4.909999847412109,130400,SBBP
2019-04-04,4.909999847412109,4.989999771118164,4.849999904632568,4.900000095367432,4.900000095367432,492400,SBBP
2019-04-05,4.909999847412109,5.03000020980835,4.840000152587891,4.869999885559082,4.869999885559082,101300,SBBP
2019-04-08,4.840000152587891,4.889999866485596,4.760000228881836,4.769999980926514,4.769999980926514,68200,SBBP
2019-04-09,4.75,4.867000102996826,4.699999809265137,4.71999979019165,4.71999979019165,87900,SBBP
