,open,high,low,close,adjclose,volume,ticker
2019-01-02,33.52000045776367,34.689998626708984,32.849998474121094,33.959999084472656,32.99802780151367,51500,STFC
2019-01-03,33.93000030517578,33.93000030517578,33.40999984741211,33.619998931884766,32.667659759521484,27300,STFC
2019-01-04,33.869998931884766,34.83000183105469,33.41999816894531,34.77000045776367,33.78508758544922,41500,STFC
2019-01-07,34.66999816894531,34.66999816894531,34.099998474121094,34.599998474121094,33.619895935058594,21200,STFC
2019-01-08,34.7400016784668,34.97999954223633,34.279998779296875,34.709999084472656,33.726776123046875,50100,STFC
2019-01-09,34.779998779296875,34.959999084472656,34.22999954223633,34.4900016784668,33.51301574707031,41500,STFC
2019-01-10,34.34000015258789,34.70000076293945,34.040000915527344,34.459999084472656,33.48386001586914,47800,STFC
2019-01-11,34.310001373291016,34.4900016784668,33.880001068115234,34.119998931884766,33.15348815917969,46600,STFC
2019-01-14,33.93000030517578,34.5099983215332,33.90999984741211,33.97999954223633,33.017459869384766,29200,STFC
2019-01-15,33.959999084472656,34.189998626708984,33.81999969482422,34.04999923706055,33.08547592163086,40100,STFC
2019-01-16,34.040000915527344,34.79999923706055,33.54999923706055,34.5,33.522727966308594,52400,STFC
2019-01-17,34.40999984741211,34.7599983215332,34.130001068115234,34.47999954223633,33.503299713134766,60000,STFC
2019-01-18,34.4900016784668,34.880001068115234,34.470001220703125,34.52000045776367,33.54216766357422,42400,STFC
2019-01-22,34.369998931884766,34.709999084472656,33.880001068115234,34.209999084472656,33.24094772338867,26400,STFC
2019-01-23,34.41999816894531,34.41999816894531,31.5,34.2599983215332,33.28952407836914,32800,STFC
2019-01-24,34.08000183105469,34.52000045776367,34.02000045776367,34.310001373291016,33.33811569213867,22900,STFC
2019-01-25,34.4900016784668,34.66999816894531,33.939998626708984,34.13999938964844,33.17292404174805,27600,STFC
2019-01-28,34.11000061035156,34.119998931884766,33.65999984741211,33.849998474121094,32.891143798828125,27300,STFC
2019-01-29,33.7599983215332,34.25,33.59000015258789,33.650001525878906,32.696807861328125,18100,STFC
2019-01-30,33.65999984741211,34.029998779296875,33.349998474121094,33.84000015258789,32.88142776489258,42400,STFC
2019-01-31,33.65999984741211,34.189998626708984,33.400001525878906,34.0,33.036895751953125,58500,STFC
2019-02-01,33.9900016784668,34.40999984741211,33.66999816894531,34.0,33.036895751953125,183400,STFC
2019-02-04,33.93000030517578,34.27000045776367,33.5,34.099998474121094,33.13405990600586,125100,STFC
2019-02-05,34.13999938964844,34.470001220703125,33.689998626708984,34.20000076293945,33.23123550415039,51400,STFC
2019-02-06,34.220001220703125,34.27000045776367,33.95000076293945,34.09000015258789,33.12434768676758,33200,STFC
2019-02-07,34.040000915527344,34.459999084472656,33.77000045776367,34.16999816894531,33.20207595825195,31500,STFC
2019-02-08,34.150001525878906,34.2599983215332,33.47999954223633,34.08000183105469,33.11463165283203,31200,STFC
2019-02-11,34.09000015258789,34.43000030517578,33.529998779296875,34.20000076293945,33.23123550415039,71200,STFC
2019-02-12,34.36000061035156,34.650001525878906,33.779998779296875,34.4900016784668,33.51301574707031,78900,STFC
2019-02-13,34.5,34.9900016784668,34.11000061035156,34.29999923706055,33.32839584350586,71800,STFC
2019-02-14,34.38999938964844,34.959999084472656,34.20000076293945,34.310001373291016,33.33811569213867,56600,STFC
2019-02-15,34.650001525878906,34.650001525878906,34.29999923706055,34.5099983215332,33.53244400024414,117100,STFC
2019-02-19,34.099998474121094,34.97999954223633,34.099998474121094,34.86000061035156,33.872535705566406,69600,STFC
2019-02-20,34.790000915527344,34.810001373291016,34.619998931884766,34.709999084472656,33.726776123046875,50000,STFC
2019-02-21,34.47999954223633,34.869998931884766,34.2400016784668,34.400001525878906,33.425567626953125,25900,STFC
2019-02-22,34.5,34.689998626708984,34.029998779296875,34.369998931884766,33.39641189575195,34400,STFC
2019-02-25,34.38999938964844,34.599998474121094,34.2599983215332,34.27000045776367,33.29924774169922,36600,STFC
2019-02-26,34.279998779296875,34.43000030517578,33.79999923706055,33.84000015258789,32.88142776489258,27300,STFC
2019-02-27,33.75,33.88999938964844,30.329999923706055,33.560001373291016,32.60935974121094,39400,STFC
2019-02-28,33.54999923706055,33.810001373291016,32.93000030517578,33.66999816894531,32.71623611450195,42900,STFC
