,open,high,low,close,adjclose,volume,ticker
2019-01-02,9.449999809265137,9.8100004196167,8.100000381469727,9.270000457763672,9.270000457763672,7100,SUMR
2019-01-03,9.270000457763672,10.170000076293945,9.180000305175781,9.449999809265137,9.449999809265137,4600,SUMR
2019-01-04,9.630000114440918,10.079999923706055,9.449999809265137,9.899999618530273,9.899999618530273,4700,SUMR
2019-01-07,9.899999618530273,10.529999732971191,9.449999809265137,9.989999771118164,9.989999771118164,14900,SUMR
2019-01-08,10.170000076293945,10.710000038146973,9.720000267028809,10.710000038146973,10.710000038146973,2700,SUMR
2019-01-09,10.619999885559082,10.619999885559082,9.449999809265137,10.170000076293945,10.170000076293945,6700,SUMR
2019-01-10,10.170000076293945,10.4399995803833,9.899999618530273,9.989999771118164,9.989999771118164,3100,SUMR
2019-01-11,10.079999923706055,10.890000343322754,10.079999923706055,10.890000343322754,10.890000343322754,5200,SUMR
2019-01-14,10.260000228881836,10.800000190734863,9.720000267028809,9.720000267028809,9.720000267028809,2900,SUMR
2019-01-15,9.720000267028809,10.4399995803833,9.720000267028809,10.170000076293945,10.170000076293945,3400,SUMR
2019-01-16,9.989999771118164,10.710000038146973,9.989999771118164,10.170000076293945,10.170000076293945,2800,SUMR
2019-01-17,10.260000228881836,10.350000381469727,9.899999618530273,9.899999618530273,9.899999618530273,6000,SUMR
2019-01-18,10.079999923706055,10.260000228881836,9.989999771118164,10.260000228881836,10.260000228881836,200,SUMR
2019-01-22,9.899999618530273,10.529999732971191,9.899999618530273,10.079999923706055,10.079999923706055,600,SUMR
2019-01-23,10.079999923706055,10.079999923706055,9.449999809265137,9.449999809265137,9.449999809265137,4000,SUMR
2019-01-24,9.989999771118164,9.989999771118164,9.539999961853027,9.539999961853027,9.539999961853027,800,SUMR
2019-01-25,9.8100004196167,9.899999618530273,9.449999809265137,9.449999809265137,9.449999809265137,1300,SUMR
2019-01-28,9.359999656677246,9.8100004196167,9.359999656677246,9.449999809265137,9.449999809265137,2400,SUMR
2019-01-29,9.359999656677246,9.449999809265137,9.180000305175781,9.180000305175781,9.180000305175781,2800,SUMR
2019-01-30,9.270000457763672,10.079999923706055,9.09000015258789,9.720000267028809,9.720000267028809,4400,SUMR
2019-01-31,9.630000114440918,9.630000114440918,9.449999809265137,9.449999809265137,9.449999809265137,1100,SUMR
2019-02-01,9.630000114440918,9.899999618530273,9.359999656677246,9.630000114440918,9.630000114440918,3900,SUMR
2019-02-04,9.539999961853027,9.720000267028809,9.270000457763672,9.359999656677246,9.359999656677246,2200,SUMR
2019-02-05,9.899999618530273,9.899999618530273,9.359999656677246,9.359999656677246,9.359999656677246,1300,SUMR
2019-02-06,9.449999809265137,9.630000114440918,9.180000305175781,9.180000305175781,9.180000305175781,4700,SUMR
2019-02-07,9.270000457763672,9.630000114440918,9.270000457763672,9.630000114440918,9.630000114440918,900,SUMR
2019-02-08,9.539999961853027,9.720000267028809,9.359999656677246,9.359999656677246,9.359999656677246,2500,SUMR
2019-02-11,9.359999656677246,9.899999618530273,9.359999656677246,9.8100004196167,9.8100004196167,7200,SUMR
2019-02-12,9.720000267028809,9.8100004196167,9.539999961853027,9.539999961853027,9.539999961853027,1600,SUMR
2019-02-13,9.630000114440918,9.720000267028809,9.270000457763672,9.359999656677246,9.359999656677246,5100,SUMR
