,open,high,low,close,adjclose,volume,ticker
2019-01-02,32.40999984741211,33.540000915527344,32.40999984741211,33.52000045776367,31.817180633544922,58300,SYBT
2019-01-03,33.470001220703125,33.83000183105469,33.060001373291016,33.11000061035156,31.428007125854492,45300,SYBT
2019-01-04,33.47999954223633,34.130001068115234,33.0,34.099998474121094,32.367713928222656,63500,SYBT
2019-01-07,34.099998474121094,35.4900016784668,34.0,34.7599983215332,32.99419403076172,61700,SYBT
2019-01-08,34.93000030517578,34.93000030517578,33.59000015258789,34.459999084472656,32.70942687988281,84700,SYBT
2019-01-09,34.56999969482422,34.56999969482422,33.810001373291016,34.220001220703125,32.48162078857422,38400,SYBT
2019-01-10,34.04999923706055,34.33000183105469,33.29999923706055,33.83000183105469,32.11143112182617,41300,SYBT
2019-01-11,33.86000061035156,34.040000915527344,33.58000183105469,33.869998931884766,32.14939880371094,52700,SYBT
2019-01-14,33.83000183105469,34.02000045776367,33.470001220703125,33.470001220703125,31.76972198486328,50200,SYBT
2019-01-15,33.459999084472656,34.02000045776367,33.349998474121094,33.90999984741211,32.1873664855957,46200,SYBT
2019-01-16,34.060001373291016,34.56999969482422,34.060001373291016,34.439998626708984,32.69044494628906,53300,SYBT
2019-01-17,34.33000183105469,34.459999084472656,33.900001525878906,34.189998626708984,32.45314407348633,45100,SYBT
2019-01-18,34.189998626708984,34.68000030517578,34.08000183105469,34.22999954223633,32.49111557006836,51400,SYBT
2019-01-22,33.83000183105469,34.4900016784668,33.54999923706055,33.970001220703125,32.244327545166016,130700,SYBT
2019-01-23,34.189998626708984,34.400001525878906,32.470001220703125,34.099998474121094,32.367713928222656,41200,SYBT
2019-01-24,34.66999816894531,35.529998779296875,34.66999816894531,34.709999084472656,32.94672775268555,144800,SYBT
2019-01-25,34.83000183105469,35.529998779296875,34.709999084472656,35.22999954223633,33.4403076171875,51400,SYBT
2019-01-28,35.150001525878906,35.150001525878906,34.54999923706055,34.88999938964844,33.117584228515625,39700,SYBT
2019-01-29,35.040000915527344,35.040000915527344,34.41999816894531,34.630001068115234,32.870792388916016,32700,SYBT
2019-01-30,34.869998931884766,35.25,34.56999969482422,34.90999984741211,33.13656997680664,53100,SYBT
2019-01-31,34.75,34.849998474121094,34.09000015258789,34.56999969482422,32.8138427734375,73300,SYBT
2019-02-01,35.0,35.0,34.599998474121094,34.880001068115234,33.10809326171875,37800,SYBT
2019-02-04,34.869998931884766,35.77000045776367,34.869998931884766,35.529998779296875,33.725074768066406,114000,SYBT
2019-02-05,35.529998779296875,35.709999084472656,35.18000030517578,35.279998779296875,33.48777389526367,21600,SYBT
2019-02-06,35.15999984741211,35.779998779296875,35.15999984741211,35.40999984741211,33.61117172241211,71500,SYBT
2019-02-07,35.459999084472656,35.560001373291016,35.36000061035156,35.47999954223633,33.677616119384766,58300,SYBT
2019-02-08,35.31999969482422,35.56999969482422,35.29999923706055,35.459999084472656,33.65863037109375,62500,SYBT
2019-02-11,35.459999084472656,35.61000061035156,35.400001525878906,35.54999923706055,33.744056701660156,40000,SYBT
2019-02-12,35.689998626708984,36.0,35.59000015258789,35.689998626708984,33.87694549560547,53400,SYBT
2019-02-13,35.70000076293945,35.880001068115234,35.54999923706055,35.68000030517578,33.867454528808594,39400,SYBT
2019-02-14,35.5,35.630001068115234,35.400001525878906,35.459999084472656,33.65863037109375,49300,SYBT
2019-02-15,35.59000015258789,36.439998626708984,35.45000076293945,36.38999938964844,34.5413818359375,62400,SYBT
2019-02-19,36.34000015258789,36.70000076293945,36.22999954223633,36.650001525878906,34.788185119628906,58400,SYBT
2019-02-20,36.5,36.93000030517578,36.25,36.84000015258789,34.968528747558594,28900,SYBT
2019-02-21,36.83000183105469,36.95000076293945,36.400001525878906,36.95000076293945,35.07293701171875,25600,SYBT
2019-02-22,36.959999084472656,37.0099983215332,36.65999984741211,36.81999969482422,34.94954299926758,23400,SYBT
2019-02-25,36.91999816894531,36.97999954223633,36.25,36.380001068115234,34.53189468383789,31900,SYBT
2019-02-26,36.22999954223633,36.5,35.7400016784668,35.7400016784668,33.924407958984375,21800,SYBT
2019-02-27,35.869998931884766,35.88999938964844,34.7400016784668,35.790000915527344,33.97186279296875,37700,SYBT
2019-02-28,35.84000015258789,35.84000015258789,35.59000015258789,35.619998931884766,33.81050109863281,30100,SYBT
2019-03-01,35.81999969482422,36.369998931884766,35.599998474121094,36.20000076293945,34.36103820800781,48600,SYBT
2019-03-04,36.18000030517578,36.36000061035156,35.650001525878906,35.77000045776367,33.952880859375,57000,SYBT
2019-03-05,35.790000915527344,36.380001068115234,35.439998626708984,36.25,34.40849685668945,30800,SYBT
2019-03-06,36.2599983215332,36.2599983215332,35.02000045776367,35.02000045776367,33.24098205566406,47500,SYBT
2019-03-07,35.0099983215332,35.29999923706055,34.5,34.72999954223633,32.96571731567383,50900,SYBT
2019-03-08,34.54999923706055,35.22999954223633,34.54999923706055,35.02000045776367,33.24098205566406,31300,SYBT
2019-03-11,35.06999969482422,35.72999954223633,34.970001220703125,35.68000030517578,33.867454528808594,36900,SYBT
2019-03-12,35.7400016784668,35.810001373291016,35.150001525878906,35.380001068115234,33.58269119262695,23700,SYBT
2019-03-13,35.38999938964844,35.779998779296875,35.38999938964844,35.45000076293945,33.649139404296875,21100,SYBT
2019-03-14,35.439998626708984,35.66999816894531,35.34000015258789,35.459999084472656,33.65863037109375,17400,SYBT
2019-03-15,35.220001220703125,36.119998931884766,35.220001220703125,35.880001068115234,34.299110412597656,148800,SYBT
2019-03-18,35.93000030517578,36.22999954223633,35.61000061035156,35.900001525878906,34.31822967529297,32100,SYBT
2019-03-19,35.970001220703125,35.970001220703125,34.91999816894531,34.91999816894531,33.381404876708984,15900,SYBT
2019-03-20,34.7599983215332,35.04999923706055,34.04999923706055,34.119998931884766,32.61665344238281,24800,SYBT
2019-03-21,34.02000045776367,34.70000076293945,33.869998931884766,34.040000915527344,32.540184020996094,34800,SYBT
2019-03-22,33.75,33.91999816894531,32.0,32.119998931884766,30.704776763916016,46400,SYBT
2019-03-25,32.150001525878906,33.650001525878906,32.060001373291016,33.38999938964844,31.9188232421875,54300,SYBT
2019-03-26,33.56999969482422,34.2400016784668,33.56999969482422,34.220001220703125,32.712249755859375,23800,SYBT
2019-03-27,33.959999084472656,34.29999923706055,33.75,33.97999954223633,32.48282241821289,39100,SYBT
2019-03-28,33.970001220703125,34.31999969482422,33.709999084472656,34.04999923706055,32.549739837646484,51500,SYBT
2019-03-29,34.33000183105469,34.33000183105469,33.529998779296875,33.810001373291016,32.3203125,48400,SYBT
2019-04-01,34.099998474121094,34.9900016784668,34.02000045776367,34.959999084472656,33.419647216796875,35900,SYBT
2019-04-02,34.939998626708984,35.22999954223633,34.29999923706055,34.400001525878906,32.88431930541992,38000,SYBT
2019-04-03,34.630001068115234,34.84000015258789,34.220001220703125,34.290000915527344,32.77916717529297,20900,SYBT
2019-04-04,34.29999923706055,34.54999923706055,34.02000045776367,34.52000045776367,32.9990348815918,27900,SYBT
2019-04-05,34.5,34.91999816894531,34.09000015258789,34.880001068115234,33.343170166015625,32700,SYBT
2019-04-08,34.869998931884766,34.90999984741211,34.02000045776367,34.61000061035156,33.08506774902344,14500,SYBT
2019-04-09,34.630001068115234,34.650001525878906,33.9900016784668,34.040000915527344,32.540184020996094,19500,SYBT
2019-04-10,34.08000183105469,34.7400016784668,33.90999984741211,34.630001068115234,33.104183197021484,18700,SYBT
2019-04-11,34.650001525878906,34.91999816894531,34.5,34.88999938964844,33.35272979736328,23100,SYBT
2019-04-12,35.13999938964844,35.400001525878906,34.59000015258789,34.70000076293945,33.17110061645508,33000,SYBT
2019-04-15,34.54999923706055,34.83000183105469,34.43000030517578,34.56999969482422,33.04682922363281,33100,SYBT
2019-04-16,34.689998626708984,35.189998626708984,34.33000183105469,34.970001220703125,33.429203033447266,22700,SYBT
2019-04-17,34.95000076293945,34.95000076293945,34.29999923706055,34.66999816894531,33.14242172241211,36100,SYBT
2019-04-18,34.470001220703125,34.77000045776367,34.25,34.529998779296875,33.00858688354492,35600,SYBT
2019-04-22,34.40999984741211,34.59000015258789,33.349998474121094,33.72999954223633,32.243839263916016,31100,SYBT
2019-04-23,33.7400016784668,35.11000061035156,33.72999954223633,34.689998626708984,33.16154479980469,37500,SYBT
2019-04-24,35.31999969482422,35.459999084472656,34.15999984741211,34.630001068115234,33.104183197021484,49100,SYBT
2019-04-25,34.25,34.25,33.5099983215332,33.88999938964844,32.396785736083984,29000,SYBT
2019-04-26,34.02000045776367,34.209999084472656,33.869998931884766,34.15999984741211,32.6548957824707,38700,SYBT
2019-04-29,34.06999969482422,35.060001373291016,34.04999923706055,34.939998626708984,33.40052032470703,98200,SYBT
2019-04-30,35.0099983215332,35.0099983215332,34.310001373291016,34.349998474121094,32.83652114868164,60000,SYBT
2019-05-01,34.459999084472656,35.38999938964844,33.970001220703125,34.709999084472656,33.180660247802734,73000,SYBT
2019-05-02,34.83000183105469,35.18000030517578,34.650001525878906,34.91999816894531,33.381404876708984,49800,SYBT
2019-05-03,35.130001068115234,35.5,35.0099983215332,35.5,33.93585205078125,31200,SYBT
2019-05-06,35.0099983215332,35.86000061035156,34.91999816894531,35.63999938964844,34.069679260253906,27700,SYBT
2019-05-07,35.220001220703125,35.380001068115234,34.310001373291016,34.720001220703125,33.190223693847656,45100,SYBT
2019-05-08,34.70000076293945,35.2599983215332,34.27000045776367,34.65999984741211,33.13286209106445,36200,SYBT
2019-05-09,34.25,34.90999984741211,34.08000183105469,34.720001220703125,33.190223693847656,17700,SYBT
2019-05-10,34.619998931884766,34.779998779296875,34.25,34.7400016784668,33.2093391418457,23300,SYBT
2019-05-13,34.16999816894531,34.33000183105469,33.790000915527344,33.86000061035156,32.368106842041016,43300,SYBT
2019-05-14,34.04999923706055,34.4900016784668,34.040000915527344,34.31999969482422,32.80784606933594,32000,SYBT
2019-05-15,33.849998474121094,34.709999084472656,33.63999938964844,34.33000183105469,32.81740188598633,29900,SYBT
2019-05-16,34.84000015258789,34.84000015258789,34.58000183105469,34.7400016784668,33.2093391418457,16000,SYBT
2019-05-17,34.459999084472656,34.86000061035156,34.459999084472656,34.52000045776367,32.9990348815918,25600,SYBT
2019-05-20,34.380001068115234,34.97999954223633,33.9900016784668,34.86000061035156,33.32405471801758,16200,SYBT
2019-05-21,34.95000076293945,35.130001068115234,34.56999969482422,34.86000061035156,33.32405471801758,27100,SYBT
2019-05-22,34.880001068115234,35.599998474121094,34.5,34.79999923706055,33.26669692993164,29000,SYBT
2019-05-23,34.529998779296875,35.29999923706055,34.29999923706055,34.7400016784668,33.2093391418457,57800,SYBT
2019-05-24,34.790000915527344,34.90999984741211,34.5099983215332,34.75,33.21889877319336,22600,SYBT
2019-05-28,34.720001220703125,34.720001220703125,33.95000076293945,34.189998626708984,32.683570861816406,33900,SYBT
2019-05-29,33.84000015258789,34.4900016784668,33.84000015258789,34.2599983215332,32.75048828125,44900,SYBT
2019-05-30,34.369998931884766,34.380001068115234,33.7599983215332,34.04999923706055,32.549739837646484,37400,SYBT
2019-05-31,33.560001373291016,34.25,33.11000061035156,33.33000183105469,31.861465454101562,45700,SYBT
2019-06-03,33.150001525878906,33.56999969482422,32.7599983215332,33.369998931884766,31.899702072143555,66700,SYBT
2019-06-04,33.7400016784668,34.36000061035156,33.72999954223633,34.349998474121094,32.83652114868164,50800,SYBT
2019-06-05,34.040000915527344,34.58000183105469,33.849998474121094,34.209999084472656,32.70269012451172,40000,SYBT
2019-06-06,34.220001220703125,34.400001525878906,33.900001525878906,34.33000183105469,32.81740188598633,28100,SYBT
2019-06-07,34.279998779296875,34.41999816894531,33.939998626708984,34.16999816894531,32.664451599121094,27700,SYBT
2019-06-10,34.220001220703125,34.599998474121094,33.779998779296875,34.5,32.97991180419922,42400,SYBT
2019-06-11,34.47999954223633,34.77000045776367,34.29999923706055,34.40999984741211,32.89387512207031,40000,SYBT
2019-06-12,34.31999969482422,34.709999084472656,34.310001373291016,34.560001373291016,33.03726577758789,34300,SYBT
2019-06-13,34.5,34.88999938964844,34.45000076293945,34.66999816894531,33.14242172241211,33900,SYBT
2019-06-14,34.470001220703125,35.27000045776367,34.25,34.779998779296875,33.4987907409668,36700,SYBT
2019-06-17,34.75,34.93000030517578,34.5099983215332,34.619998931884766,33.34468460083008,63600,SYBT
2019-06-18,34.56999969482422,35.38999938964844,34.56999969482422,35.060001373291016,33.76847839355469,27700,SYBT
2019-06-19,34.959999084472656,35.130001068115234,34.47999954223633,34.68000030517578,33.40247344970703,32400,SYBT
2019-06-20,34.790000915527344,34.84000015258789,34.43000030517578,34.439998626708984,33.17131805419922,38100,SYBT
2019-06-21,34.290000915527344,34.689998626708984,34.290000915527344,34.56999969482422,33.29652786254883,54000,SYBT
2019-06-24,34.459999084472656,34.77000045776367,34.209999084472656,34.349998474121094,33.08462905883789,46800,SYBT
2019-06-25,34.77000045776367,35.0,34.060001373291016,34.86000061035156,33.57584762573242,51800,SYBT
2019-06-26,34.86000061035156,35.59000015258789,34.810001373291016,35.470001220703125,34.16337585449219,93700,SYBT
2019-06-27,35.41999816894531,36.09000015258789,35.41999816894531,35.95000076293945,34.625694274902344,68000,SYBT
2019-06-28,35.95000076293945,36.47999954223633,35.7400016784668,36.150001525878906,34.818328857421875,198600,SYBT
2019-07-01,36.27000045776367,36.70000076293945,36.099998474121094,36.2599983215332,34.92427062988281,54500,SYBT
2019-07-02,36.27000045776367,36.52000045776367,35.31999969482422,35.599998474121094,34.28858947753906,40100,SYBT
