,open,high,low,close,adjclose,volume,ticker
2019-01-02,15.460000038146973,16.299999237060547,15.069999694824219,16.280000686645508,14.683269500732422,2134100,UNIT
2019-01-03,16.18000030517578,16.829999923706055,16.100000381469727,16.440000534057617,14.827574729919434,1561100,UNIT
2019-01-04,16.530000686645508,17.395000457763672,16.530000686645508,17.31999969482422,15.621264457702637,1813400,UNIT
2019-01-07,17.350000381469727,18.020000457763672,17.200000762939453,17.93000030517578,16.171438217163086,1548300,UNIT
2019-01-08,17.760000228881836,18.059999465942383,17.479999542236328,17.809999465942383,16.063201904296875,2029700,UNIT
2019-01-09,17.850000381469727,18.075000762939453,17.68000030517578,18.030000686645508,16.261629104614258,882000,UNIT
2019-01-10,17.969999313354492,18.3799991607666,17.68000030517578,18.170000076293945,16.387895584106445,1297900,UNIT
2019-01-11,18.18000030517578,18.559999465942383,18.059999465942383,18.479999542236328,16.667490005493164,1152400,UNIT
2019-01-14,18.549999237060547,18.56999969482422,18.15999984741211,18.3799991607666,16.577299118041992,1180000,UNIT
2019-01-15,18.450000762939453,18.799999237060547,18.3799991607666,18.469999313354492,16.65847396850586,1229400,UNIT
2019-01-16,18.600000381469727,19.229999542236328,18.600000381469727,18.950000762939453,17.091394424438477,2787700,UNIT
2019-01-17,18.860000610351562,18.950000762939453,18.3799991607666,18.889999389648438,17.037277221679688,1169900,UNIT
2019-01-18,18.969999313354492,19.110000610351562,18.5,18.90999984741211,17.055316925048828,2193900,UNIT
2019-01-22,18.899999618530273,18.959999084472656,18.3799991607666,18.790000915527344,16.94709014892578,1285700,UNIT
2019-01-23,18.84000015258789,19.030000686645508,18.639999389648438,18.790000915527344,16.94709014892578,848800,UNIT
2019-01-24,18.790000915527344,18.969999313354492,18.65999984741211,18.850000381469727,17.001203536987305,892400,UNIT
2019-01-25,19.100000381469727,19.290000915527344,18.84000015258789,19.200000762939453,17.316877365112305,1231800,UNIT
2019-01-28,19.1200008392334,19.889999389648438,19.0,19.8700008392334,17.921161651611328,1290300,UNIT
2019-01-29,19.889999389648438,20.040000915527344,19.690000534057617,19.8700008392334,17.921161651611328,1283100,UNIT
2019-01-30,19.8700008392334,20.0,19.639999389648438,19.639999389648438,17.713716506958008,1079300,UNIT
2019-01-31,19.6200008392334,19.950000762939453,19.5,19.90999984741211,17.95724105834961,1301700,UNIT
2019-02-01,19.950000762939453,19.950000762939453,19.545000076293945,19.8700008392334,17.921161651611328,795800,UNIT
2019-02-04,19.850000381469727,19.96500015258789,19.579999923706055,19.90999984741211,17.95724105834961,1022800,UNIT
2019-02-05,19.90999984741211,20.139999389648438,19.850000381469727,19.989999771118164,18.02939224243164,1167500,UNIT
2019-02-06,20.0,20.079999923706055,19.649999618530273,19.719999313354492,17.785869598388672,1104300,UNIT
2019-02-07,19.639999389648438,19.760000228881836,19.3700008392334,19.719999313354492,17.785869598388672,1001500,UNIT
2019-02-08,19.610000610351562,19.90999984741211,19.56999969482422,19.690000534057617,17.758819580078125,801800,UNIT
2019-02-11,19.700000762939453,19.93000030517578,19.690000534057617,19.790000915527344,17.849008560180664,877500,UNIT
2019-02-12,19.850000381469727,19.959999084472656,19.690000534057617,19.860000610351562,17.912141799926758,990100,UNIT
2019-02-13,19.829999923706055,19.959999084472656,19.649999618530273,19.860000610351562,17.912141799926758,827300,UNIT
