,open,high,low,close,adjclose,volume,ticker
2019-01-02,105.0,118.0,103.9000015258789,111.0,111.0,1800,VIVE
2019-01-03,111.0,111.0,105.0,108.0,108.0,1000,VIVE
2019-01-04,110.0,116.0,108.0,114.0,114.0,1300,VIVE
2019-01-07,116.0,119.0,106.0,110.0,110.0,2700,VIVE
2019-01-08,111.0,113.0,93.0,96.0,96.0,4500,VIVE
2019-01-09,99.80000305175781,130.0,96.0,129.0,129.0,8600,VIVE
2019-01-10,131.0,131.0,116.0,121.0,121.0,2700,VIVE
2019-01-11,121.0,129.0,116.0,129.0,129.0,1900,VIVE
2019-01-14,129.0,134.0,125.0,127.0,127.0,2800,VIVE
2019-01-15,129.0,131.0,120.0,124.0,124.0,2400,VIVE
2019-01-16,132.0,132.0,112.0,117.0,117.0,3400,VIVE
2019-01-17,126.0,126.0,114.0,116.0,116.0,1300,VIVE
2019-01-18,118.0,125.0,117.0,120.0,120.0,2500,VIVE
2019-01-22,120.0,124.0,111.0,114.0,114.0,1600,VIVE
2019-01-23,114.0,117.0,104.0,112.0,112.0,1300,VIVE
2019-01-24,111.0,113.0,106.0,110.0,110.0,1900,VIVE
2019-01-25,110.0,113.69999694824219,107.0,112.0,112.0,500,VIVE
2019-01-28,111.0,118.0,109.0,116.0,116.0,1100,VIVE
2019-01-29,115.0,125.0,112.0,121.0,121.0,2100,VIVE
2019-01-30,121.0,122.0,112.0,116.0,116.0,2400,VIVE
2019-01-31,117.0,124.0,115.0,118.0,118.0,3100,VIVE
2019-02-01,119.0,120.0,114.0,115.0,115.0,300,VIVE
2019-02-04,117.0,119.0,114.0,119.0,119.0,400,VIVE
2019-02-05,118.0,120.0,113.0,113.0,113.0,1500,VIVE
2019-02-06,114.0,116.0,109.0,109.0,109.0,1300,VIVE
2019-02-07,108.0,113.0,103.0,103.0,103.0,1500,VIVE
2019-02-08,108.0,113.0,101.0,108.0,108.0,1600,VIVE
2019-02-11,107.0,110.0,104.0,104.0,104.0,1100,VIVE
2019-02-12,105.0,110.0,101.0,106.0,106.0,2100,VIVE
2019-02-13,103.0,107.0,103.0,104.0,104.0,700,VIVE
2019-02-14,103.0,110.30000305175781,103.0,105.0,105.0,1300,VIVE
2019-02-15,106.0,115.0,106.0,108.0,108.0,1200,VIVE
2019-02-19,110.0,115.0,108.0,109.0,109.0,700,VIVE
2019-02-20,110.0,112.0,103.0,104.0,104.0,2100,VIVE
2019-02-21,105.0,107.30000305175781,103.0,106.0,106.0,500,VIVE
2019-02-22,107.0,110.5,103.0,104.0,104.0,700,VIVE
2019-02-25,105.0,108.0,102.0,104.0,104.0,1500,VIVE
2019-02-26,102.0,105.0,102.0,102.5,102.5,800,VIVE
2019-02-27,102.0,106.0,100.0,101.0,101.0,1700,VIVE
2019-02-28,101.0,104.4000015258789,95.0,99.5,99.5,1600,VIVE
2019-03-01,100.0,104.0,98.0,101.0,101.0,900,VIVE
2019-03-04,100.0,104.0,98.0,98.0,98.0,1000,VIVE
2019-03-05,101.0,104.0,98.0,101.0,101.0,800,VIVE
2019-03-06,100.0,102.0,98.0,98.0,98.0,400,VIVE
2019-03-07,101.0,101.0,91.5,92.0,92.0,2800,VIVE
2019-03-08,93.5,96.80000305175781,90.0,90.5,90.5,1200,VIVE
