,open,high,low,close,adjclose,volume,ticker
2019-01-02,2.9800000190734863,4.03000020980835,2.930999994277954,3.7200000286102295,3.7200000286102295,934800,ZYNE
2019-01-03,3.7699999809265137,3.819999933242798,3.380000114440918,3.6700000762939453,3.6700000762939453,400100,ZYNE
2019-01-04,3.700000047683716,4.098999977111816,3.572000026702881,4.0,4.0,439100,ZYNE
2019-01-07,3.990000009536743,4.239999771118164,3.88700008392334,4.0,4.0,453800,ZYNE
2019-01-08,4.090000152587891,4.210000038146973,3.9200000762939453,4.119999885559082,4.119999885559082,327900,ZYNE
2019-01-09,4.139999866485596,4.269999980926514,4.059999942779541,4.269999980926514,4.269999980926514,292200,ZYNE
2019-01-10,4.269999980926514,4.369999885559082,4.099999904632568,4.170000076293945,4.170000076293945,211100,ZYNE
2019-01-11,4.170000076293945,4.320000171661377,4.089000225067139,4.119999885559082,4.119999885559082,233300,ZYNE
2019-01-14,4.119999885559082,4.140999794006348,3.859999895095825,3.880000114440918,3.880000114440918,253100,ZYNE
2019-01-15,3.890000104904175,4.110000133514404,3.75,4.0,4.0,320000,ZYNE
2019-01-16,3.9800000190734863,4.090000152587891,3.9200000762939453,3.9200000762939453,3.9200000762939453,191900,ZYNE
2019-01-17,3.940000057220459,3.9600000381469727,3.819999933242798,3.950000047683716,3.950000047683716,147400,ZYNE
2019-01-18,3.950000047683716,4.03000020980835,3.8350000381469727,3.890000104904175,3.890000104904175,202000,ZYNE
2019-01-22,3.8499999046325684,3.890000104904175,3.6659998893737793,3.7300000190734863,3.7300000190734863,211900,ZYNE
2019-01-23,3.75,3.809999942779541,3.555000066757202,3.5999999046325684,3.5999999046325684,161100,ZYNE
2019-01-24,3.630000114440918,3.7200000286102295,3.5799999237060547,3.6500000953674316,3.6500000953674316,122800,ZYNE
2019-01-25,3.6600000858306885,3.799999952316284,3.6500000953674316,3.7699999809265137,3.7699999809265137,147000,ZYNE
2019-01-28,3.859999895095825,3.940000057220459,3.7100000381469727,3.8399999141693115,3.8399999141693115,261500,ZYNE
2019-01-29,4.300000190734863,5.699999809265137,4.300000190734863,4.809999942779541,4.809999942779541,7753200,ZYNE
2019-01-30,5.0,5.239999771118164,4.849999904632568,5.03000020980835,5.03000020980835,2615800,ZYNE
2019-01-31,5.139999866485596,5.320000171661377,5.059999942779541,5.239999771118164,5.239999771118164,1483500,ZYNE
